Timestamp                   	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
1:13:47.144 PM 2/15/2024 	 20379.609282 	 20380.664916 	 295.550456 	 296.942770 	 295.550321 	 298.772890 	 -66052.071744 	 298.662518
1:13:57.144 PM 2/15/2024 	 20379.121398 	 20380.616161 	 295.543407 	 296.954424 	 295.527369 	 299.596717 	 -66053.132525 	 299.238534
1:14:07.644 PM 2/15/2024 	 20379.190433 	 20380.845083 	 295.546932 	 296.956571 	 295.477396 	 299.424837 	 -66054.264152 	 299.074002
1:14:17.644 PM 2/15/2024 	 20380.183626 	 20380.844857 	 295.556585 	 296.955804 	 295.487065 	 299.115842 	 -66055.242644 	 298.658148
1:14:28.144 PM 2/15/2024 	 20379.653658 	 20380.907440 	 295.564094 	 296.953350 	 295.517910 	 299.612080 	 -66056.103326 	 299.401506
1:14:38.145 PM 2/15/2024 	 20380.900595 	 20381.806892 	 295.571602 	 296.940469 	 295.513693 	 300.091732 	 -66056.911022 	 300.081006
1:14:48.644 PM 2/15/2024 	 20379.846955 	 20381.168453 	 295.582022 	 296.935562 	 295.544680 	 300.008163 	 -66057.577275 	 299.914404
1:14:58.644 PM 2/15/2024 	 20381.359259 	 20381.932223 	 295.589224 	 296.923448 	 295.498082 	 300.453397 	 -66057.925159 	 300.073938
1:15:08.644 PM 2/15/2024 	 20380.172230 	 20381.819361 	 295.591216 	 296.911640 	 295.502478 	 299.543094 	 -66058.078468 	 299.511813
1:15:19.144 PM 2/15/2024 	 20380.542386 	 20382.571532 	 295.594587 	 296.914554 	 295.475313 	 300.008946 	 -66058.113847 	 299.486744
1:15:29.644 PM 2/15/2024 	 20380.935567 	 20381.750399 	 295.591370 	 296.913634 	 295.534916 	 300.207869 	 -66057.836713 	 299.961175
1:15:40.144 PM 2/15/2024 	 20381.912049 	 20381.456738 	 295.587998 	 296.907193 	 295.490763 	 299.524008 	 -66057.748267 	 299.760195
1:15:50.145 PM 2/15/2024 	 20381.744713 	 20381.432717 	 295.590603 	 296.909647 	 295.533517 	 298.642082 	 -66057.954641 	 299.047451
1:16:00.644 PM 2/15/2024 	 20380.296412 	 20381.977399 	 295.589531 	 296.903206 	 295.479370 	 300.146340 	 -66058.184606 	 300.059137
1:16:10.644 PM 2/15/2024 	 20380.838328 	 20381.891294 	 295.588305 	 296.903820 	 295.525690 	 299.371861 	 -66058.685831 	 299.343371
1:16:21.144 PM 2/15/2024 	 20381.076879 	 20382.353686 	 295.596886 	 296.903666 	 295.546229 	 300.339338 	 -66058.986578 	 300.353786
1:16:31.645 PM 2/15/2024 	 20380.518310 	 20382.044549 	 295.606233 	 296.898913 	 295.524827 	 301.228998 	 -66059.163493 	 300.780775
1:16:42.145 PM 2/15/2024 	 20380.481177 	 20382.895305 	 295.614968 	 296.902286 	 295.534870 	 299.814639 	 -66059.086829 	 299.578479
1:16:52.644 PM 2/15/2024 	 20381.059217 	 20382.379583 	 295.614968 	 296.897073 	 295.514659 	 299.150702 	 -66058.980681 	 298.767399
1:17:02.644 PM 2/15/2024 	 20380.481577 	 20382.727931 	 295.614355 	 296.905813 	 295.563784 	 299.777034 	 -66059.134007 	 299.479225
1:17:13.144 PM 2/15/2024 	 20382.005227 	 20382.215966 	 295.628299 	 296.903973 	 295.574494 	 299.415134 	 -66059.334513 	 299.198866
1:17:23.145 PM 2/15/2024 	 20381.531844 	 20382.637369 	 295.634429 	 296.911947 	 295.516346 	 299.436380 	 -66059.735538 	 299.433111
1:17:33.644 PM 2/15/2024 	 20381.563689 	 20382.972183 	 295.637187 	 296.914247 	 295.574357 	 299.536401 	 -66059.989136 	 299.161820
1:17:44.145 PM 2/15/2024 	 20381.285159 	 20382.354237 	 295.633816 	 296.924215 	 295.552956 	 299.605747 	 -66060.166069 	 299.404043
