Timestamp                   	PTD1 raw (mA)	PTD1 T0 (K)	PTD1 aT (PSI/K)	PTD1 adj (PSI)	PTD2 raw (mA)	PTD2 T0 (K)	PTD2 aT (PSI/K)	PTD2 adj (PSI)	RTD0 Rraw (Ohm)	RTD1 Rraw (Ohm)	DAQ thermistor T (K)
1:13:47.144 PM 2/15/2024 	 4.018218 	 297.647000 	 44.546000 	 -2955614.571188 	 4.032167 	 297.647000 	 44.546000 	 -2955614.571188 	 108.766375 	 109.299059 	 297.398790
1:13:57.144 PM 2/15/2024 	 4.008779 	 297.647000 	 44.546000 	 -2955661.824719 	 4.027825 	 297.647000 	 44.546000 	 -2955661.824719 	 108.763636 	 109.303586 	 297.403134
1:14:07.644 PM 2/15/2024 	 4.005548 	 297.647000 	 44.546000 	 -2955712.234166 	 4.026450 	 297.647000 	 44.546000 	 -2955712.234166 	 108.765005 	 109.304419 	 297.407769
1:14:17.644 PM 2/15/2024 	 4.013583 	 297.647000 	 44.546000 	 -2955755.822061 	 4.022964 	 297.647000 	 44.546000 	 -2955755.822061 	 108.768758 	 109.304122 	 297.411776
1:14:28.144 PM 2/15/2024 	 4.004369 	 297.647000 	 44.546000 	 -2955794.162027 	 4.020625 	 297.647000 	 44.546000 	 -2955794.162027 	 108.771676 	 109.303169 	 297.415301
1:14:38.145 PM 2/15/2024 	 4.015956 	 297.647000 	 44.546000 	 -2955830.141656 	 4.028176 	 297.647000 	 44.546000 	 -2955830.141656 	 108.774595 	 109.298165 	 297.418609
1:14:48.644 PM 2/15/2024 	 4.001360 	 297.647000 	 44.546000 	 -2955859.820534 	 4.018403 	 297.647000 	 44.546000 	 -2955859.820534 	 108.778645 	 109.296259 	 297.421337
1:14:58.644 PM 2/15/2024 	 4.017664 	 297.647000 	 44.546000 	 -2955875.317393 	 4.026018 	 297.647000 	 44.546000 	 -2955875.317393 	 108.781444 	 109.291553 	 297.422762
1:15:08.644 PM 2/15/2024 	 4.003348 	 297.647000 	 44.546000 	 -2955882.146694 	 4.024164 	 297.647000 	 44.546000 	 -2955882.146694 	 108.782218 	 109.286967 	 297.423389
1:15:19.144 PM 2/15/2024 	 4.007515 	 297.647000 	 44.546000 	 -2955883.722702 	 4.032757 	 297.647000 	 44.546000 	 -2955883.722702 	 108.783529 	 109.288099 	 297.423534
1:15:29.644 PM 2/15/2024 	 4.013064 	 297.647000 	 44.546000 	 -2955871.377461 	 4.024225 	 297.647000 	 44.546000 	 -2955871.377461 	 108.782278 	 109.287741 	 297.422399
1:15:40.144 PM 2/15/2024 	 4.024707 	 297.647000 	 44.546000 	 -2955867.437565 	 4.021136 	 297.647000 	 44.546000 	 -2955867.437565 	 108.780967 	 109.285239 	 297.422037
1:15:50.145 PM 2/15/2024 	 4.022030 	 297.647000 	 44.546000 	 -2955876.630712 	 4.020123 	 297.647000 	 44.546000 	 -2955876.630712 	 108.781980 	 109.286192 	 297.422882
1:16:00.644 PM 2/15/2024 	 4.004410 	 297.647000 	 44.546000 	 -2955886.874734 	 4.025618 	 297.647000 	 44.546000 	 -2955886.874734 	 108.781563 	 109.283691 	 297.423824
1:16:10.644 PM 2/15/2024 	 4.008911 	 297.647000 	 44.546000 	 -2955909.202289 	 4.022836 	 297.647000 	 44.546000 	 -2955909.202289 	 108.781087 	 109.283929 	 297.425877
1:16:21.144 PM 2/15/2024 	 4.010606 	 297.647000 	 44.546000 	 -2955922.599374 	 4.027125 	 297.647000 	 44.546000 	 -2955922.599374 	 108.784422 	 109.283869 	 297.427108
1:16:31.645 PM 2/15/2024 	 4.003496 	 297.647000 	 44.546000 	 -2955930.480205 	 4.022911 	 297.647000 	 44.546000 	 -2955930.480205 	 108.788055 	 109.282023 	 297.427833
1:16:42.145 PM 2/15/2024 	 4.003339 	 297.647000 	 44.546000 	 -2955927.065161 	 4.033046 	 297.647000 	 44.546000 	 -2955927.065161 	 108.791450 	 109.283333 	 297.427519
1:16:52.644 PM 2/15/2024 	 4.010422 	 297.647000 	 44.546000 	 -2955922.336682 	 4.027446 	 297.647000 	 44.546000 	 -2955922.336682 	 108.791450 	 109.281308 	 297.427084
1:17:02.644 PM 2/15/2024 	 4.003175 	 297.647000 	 44.546000 	 -2955929.166724 	 4.030938 	 297.647000 	 44.546000 	 -2955929.166724 	 108.791212 	 109.284703 	 297.427712
1:17:13.144 PM 2/15/2024 	 4.020136 	 297.647000 	 44.546000 	 -2955938.098479 	 4.024290 	 297.647000 	 44.546000 	 -2955938.098479 	 108.796632 	 109.283989 	 297.428533
1:17:23.145 PM 2/15/2024 	 4.013216 	 297.647000 	 44.546000 	 -2955955.962543 	 4.027747 	 297.647000 	 44.546000 	 -2955955.962543 	 108.799014 	 109.287086 	 297.430175
1:17:33.644 PM 2/15/2024 	 4.012682 	 297.647000 	 44.546000 	 -2955967.259317 	 4.030725 	 297.647000 	 44.546000 	 -2955967.259317 	 108.800086 	 109.287979 	 297.431214
1:17:44.145 PM 2/15/2024 	 4.008820 	 297.647000 	 44.546000 	 -2955975.140962 	 4.022932 	 297.647000 	 44.546000 	 -2955975.140962 	 108.798776 	 109.291851 	 297.431938
