Timestamp                   	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
1:20:17.444 PM 2/15/2024 	 20387.174778 	 20389.355531 	 295.597959 	 297.035699 	 295.534975 	 299.113857 	 -66081.245130 	 299.062452
1:20:27.943 PM 2/15/2024 	 20388.071809 	 20388.931107 	 295.596120 	 297.046893 	 295.489360 	 299.136343 	 -66082.864896 	 299.070922
1:20:37.943 PM 2/15/2024 	 20388.946391 	 20389.914536 	 295.600104 	 297.043826 	 295.508850 	 299.366834 	 -66084.171546 	 299.430347
1:20:48.443 PM 2/15/2024 	 20389.898501 	 20391.319536 	 295.596273 	 297.041219 	 295.514235 	 299.326870 	 -66085.827283 	 299.666784
1:20:58.444 PM 2/15/2024 	 20390.204687 	 20390.410114 	 295.593668 	 297.041373 	 295.498699 	 299.426817 	 -66087.548366 	 299.261477
1:21:08.943 PM 2/15/2024 	 20390.253117 	 20391.024419 	 295.596426 	 297.036159 	 295.495696 	 299.657742 	 -66088.766913 	 299.361259
1:21:18.943 PM 2/15/2024 	 20390.225472 	 20391.231401 	 295.596886 	 297.027878 	 295.503640 	 299.330840 	 -66089.784457 	 299.060793
1:21:28.944 PM 2/15/2024 	 20390.501928 	 20391.824339 	 295.594894 	 297.026038 	 295.499428 	 299.988990 	 -66090.364269 	 299.142597
1:21:38.944 PM 2/15/2024 	 20390.257937 	 20392.080657 	 295.595200 	 297.024044 	 295.571103 	 299.075881 	 -66090.849444 	 298.883303
1:21:49.444 PM 2/15/2024 	 20390.915112 	 20392.656051 	 295.595354 	 297.029565 	 295.511271 	 299.483645 	 -66091.299140 	 298.904771
1:21:59.943 PM 2/15/2024 	 20390.898350 	 20392.761852 	 295.594894 	 297.033859 	 295.527358 	 300.569028 	 -66091.547665 	 299.642452
1:22:09.943 PM 2/15/2024 	 20391.072810 	 20392.072683 	 295.594587 	 297.041526 	 295.508350 	 299.974506 	 -66091.849455 	 299.764092
1:22:19.944 PM 2/15/2024 	 20390.480876 	 20392.771729 	 295.592289 	 297.040299 	 295.574160 	 298.962069 	 -66091.938218 	 298.991517
1:22:30.443 PM 2/15/2024 	 20390.915323 	 20391.745909 	 295.591063 	 297.053641 	 295.537694 	 298.457224 	 -66092.115747 	 298.531152
1:22:40.444 PM 2/15/2024 	 20390.890406 	 20391.967713 	 295.588918 	 297.061155 	 295.539355 	 298.965377 	 -66092.405718 	 299.111194
1:22:50.943 PM 2/15/2024 	 20392.168499 	 20392.260117 	 295.590910 	 297.073423 	 295.512956 	 299.970206 	 -66093.086297 	 299.652914
1:23:00.944 PM 2/15/2024 	 20391.218046 	 20393.398504 	 295.596886 	 297.079711 	 295.530987 	 300.077149 	 -66093.808354 	 299.913900
1:23:11.444 PM 2/15/2024 	 20391.187667 	 20392.183468 	 295.597346 	 297.095660 	 295.575359 	 298.964195 	 -66094.524547 	 298.920254
1:23:21.944 PM 2/15/2024 	 20392.782382 	 20393.100088 	 295.601177 	 297.107314 	 295.558685 	 299.590888 	 -66095.394703 	 299.363959
1:23:32.443 PM 2/15/2024 	 20392.564937 	 20393.896236 	 295.599338 	 297.120963 	 295.569775 	 299.934138 	 -66096.146533 	 299.921076
1:23:42.444 PM 2/15/2024 	 20392.235079 	 20393.381488 	 295.600564 	 297.137525 	 295.573262 	 298.819522 	 -66096.537271 	 298.777439
1:23:52.444 PM 2/15/2024 	 20392.148217 	 20393.789354 	 295.608838 	 297.154088 	 295.528701 	 299.738995 	 -66096.922104 	 299.537348
1:24:02.444 PM 2/15/2024 	 20392.782608 	 20393.567851 	 295.612516 	 297.149180 	 295.550289 	 299.420078 	 -66097.478659 	 299.395794
1:24:12.944 PM 2/15/2024 	 20392.598498 	 20394.206861 	 295.613129 	 297.145347 	 295.563153 	 298.845018 	 -66097.745107 	 298.816964
1:24:35.630 PM 2/15/2024 	 20392.719438 	 20393.144830 	 295.625694 	 297.161909 	 295.533081 	 299.002151 	 -66096.268646 	 299.071788
1:24:45.630 PM 2/15/2024 	 20392.521213 	 20393.509726 	 295.622323 	 297.165283 	 295.542592 	 299.534315 	 -66096.635773 	 299.135435
