Timestamp                   	PTD1 raw (mA)	PTD1 T0 (K)	PTD1 aT (PSI/K)	PTD1 adj (PSI)	PTD2 raw (mA)	PTD2 T0 (K)	PTD2 aT (PSI/K)	PTD2 adj (PSI)	RTD0 Rraw (Ohm)	RTD1 Rraw (Ohm)	DAQ thermistor T (K)
1:20:17.444 PM 2/15/2024 	 4.002040 	 297.647000 	 44.546000 	 -2956914.128840 	 4.029043 	 297.647000 	 44.546000 	 -2956914.128840 	 108.784839 	 109.335155 	 297.521523
1:20:27.943 PM 2/15/2024 	 4.006675 	 297.647000 	 44.546000 	 -2956986.282898 	 4.018357 	 297.647000 	 44.546000 	 -2956986.282898 	 108.784124 	 109.339504 	 297.528153
1:20:37.943 PM 2/15/2024 	 4.012165 	 297.647000 	 44.546000 	 -2957044.488932 	 4.025104 	 297.647000 	 44.546000 	 -2957044.488932 	 108.785673 	 109.338312 	 297.533501
1:20:48.443 PM 2/15/2024 	 4.017311 	 297.647000 	 44.546000 	 -2957118.245399 	 4.035496 	 297.647000 	 44.546000 	 -2957118.245399 	 108.784184 	 109.337300 	 297.540277
1:20:58.444 PM 2/15/2024 	 4.014731 	 297.647000 	 44.546000 	 -2957194.912794 	 4.018827 	 297.647000 	 44.546000 	 -2957194.912794 	 108.783171 	 109.337359 	 297.547321
1:21:08.943 PM 2/15/2024 	 4.010951 	 297.647000 	 44.546000 	 -2957249.194163 	 4.021609 	 297.647000 	 44.546000 	 -2957249.194163 	 108.784243 	 109.335334 	 297.552308
1:21:18.943 PM 2/15/2024 	 4.007005 	 297.647000 	 44.546000 	 -2957294.521701 	 4.020386 	 297.647000 	 44.546000 	 -2957294.521701 	 108.784422 	 109.332117 	 297.556472
1:21:28.944 PM 2/15/2024 	 4.008146 	 297.647000 	 44.546000 	 -2957320.349985 	 4.025195 	 297.647000 	 44.546000 	 -2957320.349985 	 108.783648 	 109.331403 	 297.558845
1:21:38.944 PM 2/15/2024 	 4.003587 	 297.647000 	 44.546000 	 -2957341.962594 	 4.026439 	 297.647000 	 44.546000 	 -2957341.962594 	 108.783767 	 109.330628 	 297.560830
1:21:49.444 PM 2/15/2024 	 4.009608 	 297.647000 	 44.546000 	 -2957361.994759 	 4.031507 	 297.647000 	 44.546000 	 -2957361.994759 	 108.783826 	 109.332773 	 297.562671
1:21:59.943 PM 2/15/2024 	 4.008528 	 297.647000 	 44.546000 	 -2957373.065565 	 4.031849 	 297.647000 	 44.546000 	 -2957373.065565 	 108.783648 	 109.334440 	 297.563688
1:22:09.943 PM 2/15/2024 	 4.009477 	 297.647000 	 44.546000 	 -2957386.509068 	 4.022786 	 297.647000 	 44.546000 	 -2957386.509068 	 108.783529 	 109.337419 	 297.564923
1:22:19.944 PM 2/15/2024 	 4.002294 	 297.647000 	 44.546000 	 -2957390.463119 	 4.030573 	 297.647000 	 44.546000 	 -2957390.463119 	 108.782635 	 109.336942 	 297.565286
