Timestamp                   	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
12:19:19.473 PM 2/15/2024 	 20362.940564 	 20364.141773 	 295.095079 	 295.929002 	 295.293006 	 298.891475 	 -66001.483025 	 299.280283
12:19:29.473 PM 2/15/2024 	 20363.993834 	 20364.883163 	 295.101973 	 295.941572 	 295.273370 	 298.496884 	 -66003.581999 	 298.669974
12:19:39.473 PM 2/15/2024 	 20365.425768 	 20366.094105 	 295.103658 	 295.945558 	 295.285856 	 298.657113 	 -66005.587585 	 298.915234
12:19:49.973 PM 2/15/2024 	 20364.379731 	 20366.739168 	 295.097070 	 295.962574 	 295.304455 	 298.238997 	 -66007.476261 	 298.307342
12:19:59.973 PM 2/15/2024 	 20365.399586 	 20367.383181 	 295.095691 	 295.973305 	 295.319503 	 298.683974 	 -66009.418106 	 298.764881
12:20:10.473 PM 2/15/2024 	 20366.528872 	 20367.361520 	 295.097377 	 295.972999 	 295.308151 	 299.041592 	 -66011.125606 	 299.211681
12:20:20.473 PM 2/15/2024 	 20366.478600 	 20368.511729 	 295.092168 	 295.982350 	 295.329172 	 298.576166 	 -66012.457781 	 298.675333
12:20:32.547 PM 2/15/2024 	 20366.091990 	 20367.890749 	 295.092627 	 295.990935 	 295.269447 	 299.659901 	 -66010.075893 	 299.487638
12:20:43.047 PM 2/15/2024 	 20366.663193 	 20367.329641 	 295.095385 	 295.996607 	 295.279733 	 299.874482 	 -66011.431873 	 299.461878
12:20:53.547 PM 2/15/2024 	 20367.941289 	 20367.884627 	 295.090482 	 296.007798 	 295.301627 	 298.972488 	 -66012.517967 	 298.781272
12:23:40.644 PM 2/15/2024 	 20373.544466 	 20375.229503 	 295.158815 	 296.052409 	 295.362776 	 298.984089 	 -66035.419366 	 298.660994
12:23:50.645 PM 2/15/2024 	 20374.062216 	 20375.542804 	 295.162492 	 296.059308 	 295.345620 	 298.419852 	 -66036.860991 	 298.771169
12:24:00.645 PM 2/15/2024 	 20374.951041 	 20376.395833 	 295.158662 	 296.069426 	 295.351883 	 299.057408 	 -66038.385226 	 299.338667
12:24:11.144 PM 2/15/2024 	 20374.974988 	 20376.556477 	 295.157130 	 296.086443 	 295.319524 	 298.935557 	 -66040.139275 	 298.998193
12:24:21.644 PM 2/15/2024 	 20375.193855 	 20377.236744 	 295.157590 	 296.093495 	 295.326128 	 298.950057 	 -66041.746449 	 298.816815
12:25:57.424 PM 2/15/2024 	 20379.729181 	 20380.952486 	 295.181951 	 296.175515 	 295.294563 	 298.799978 	 -66055.617677 	 298.776130
12:26:07.425 PM 2/15/2024 	 20380.196231 	 20381.183036 	 295.187160 	 296.190079 	 295.309027 	 298.591246 	 -66057.074453 	 298.756819
12:26:17.425 PM 2/15/2024 	 20380.461821 	 20382.970032 	 295.186547 	 296.203877 	 295.318795 	 299.162902 	 -66058.649433 	 298.789430
12:26:27.925 PM 2/15/2024 	 20380.358979 	 20382.868076 	 295.185475 	 296.213536 	 295.314938 	 299.241771 	 -66060.118464 	 299.423463
12:26:38.425 PM 2/15/2024 	 20381.625440 	 20382.349555 	 295.194515 	 296.229787 	 295.317919 	 299.229311 	 -66061.646728 	 299.260144
12:26:48.924 PM 2/15/2024 	 20382.269875 	 20383.825391 	 295.199877 	 296.231780 	 295.291986 	 299.546394 	 -66063.246057 	 299.608016
12:26:59.925 PM 2/15/2024 	 20383.046913 	 20384.611965 	 295.210449 	 296.238219 	 295.284273 	 299.056225 	 -66065.152613 	 298.866913
12:27:10.425 PM 2/15/2024 	 20383.389046 	 20384.485924 	 295.202941 	 296.244045 	 295.303540 	 299.178141 	 -66066.746615 	 299.373401
12:31:47.328 PM 2/15/2024 	 20391.475453 	 20393.185979 	 295.276333 	 296.291266 	 295.397109 	 300.148355 	 -66093.659315 	 300.336694
12:31:57.828 PM 2/15/2024 	 20392.025687 	 20392.068638 	 295.272043 	 296.280687 	 295.448728 	 298.586854 	 -66093.499495 	 298.881949
12:32:08.328 PM 2/15/2024 	 20391.520121 	 20392.759314 	 295.268519 	 296.288047 	 295.406639 	 298.682102 	 -66093.227215 	 298.742433
12:32:18.328 PM 2/15/2024 	 20391.670162 	 20392.074587 	 295.270204 	 296.290500 	 295.394509 	 298.628895 	 -66093.025969 	 298.832797
12:32:28.828 PM 2/15/2024 	 20391.394975 	 20391.787376 	 295.266527 	 296.303838 	 295.370419 	 298.495962 	 -66092.664922 	 298.765861
12:32:38.828 PM 2/15/2024 	 20390.793646 	 20392.143209 	 295.263616 	 296.300772 	 295.375540 	 298.066178 	 -66092.191437 	 298.171071
12:32:49.328 PM 2/15/2024 	 20391.923042 	 20392.118808 	 295.258253 	 296.303378 	 295.429647 	 299.516172 	 -66091.948785 	 299.249500
12:32:59.828 PM 2/15/2024 	 20390.471643 	 20392.579259 	 295.256261 	 296.314570 	 295.375101 	 299.104745 	 -66091.510843 	 298.911711
12:33:10.328 PM 2/15/2024 	 20390.882995 	 20392.154284 	 295.254423 	 296.306904 	 295.461389 	 299.370200 	 -66090.848050 	 299.219323
12:33:20.328 PM 2/15/2024 	 20391.120689 	 20392.226846 	 295.250133 	 296.307364 	 295.377741 	 298.451297 	 -66089.859862 	 298.574817
12:33:30.828 PM 2/15/2024 	 20390.140151 	 20391.779152 	 295.250439 	 296.309357 	 295.409579 	 299.562107 	 -66088.552295 	 299.099234
12:33:40.828 PM 2/15/2024 	 20390.196590 	 20390.670678 	 295.249520 	 296.313497 	 295.401225 	 298.839464 	 -66087.091106 	 298.679532
12:33:51.328 PM 2/15/2024 	 20389.629082 	 20390.452965 	 295.251512 	 296.332508 	 295.385127 	 298.425410 	 -66085.464534 	 298.440385
12:34:01.328 PM 2/15/2024 	 20388.453240 	 20389.728220 	 295.251358 	 296.340174 	 295.399016 	 299.359251 	 -66083.915109 	 299.172862
12:34:11.828 PM 2/15/2024 	 20388.258914 	 20389.294902 	 295.250133 	 296.347687 	 295.368358 	 300.210345 	 -66082.413232 	 300.063930
12:34:21.828 PM 2/15/2024 	 20388.400625 	 20388.647689 	 295.249979 	 296.350140 	 295.414188 	 299.010806 	 -66080.728331 	 298.842515
12:34:31.828 PM 2/15/2024 	 20387.531083 	 20388.533746 	 295.240480 	 296.349987 	 295.385577 	 299.809024 	 -66078.807310 	 299.381419
12:34:41.829 PM 2/15/2024 	 20387.788557 	 20387.648376 	 295.242625 	 296.344314 	 295.367085 	 299.192580 	 -66076.827578 	 299.055668
12:34:52.328 PM 2/15/2024 	 20385.535654 	 20386.348018 	 295.237875 	 296.341861 	 295.390984 	 299.153679 	 -66074.848251 	 299.256931
12:35:02.828 PM 2/15/2024 	 20385.951090 	 20386.842104 	 295.241399 	 296.339561 	 295.381991 	 299.474529 	 -66073.117409 	 299.782607
12:35:12.828 PM 2/15/2024 	 20385.459484 	 20386.546768 	 295.242625 	 296.335881 	 295.354582 	 298.894151 	 -66071.375064 	 299.092799
12:35:23.328 PM 2/15/2024 	 20383.230702 	 20385.816769 	 295.246455 	 296.364858 	 295.397017 	 299.526778 	 -66069.780649 	 299.213863
12:35:33.828 PM 2/15/2024 	 20383.369140 	 20385.113660 	 295.249213 	 296.371911 	 295.363416 	 300.489764 	 -66068.021192 	 300.184006
12:35:43.828 PM 2/15/2024 	 20383.513610 	 20384.514832 	 295.251818 	 296.361332 	 295.358968 	 299.575431 	 -66066.250248 	 299.053221
12:35:54.328 PM 2/15/2024 	 20383.132251 	 20383.476393 	 295.240480 	 296.355813 	 295.365299 	 299.336090 	 -66064.007516 	 299.140814
12:36:04.828 PM 2/15/2024 	 20382.707453 	 20383.509707 	 295.231746 	 296.348300 	 295.422960 	 299.306397 	 -66062.107501 	 299.027924
12:36:15.328 PM 2/15/2024 	 20381.108831 	 20382.229916 	 295.222247 	 296.346307 	 295.394904 	 299.398140 	 -66059.977802 	 299.336957
12:36:25.329 PM 2/15/2024 	 20380.617091 	 20381.769421 	 295.224085 	 296.350446 	 295.440469 	 299.259768 	 -66058.343972 	 299.377007
12:36:35.828 PM 2/15/2024 	 20380.185217 	 20380.920756 	 295.228682 	 296.346154 	 295.459141 	 299.600500 	 -66056.698623 	 299.568755
12:36:45.828 PM 2/15/2024 	 20379.321497 	 20379.935533 	 295.233738 	 296.340327 	 295.417774 	 299.247067 	 -66054.882576 	 298.942849
12:36:55.828 PM 2/15/2024 	 20378.488441 	 20380.517045 	 295.233585 	 296.334041 	 295.455211 	 299.366876 	 -66052.990238 	 299.212727
12:37:05.828 PM 2/15/2024 	 20378.800929 	 20379.792738 	 295.238028 	 296.328982 	 295.379937 	 299.576609 	 -66051.174883 	 299.387970
12:37:15.828 PM 2/15/2024 	 20378.719997 	 20379.220053 	 295.243391 	 296.322389 	 295.406979 	 299.200385 	 -66048.929733 	 299.319974
12:37:25.829 PM 2/15/2024 	 20377.000601 	 20378.137292 	 295.245996 	 296.305984 	 295.425798 	 299.491812 	 -66046.632085 	 299.633735
12:37:36.328 PM 2/15/2024 	 20376.735388 	 20377.432277 	 295.249979 	 296.297399 	 295.455920 	 299.183996 	 -66044.334980 	 299.399336
12:37:46.828 PM 2/15/2024 	 20375.859575 	 20376.595866 	 295.250286 	 296.296479 	 295.408701 	 299.402948 	 -66041.897107 	 299.228256
12:37:56.829 PM 2/15/2024 	 20374.787802 	 20376.457953 	 295.254423 	 296.284980 	 295.443271 	 299.533415 	 -66039.536367 	 299.079393
12:38:07.329 PM 2/15/2024 	 20374.745876 	 20375.315727 	 295.244310 	 296.266276 	 295.439602 	 300.240309 	 -66037.382176 	 300.054264
12:38:17.829 PM 2/15/2024 	 20373.866079 	 20375.174158 	 295.233891 	 296.250944 	 295.418739 	 298.798873 	 -66035.399094 	 299.972036
12:38:28.329 PM 2/15/2024 	 20374.063081 	 20374.818110 	 295.228376 	 296.239139 	 295.416946 	 298.984563 	 -66033.587015 	 298.725544
12:38:38.828 PM 2/15/2024 	 20372.436413 	 20374.367747 	 295.223932 	 296.227487 	 295.428594 	 298.452221 	 -66031.951727 	 298.499480
12:38:48.828 PM 2/15/2024 	 20372.061116 	 20373.355303 	 295.215352 	 296.214303 	 295.407445 	 298.807299 	 -66030.357879 	 298.625839
12:38:58.829 PM 2/15/2024 	 20372.148649 	 20372.922456 	 295.211828 	 296.223348 	 295.442450 	 298.841118 	 -66029.134733 	 299.185583
12:39:09.329 PM 2/15/2024 	 20371.829469 	 20373.391092 	 295.217037 	 296.223501 	 295.454137 	 298.574917 	 -66027.623655 	 299.106063
12:39:19.828 PM 2/15/2024 	 20369.800008 	 20372.565178 	 295.222094 	 296.225188 	 295.457432 	 298.634326 	 -66026.018758 	 298.856928
12:39:29.829 PM 2/15/2024 	 20370.245945 	 20372.170663 	 295.232819 	 296.217062 	 295.447482 	 299.251776 	 -66024.284825 	 298.912969
12:39:40.329 PM 2/15/2024 	 20369.910017 	 20370.965463 	 295.237875 	 296.210930 	 295.407598 	 299.286956 	 -66022.486563 	 298.992113
12:39:50.829 PM 2/15/2024 	 20370.018772 	 20370.891914 	 295.243238 	 296.218442 	 295.442221 	 299.247492 	 -66020.483007 	 299.024605
12:40:01.329 PM 2/15/2024 	 20368.463253 	 20370.204096 	 295.250746 	 296.224268 	 295.407592 	 299.198190 	 -66018.473989 	 299.123898
12:40:11.829 PM 2/15/2024 	 20367.929239 	 20368.656358 	 295.265301 	 296.228101 	 295.447012 	 299.451678 	 -66016.377297 	 299.429730
