Timestamp                   	PTD1 raw (mA)	PTD1 T0 (K)	PTD1 aT (PSI/K)	PTD1 adj (PSI)	PTD2 raw (mA)	PTD2 T0 (K)	PTD2 aT (PSI/K)	PTD2 adj (PSI)	RTD0 Rraw (Ohm)	RTD1 Rraw (Ohm)	DAQ thermistor T (K)
12:19:19.473 PM 2/15/2024 	 4.005096 	 297.647000 	 44.546000 	 -2953361.046093 	 4.020742 	 297.647000 	 44.546000 	 -2953361.046093 	 108.589363 	 108.905212 	 297.191488
12:19:29.473 PM 2/15/2024 	 4.009836 	 297.647000 	 44.546000 	 -2953454.546981 	 4.021863 	 297.647000 	 44.546000 	 -2953454.546981 	 108.592043 	 108.910096 	 297.200093
12:19:39.473 PM 2/15/2024 	 4.019301 	 297.647000 	 44.546000 	 -2953543.887803 	 4.028760 	 297.647000 	 44.546000 	 -2953543.887803 	 108.592698 	 108.911645 	 297.208315
12:19:49.973 PM 2/15/2024 	 4.000438 	 297.647000 	 44.546000 	 -2953628.020767 	 4.029513 	 297.647000 	 44.546000 	 -2953628.020767 	 108.590137 	 108.918257 	 297.216058
12:19:59.973 PM 2/15/2024 	 4.005350 	 297.647000 	 44.546000 	 -2953714.522218 	 4.030065 	 297.647000 	 44.546000 	 -2953714.522218 	 108.589601 	 108.922426 	 297.224018
12:20:10.473 PM 2/15/2024 	 4.012366 	 297.647000 	 44.546000 	 -2953790.584519 	 4.023735 	 297.647000 	 44.546000 	 -2953790.584519 	 108.590256 	 108.922307 	 297.231018
12:20:20.473 PM 2/15/2024 	 4.007037 	 297.647000 	 44.546000 	 -2953849.927570 	 4.032325 	 297.647000 	 44.546000 	 -2953849.927570 	 108.588231 	 108.925941 	 297.236479
12:20:32.547 PM 2/15/2024 	 4.011038 	 297.647000 	 44.546000 	 -2953743.823973 	 4.033607 	 297.647000 	 44.546000 	 -2953743.823973 	 108.588410 	 108.929276 	 297.242686
12:20:43.047 PM 2/15/2024 	 4.012833 	 297.647000 	 44.546000 	 -2953804.227470 	 4.022275 	 297.647000 	 44.546000 	 -2953804.227470 	 108.589482 	 108.931480 	 297.248244
12:20:53.547 PM 2/15/2024 	 4.023790 	 297.647000 	 44.546000 	 -2953852.608613 	 4.024841 	 297.647000 	 44.546000 	 -2953852.608613 	 108.587576 	 108.935829 	 297.252696
12:23:40.644 PM 2/15/2024 	 4.007194 	 297.647000 	 44.546000 	 -2954872.774324 	 4.028447 	 297.647000 	 44.546000 	 -2954872.774324 	 108.614140 	 108.953162 	 297.337620
12:23:50.645 PM 2/15/2024 	 4.008064 	 297.647000 	 44.546000 	 -2954936.992954 	 4.026947 	 297.647000 	 44.546000 	 -2954936.992954 	 108.615569 	 108.955843 	 297.343527
12:24:00.645 PM 2/15/2024 	 4.012944 	 297.647000 	 44.546000 	 -2955004.891552 	 4.031408 	 297.647000 	 44.546000 	 -2955004.891552 	 108.614080 	 108.959774 	 297.349771
12:24:11.144 PM 2/15/2024 	 4.006973 	 297.647000 	 44.546000 	 -2955083.027410 	 4.027025 	 297.647000 	 44.546000 	 -2955083.027410 	 108.613485 	 108.966386 	 297.356957
