Timestamp                   	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
2:21:08.125 PM 2/21/2024 	 20391.214782 	 20393.253560 	 296.155784 	 297.698089 	 276.089150 	 298.328831 	 -66094.140971 	 298.178092
2:21:18.625 PM 2/21/2024 	 20391.662231 	 20393.076129 	 296.162221 	 297.709286 	 276.048230 	 298.518223 	 -66093.993015 	 299.049432
2:21:28.625 PM 2/21/2024 	 20391.957166 	 20393.103253 	 296.174942 	 297.703917 	 276.012883 	 298.628188 	 -66093.655686 	 298.442917
2:21:39.125 PM 2/21/2024 	 20391.806635 	 20392.732226 	 296.181379 	 297.697936 	 275.953470 	 299.508221 	 -66093.436725 	 299.384476
2:21:49.125 PM 2/21/2024 	 20390.752510 	 20392.099416 	 296.191187 	 297.687812 	 275.886032 	 299.632766 	 -66093.182262 	 299.195192
2:21:59.125 PM 2/21/2024 	 20390.756094 	 20393.055526 	 296.198697 	 297.687659 	 275.816035 	 298.628875 	 -66092.791704 	 298.831842
2:22:09.625 PM 2/21/2024 	 20391.858581 	 20393.220305 	 296.200690 	 297.685512 	 275.747153 	 297.920095 	 -66092.549092 	 297.698929
2:22:20.125 PM 2/21/2024 	 20392.150628 	 20392.703443 	 296.187356 	 297.686432 	 275.659676 	 295.904267 	 -66092.330155 	 295.868511
2:22:30.625 PM 2/21/2024 	 20391.218683 	 20393.853107 	 296.163447 	 297.697475 	 275.582763 	 297.240663 	 -66092.170394 	 296.393583
2:22:40.625 PM 2/21/2024 	 20390.571750 	 20391.344556 	 296.150266 	 297.718489 	 275.506796 	 298.060265 	 -66092.004718 	 298.094919
2:22:51.125 PM 2/21/2024 	 20390.275026 	 20392.649747 	 296.159156 	 297.712200 	 275.450298 	 299.418414 	 -66092.022469 	 299.567361
2:23:01.625 PM 2/21/2024 	 20391.198548 	 20392.532042 	 296.161608 	 297.707905 	 275.367623 	 299.743781 	 -66091.904131 	 299.170362
2:23:11.625 PM 2/21/2024 	 20391.498065 	 20392.695660 	 296.162681 	 297.720790 	 275.280604 	 297.643411 	 -66091.809461 	 297.612942
2:23:21.625 PM 2/21/2024 	 20390.640431 	 20391.107382 	 296.151033 	 297.728612 	 275.218053 	 297.139211 	 -66091.685208 	 297.282306
2:23:32.125 PM 2/21/2024 	 20390.547671 	 20391.896671 	 296.133714 	 297.752233 	 275.112169 	 297.288365 	 -66091.560957 	 297.259281
2:23:42.625 PM 2/21/2024 	 20391.075449 	 20392.023856 	 296.114250 	 297.774934 	 275.048305 	 296.934680 	 -66091.365709 	 296.581060
2:23:52.625 PM 2/21/2024 	 20390.974444 	 20392.285495 	 296.094480 	 297.788586 	 274.952257 	 297.411376 	 -66091.247379 	 297.383237
2:24:03.125 PM 2/21/2024 	 20391.094767 	 20392.409300 	 296.077928 	 297.800857 	 274.894723 	 298.816287 	 -66091.040304 	 298.266561
2:24:13.125 PM 2/21/2024 	 20391.155209 	 20391.729585 	 296.063062 	 297.807452 	 274.832748 	 297.265687 	 -66090.833234 	 297.162471
2:24:23.126 PM 2/21/2024 	 20390.482058 	 20391.901013 	 296.053560 	 297.810367 	 274.759284 	 299.398113 	 -66090.821401 	 298.474872
2:24:33.625 PM 2/21/2024 	 20390.800924 	 20392.030069 	 296.061529 	 297.797482 	 274.641426 	 300.084986 	 -66090.803653 	 300.283139
2:24:43.625 PM 2/21/2024 	 20391.370080 	 20392.905938 	 296.067353 	 297.790426 	 274.583919 	 299.839316 	 -66090.726742 	 298.971623
2:24:54.125 PM 2/21/2024 	 20390.775993 	 20391.958632 	 296.062908 	 297.812667 	 274.510281 	 299.399889 	 -66090.454603 	 299.410163
2:25:04.125 PM 2/21/2024 	 20390.894679 	 20391.363008 	 296.069345 	 297.821104 	 274.417079 	 299.511480 	 -66089.993166 	 299.263025
2:25:14.625 PM 2/21/2024 	 20390.704989 	 20391.423376 	 296.065054 	 297.804998 	 274.357548 	 297.903701 	 -66089.567243 	 297.151193
2:25:24.626 PM 2/21/2024 	 20390.797597 	 20391.975138 	 296.052027 	 297.804385 	 274.261472 	 297.028341 	 -66089.247814 	 296.842443
2:25:35.125 PM 2/21/2024 	 20389.410524 	 20391.562907 	 296.036242 	 297.795795 	 274.189287 	 296.801441 	 -66088.981631 	 296.318475
2:25:45.625 PM 2/21/2024 	 20390.023450 	 20391.362265 	 296.015399 	 297.804538 	 274.069715 	 297.631236 	 -66088.715455 	 296.786264
2:25:55.626 PM 2/21/2024 	 20390.851545 	 20391.393873 	 295.997162 	 297.807452 	 274.013776 	 296.462918 	 -66088.561668 	 295.984308
2:26:06.125 PM 2/21/2024 	 20390.316188 	 20391.770246 	 295.976932 	 297.772940 	 273.919026 	 297.691565 	 -66088.567583 	 296.775328
2:26:16.125 PM 2/21/2024 	 20390.481471 	 20391.531847 	 295.953484 	 297.745791 	 273.839695 	 296.119935 	 -66088.833755 	 296.092660
2:26:26.126 PM 2/21/2024 	 20391.057503 	 20391.758514 	 295.937853 	 297.735668 	 273.755554 	 298.507757 	 -66089.247814 	 297.823685
2:26:36.625 PM 2/21/2024 	 20390.857228 	 20391.110233 	 295.924213 	 297.724164 	 273.674768 	 299.214410 	 -66089.756540 	 298.698819
2:26:46.626 PM 2/21/2024 	 20391.308759 	 20392.444519 	 295.927278 	 297.707752 	 273.628304 	 297.785437 	 -66090.093733 	 297.773722
2:26:57.125 PM 2/21/2024 	 20390.883429 	 20392.158651 	 295.924367 	 297.703611 	 273.520935 	 299.454309 	 -66090.401359 	 298.751957
2:27:07.625 PM 2/21/2024 	 20390.487511 	 20391.792920 	 295.935707 	 297.704071 	 273.448009 	 299.773331 	 -66090.679413 	 299.514740
2:27:17.625 PM 2/21/2024 	 20391.074752 	 20392.649784 	 295.941224 	 297.695942 	 273.393343 	 297.960425 	 -66090.839150 	 296.965854
2:27:27.626 PM 2/21/2024 	 20390.712277 	 20392.138348 	 295.945362 	 297.703611 	 273.334745 	 299.806856 	 -66090.661665 	 298.528964
2:27:38.125 PM 2/21/2024 	 20390.476354 	 20391.277410 	 295.941837 	 297.703917 	 273.277746 	 298.523678 	 -66090.856899 	 298.275643
2:27:48.126 PM 2/21/2024 	 20391.300636 	 20392.208171 	 295.936167 	 297.693181 	 273.190127 	 297.602389 	 -66090.833234 	 296.922173
2:27:58.625 PM 2/21/2024 	 20390.639253 	 20392.048779 	 295.921915 	 297.692874 	 273.146990 	 297.244001 	 -66090.921978 	 296.401627
2:28:08.625 PM 2/21/2024 	 20391.525569 	 20390.674661 	 295.917624 	 297.714808 	 273.083978 	 298.599120 	 -66090.886480 	 298.476074
2:28:19.125 PM 2/21/2024 	 20391.388446 	 20392.115244 	 295.937393 	 297.724931 	 273.019667 	 299.718673 	 -66090.779988 	 299.545964
2:28:29.126 PM 2/21/2024 	 20391.361808 	 20392.178078 	 295.949806 	 297.734901 	 272.952316 	 299.653768 	 -66090.543343 	 300.310516
2:28:39.625 PM 2/21/2024 	 20390.859446 	 20391.867690 	 295.950726 	 297.735668 	 272.883274 	 298.448247 	 -66090.259377 	 297.471581
2:28:49.625 PM 2/21/2024 	 20390.430500 	 20391.525513 	 295.937393 	 297.720636 	 272.829548 	 296.849623 	 -66089.969503 	 296.402894
2:29:00.125 PM 2/21/2024 	 20390.984709 	 20390.736362 	 295.924520 	 297.738889 	 272.749266 	 298.491908 	 -66089.721047 	 298.060307
2:29:10.625 PM 2/21/2024 	 20390.219453 	 20392.376593 	 295.916091 	 297.752540 	 272.662747 	 298.299209 	 -66089.519920 	 297.439954
2:29:21.125 PM 2/21/2024 	 20390.846513 	 20391.277725 	 295.909042 	 297.745791 	 272.589299 	 296.973439 	 -66089.366120 	 296.464804
