Timestamp                   	PTD1 raw (mA)	PTD1 T0 (K)	PTD1 aT (PSI/K)	PTD1 adj (PSI)	PTD2 raw (mA)	PTD2 T0 (K)	PTD2 aT (PSI/K)	PTD2 adj (PSI)	RTD0 Rraw (Ohm)	RTD1 Rraw (Ohm)	DAQ thermistor T (K)
2:21:08.125 PM 2/21/2024 	 4.002959 	 297.647000 	 44.546000 	 -2957488.586939 	 4.028316 	 297.647000 	 44.546000 	 -2957488.586939 	 109.001637 	 109.592418 	 297.569136
2:21:18.625 PM 2/21/2024 	 4.008677 	 297.647000 	 44.546000 	 -2957481.996130 	 4.026786 	 297.647000 	 44.546000 	 -2957481.996130 	 109.004139 	 109.596767 	 297.568531
2:21:28.625 PM 2/21/2024 	 4.013300 	 297.647000 	 44.546000 	 -2957466.969464 	 4.028301 	 297.647000 	 44.546000 	 -2957466.969464 	 109.009082 	 109.594682 	 297.567151
2:21:39.125 PM 2/21/2024 	 4.012334 	 297.647000 	 44.546000 	 -2957457.215592 	 4.024780 	 297.647000 	 44.546000 	 -2957457.215592 	 109.011584 	 109.592359 	 297.566255
2:21:49.125 PM 2/21/2024 	 4.001013 	 297.647000 	 44.546000 	 -2957445.880288 	 4.018351 	 297.647000 	 44.546000 	 -2957445.880288 	 109.015396 	 109.588427 	 297.565213
2:21:59.125 PM 2/21/2024 	 4.002446 	 297.647000 	 44.546000 	 -2957428.482494 	 4.030824 	 297.647000 	 44.546000 	 -2957428.482494 	 109.018314 	 109.588368 	 297.563615
2:22:09.625 PM 2/21/2024 	 4.016099 	 297.647000 	 44.546000 	 -2957417.675126 	 4.033598 	 297.647000 	 44.546000 	 -2957417.675126 	 109.019088 	 109.587534 	 297.562622
2:22:20.125 PM 2/21/2024 	 4.020267 	 297.647000 	 44.546000 	 -2957407.922368 	 4.028386 	 297.647000 	 44.546000 	 -2957407.922368 	 109.013907 	 109.587891 	 297.561726
2:22:30.625 PM 2/21/2024 	 4.010026 	 297.647000 	 44.546000 	 -2957400.805630 	 4.042281 	 297.647000 	 44.546000 	 -2957400.805630 	 109.004615 	 109.592180 	 297.561073
2:22:40.625 PM 2/21/2024 	 4.003111 	 297.647000 	 44.546000 	 -2957393.425433 	 4.013793 	 297.647000 	 44.546000 	 -2957393.425433 	 108.999493 	 109.600341 	 297.560395
2:22:51.125 PM 2/21/2024 	 3.999606 	 297.647000 	 44.546000 	 -2957394.216162 	 4.028859 	 297.647000 	 44.546000 	 -2957394.216162 	 109.002948 	 109.597898 	 297.560467
2:23:01.625 PM 2/21/2024 	 4.010741 	 297.647000 	 44.546000 	 -2957388.944660 	 4.027916 	 297.647000 	 44.546000 	 -2957388.944660 	 109.003901 	 109.596231 	 297.559983
2:23:11.625 PM 2/21/2024 	 4.014552 	 297.647000 	 44.546000 	 -2957384.727505 	 4.030150 	 297.647000 	 44.546000 	 -2957384.727505 	 109.004317 	 109.601234 	 297.559596
2:23:21.625 PM 2/21/2024 	 4.005046 	 297.647000 	 44.546000 	 -2957379.192552 	 4.012181 	 297.647000 	 44.546000 	 -2957379.192552 	 108.999791 	 109.604272 	 297.559087
2:23:32.125 PM 2/21/2024 	 4.004413 	 297.647000 	 44.546000 	 -2957373.657669 	 4.021773 	 297.647000 	 44.546000 	 -2957373.657669 	 108.993061 	 109.613445 	 297.558579
2:23:42.625 PM 2/21/2024 	 4.011231 	 297.647000 	 44.546000 	 -2957364.960140 	 4.023942 	 297.647000 	 44.546000 	 -2957364.960140 	 108.985497 	 109.622261 	 297.557780
2:23:52.625 PM 2/21/2024 	 4.010481 	 297.647000 	 44.546000 	 -2957359.688995 	 4.027396 	 297.647000 	 44.546000 	 -2957359.688995 	 108.977813 	 109.627562 	 297.557295
2:24:03.125 PM 2/21/2024 	 4.012614 	 297.647000 	 44.546000 	 -2957350.464647 	 4.029568 	 297.647000 	 44.546000 	 -2957350.464647 	 108.971381 	 109.632327 	 297.556448
2:24:13.125 PM 2/21/2024 	 4.014053 	 297.647000 	 44.546000 	 -2957341.240496 	 4.022427 	 297.647000 	 44.546000 	 -2957341.240496 	 108.965603 	 109.634889 	 297.555600
2:24:23.126 PM 2/21/2024 	 4.006287 	 297.647000 	 44.546000 	 -2957340.713408 	 4.024456 	 297.647000 	 44.546000 	 -2957340.713408 	 108.961911 	 109.636020 	 297.555552
2:24:33.625 PM 2/21/2024 	 4.010049 	 297.647000 	 44.546000 	 -2957339.922776 	 4.026015 	 297.647000 	 44.546000 	 -2957339.922776 	 108.965008 	 109.631017 	 297.555479
2:24:43.625 PM 2/21/2024 	 4.016925 	 297.647000 	 44.546000 	 -2957336.496724 	 4.036442 	 297.647000 	 44.546000 	 -2957336.496724 	 108.967271 	 109.628277 	 297.555165
2:24:54.125 PM 2/21/2024 	 4.011003 	 297.647000 	 44.546000 	 -2957324.373987 	 4.026430 	 297.647000 	 44.546000 	 -2957324.373987 	 108.965544 	 109.636914 	 297.554051
2:25:04.125 PM 2/21/2024 	 4.014024 	 297.647000 	 44.546000 	 -2957303.818820 	 4.021168 	 297.647000 	 44.546000 	 -2957303.818820 	 108.968045 	 109.640190 	 297.552163
2:25:14.625 PM 2/21/2024 	 4.013341 	 297.647000 	 44.546000 	 -2957284.845688 	 4.023384 	 297.647000 	 44.546000 	 -2957284.845688 	 108.966378 	 109.633935 	 297.550420
2:25:24.626 PM 2/21/2024 	 4.015554 	 297.647000 	 44.546000 	 -2957270.616386 	 4.030917 	 297.647000 	 44.546000 	 -2957270.616386 	 108.961315 	 109.633697 	 297.549112
2:25:35.125 PM 2/21/2024 	 4.000411 	 297.647000 	 44.546000 	 -2957258.758993 	 4.027087 	 297.647000 	 44.546000 	 -2957258.758993 	 108.955180 	 109.630362 	 297.548023
2:25:45.625 PM 2/21/2024 	 4.008470 	 297.647000 	 44.546000 	 -2957246.901925 	 4.025709 	 297.647000 	 44.546000 	 -2957246.901925 	 108.947080 	 109.633757 	 297.546934
2:25:55.626 PM 2/21/2024 	 4.018624 	 297.647000 	 44.546000 	 -2957240.051324 	 4.026622 	 297.647000 	 44.546000 	 -2957240.051324 	 108.939993 	 109.634889 	 297.546304
2:26:06.125 PM 2/21/2024 	 4.012393 	 297.647000 	 44.546000 	 -2957240.314806 	 4.030964 	 297.647000 	 44.546000 	 -2957240.314806 	 108.932131 	 109.621486 	 297.546328
2:26:16.125 PM 2/21/2024 	 4.013362 	 297.647000 	 44.546000 	 -2957252.171693 	 4.027253 	 297.647000 	 44.546000 	 -2957252.171693 	 108.923018 	 109.610943 	 297.547418
2:26:26.126 PM 2/21/2024 	 4.018569 	 297.647000 	 44.546000 	 -2957270.616386 	 4.028406 	 297.647000 	 44.546000 	 -2957270.616386 	 108.916943 	 109.607012 	 297.549112
2:26:36.625 PM 2/21/2024 	 4.014433 	 297.647000 	 44.546000 	 -2957293.278088 	 4.019081 	 297.647000 	 44.546000 	 -2957293.278088 	 108.911642 	 109.602545 	 297.551194
2:26:46.626 PM 2/21/2024 	 4.018469 	 297.647000 	 44.546000 	 -2957308.298709 	 4.033347 	 297.647000 	 44.546000 	 -2957308.298709 	 108.912833 	 109.596171 	 297.552574
2:26:57.125 PM 2/21/2024 	 4.012439 	 297.647000 	 44.546000 	 -2957322.002187 	 4.028938 	 297.647000 	 44.546000 	 -2957322.002187 	 108.911702 	 109.594563 	 297.553833
2:27:07.625 PM 2/21/2024 	 4.006856 	 297.647000 	 44.546000 	 -2957334.388397 	 4.023709 	 297.647000 	 44.546000 	 -2957334.388397 	 108.916109 	 109.594741 	 297.554971
2:27:17.625 PM 2/21/2024 	 4.013099 	 297.647000 	 44.546000 	 -2957341.504040 	 4.033072 	 297.647000 	 44.546000 	 -2957341.504040 	 108.918253 	 109.591584 	 297.555625
2:27:27.626 PM 2/21/2024 	 4.009526 	 297.647000 	 44.546000 	 -2957333.597777 	 4.027776 	 297.647000 	 44.546000 	 -2957333.597777 	 108.919861 	 109.594563 	 297.554898
2:27:38.125 PM 2/21/2024 	 4.006094 	 297.647000 	 44.546000 	 -2957342.294675 	 4.017101 	 297.647000 	 44.546000 	 -2957342.294675 	 108.918492 	 109.594682 	 297.555697
2:27:48.126 PM 2/21/2024 	 4.015740 	 297.647000 	 44.546000 	 -2957341.240496 	 4.027974 	 297.647000 	 44.546000 	 -2957341.240496 	 108.916288 	 109.590512 	 297.555600
2:27:58.625 PM 2/21/2024 	 4.007752 	 297.647000 	 44.546000 	 -2957345.193679 	 4.025811 	 297.647000 	 44.546000 	 -2957345.193679 	 108.910749 	 109.590393 	 297.555964
2:28:08.625 PM 2/21/2024 	 4.018160 	 297.647000 	 44.546000 	 -2957343.612402 	 4.010009 	 297.647000 	 44.546000 	 -2957343.612402 	 108.909081 	 109.598911 	 297.555818
2:28:19.125 PM 2/21/2024 	 4.016949 	 297.647000 	 44.546000 	 -2957338.868603 	 4.027087 	 297.647000 	 44.546000 	 -2957338.868603 	 108.916764 	 109.602842 	 297.555383
2:28:29.126 PM 2/21/2024 	 4.017483 	 297.647000 	 44.546000 	 -2957328.327016 	 4.028658 	 297.647000 	 44.546000 	 -2957328.327016 	 108.921589 	 109.606714 	 297.554414
2:28:39.625 PM 2/21/2024 	 4.012667 	 297.647000 	 44.546000 	 -2957315.677450 	 4.026071 	 297.647000 	 44.546000 	 -2957315.677450 	 108.921946 	 109.607012 	 297.553252
2:28:49.625 PM 2/21/2024 	 4.008724 	 297.647000 	 44.546000 	 -2957302.764735 	 4.023136 	 297.647000 	 44.546000 	 -2957302.764735 	 108.916764 	 109.601175 	 297.552066
2:29:00.125 PM 2/21/2024 	 4.016038 	 297.647000 	 44.546000 	 -2957291.697000 	 4.014873 	 297.647000 	 44.546000 	 -2957291.697000 	 108.911761 	 109.608263 	 297.551049
2:29:10.625 PM 2/21/2024 	 4.007877 	 297.647000 	 44.546000 	 -2957282.737613 	 4.034602 	 297.647000 	 44.546000 	 -2957282.737613 	 108.908485 	 109.613564 	 297.550226
2:29:21.125 PM 2/21/2024 	 4.015700 	 297.647000 	 44.546000 	 -2957275.886443 	 4.022412 	 297.647000 	 44.546000 	 -2957275.886443 	 108.905746 	 109.610943 	 297.549596
2:29:31.625 PM 2/21/2024 	 4.007043 	 297.647000 	 44.546000 	 -2957286.690261 	 4.029782 	 297.647000 	 44.546000 	 -2957286.690261 	 108.901338 	 109.604748 	 297.550589
2:29:41.625 PM 2/21/2024 	 4.014687 	 297.647000 	 44.546000 	 -2957306.454043 	 4.030415 	 297.647000 	 44.546000 	 -2957306.454043 	 108.895680 	 109.600936 	 297.552405
2:29:52.126 PM 2/21/2024 	 4.005504 	 297.647000 	 44.546000 	 -2957355.999232 	 4.022468 	 297.647000 	 44.546000 	 -2957355.999232 	 108.888533 	 109.592061 	 297.556956
2:30:02.626 PM 2/21/2024 	 4.013151 	 297.647000 	 44.546000 	 -2957427.164508 	 4.025256 	 297.647000 	 44.546000 	 -2957427.164508 	 108.884364 	 109.588725 	 297.563494
2:30:12.626 PM 2/21/2024 	 4.005035 	 297.647000 	 44.546000 	 -2957518.378648 	 4.029563 	 297.647000 	 44.546000 	 -2957518.378648 	 108.881088 	 109.589857 	 297.571873
2:30:23.126 PM 2/21/2024 	 4.010875 	 297.647000 	 44.546000 	 -2957610.666910 	 4.021922 	 297.647000 	 44.546000 	 -2957610.666910 	 108.879480 	 109.592061 	 297.580351
2:30:33.126 PM 2/21/2024 	 4.005356 	 297.647000 	 44.546000 	 -2957685.830509 	 4.028935 	 297.647000 	 44.546000 	 -2957685.830509 	 108.879420 	 109.591525 	 297.587255
2:30:43.625 PM 2/21/2024 	 3.998079 	 297.647000 	 44.546000 	 -2957755.995021 	 4.034328 	 297.647000 	 44.546000 	 -2957755.995021 	 108.884781 	 109.594622 	 297.593699
2:30:53.626 PM 2/21/2024 	 4.014503 	 297.647000 	 44.546000 	 -2957806.119520 	 4.023236 	 297.647000 	 44.546000 	 -2957806.119520 	 108.889486 	 109.595694 	 297.598303
2:31:03.626 PM 2/21/2024 	 4.007559 	 297.647000 	 44.546000 	 -2957838.571645 	 4.025828 	 297.647000 	 44.546000 	 -2957838.571645 	 108.897884 	 109.596111 	 297.601284
2:31:14.125 PM 2/21/2024 	 4.006114 	 297.647000 	 44.546000 	 -2957859.152307 	 4.018903 	 297.647000 	 44.546000 	 -2957859.152307 	 108.910927 	 109.588308 	 297.603174
2:31:24.125 PM 2/21/2024 	 4.007550 	 297.647000 	 44.546000 	 -2957869.443006 	 4.025457 	 297.647000 	 44.546000 	 -2957869.443006 	 108.921231 	 109.586998 	 297.604119
2:31:34.625 PM 2/21/2024 	 4.011418 	 297.647000 	 44.546000 	 -2957872.873294 	 4.029510 	 297.647000 	 44.546000 	 -2957872.873294 	 108.930165 	 109.584854 	 297.604434
2:31:45.126 PM 2/21/2024 	 4.016114 	 297.647000 	 44.546000 	 -2957868.651405 	 4.023437 	 297.647000 	 44.546000 	 -2957868.651405 	 108.941065 	 109.580505 	 297.604047
2:31:55.126 PM 2/21/2024 	 4.017465 	 297.647000 	 44.546000 	 -2957855.722128 	 4.026427 	 297.647000 	 44.546000 	 -2957855.722128 	 108.945055 	 109.583781 	 297.602859
2:32:05.126 PM 2/21/2024 	 4.015174 	 297.647000 	 44.546000 	 -2957844.112496 	 4.028976 	 297.647000 	 44.546000 	 -2957844.112496 	 108.950833 	 109.592418 	 297.601793
2:32:15.626 PM 2/21/2024 	 3.996576 	 297.647000 	 44.546000 	 -2957826.434792 	 4.028698 	 297.647000 	 44.546000 	 -2957826.434792 	 108.955300 	 109.591406 	 297.600169
2:32:25.626 PM 2/21/2024 	 4.006786 	 297.647000 	 44.546000 	 -2957801.370633 	 4.030678 	 297.647000 	 44.546000 	 -2957801.370633 	 108.959707 	 109.601055 	 297.597867
2:32:36.126 PM 2/21/2024 	 4.013493 	 297.647000 	 44.546000 	 -2957776.044122 	 4.028935 	 297.647000 	 44.546000 	 -2957776.044122 	 108.961434 	 109.602783 	 297.595541
2:32:46.626 PM 2/21/2024 	 4.015702 	 297.647000 	 44.546000 	 -2957749.663920 	 4.019650 	 297.647000 	 44.546000 	 -2957749.663920 	 108.965842 	 109.601949 	 297.593118
