Timestamp                   	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
3:40:02.985 PM 2/21/2024 	 20383.231412 	 20384.554893 	 296.135707 	 297.452227 	 282.614363 	 299.069874 	 -66067.240170 	 298.378654
3:40:13.485 PM 2/21/2024 	 20383.595382 	 20383.969471 	 296.128350 	 297.459742 	 282.578863 	 297.946803 	 -66067.777238 	 297.898551
3:40:23.985 PM 2/21/2024 	 20383.613052 	 20384.585715 	 296.117469 	 297.462962 	 282.544278 	 297.756851 	 -66068.302530 	 297.934427
3:40:33.985 PM 2/21/2024 	 20383.783667 	 20385.543219 	 296.112104 	 297.471705 	 282.562217 	 297.895565 	 -66068.880975 	 298.409687
3:40:44.485 PM 2/21/2024 	 20384.440872 	 20384.895715 	 296.111338 	 297.470938 	 281.752450 	 297.484181 	 -66069.370909 	 297.337863
3:40:54.485 PM 2/21/2024 	 20384.358658 	 20386.464127 	 296.110112 	 297.485815 	 281.994364 	 296.557116 	 -66069.807739 	 296.751110
3:41:04.985 PM 2/21/2024 	 20385.065195 	 20384.738370 	 296.100610 	 297.508207 	 285.517560 	 297.250421 	 -66070.126519 	 297.399111
3:41:14.985 PM 2/21/2024 	 20384.633192 	 20386.286471 	 296.099231 	 297.530293 	 286.009954 	 298.009797 	 -66070.126519 	 298.352993
3:41:25.486 PM 2/21/2024 	 20383.768554 	 20385.806028 	 296.096778 	 297.527532 	 286.083059 	 297.785451 	 -66070.026161 	 297.513117
3:41:35.486 PM 2/21/2024 	 20384.073000 	 20386.036318 	 296.087430 	 297.531827 	 279.230699 	 297.360949 	 -66069.854965 	 297.410193
3:41:45.985 PM 2/21/2024 	 20384.341118 	 20386.080934 	 296.093254 	 297.527072 	 280.214517 	 298.329376 	 -66069.500776 	 298.650358
3:41:56.485 PM 2/21/2024 	 20384.593752 	 20385.884090 	 296.115323 	 297.522471 	 280.262350 	 298.872612 	 -66069.187919 	 299.349250
3:42:06.485 PM 2/21/2024 	 20383.631631 	 20384.691371 	 296.142450 	 297.557901 	 280.174124 	 298.434221 	 -66068.585846 	 298.837896
3:42:16.485 PM 2/21/2024 	 20383.753379 	 20385.031853 	 296.159309 	 297.572471 	 280.140872 	 298.872354 	 -66067.977908 	 299.035960
3:42:26.985 PM 2/21/2024 	 20383.665737 	 20384.460731 	 296.174635 	 297.587502 	 280.229409 	 298.349313 	 -66067.275580 	 298.674491
3:42:36.986 PM 2/21/2024 	 20382.963596 	 20384.794049 	 296.181992 	 297.601920 	 280.483437 	 298.136321 	 -66066.591008 	 298.194381
3:42:46.986 PM 2/21/2024 	 20383.644803 	 20383.298654 	 296.180612 	 297.610355 	 280.981831 	 298.092800 	 -66066.024501 	 298.489747
