Timestamp                   	PTD1 raw (mA)	PTD1 T0 (K)	PTD1 aT (PSI/K)	PTD1 adj (PSI)	PTD2 raw (mA)	PTD2 T0 (K)	PTD2 aT (PSI/K)	PTD2 adj (PSI)	RTD0 Rraw (Ohm)	RTD1 Rraw (Ohm)	DAQ thermistor T (K)
3:40:02.985 PM 2/21/2024 	 4.006193 	 297.647000 	 44.546000 	 -2956290.263890 	 4.023256 	 297.647000 	 44.546000 	 -2956290.263890 	 108.993835 	 109.496935 	 297.457617
3:40:13.485 PM 2/21/2024 	 4.008502 	 297.647000 	 44.546000 	 -2956314.188095 	 4.014558 	 297.647000 	 44.546000 	 -2956314.188095 	 108.990976 	 109.499854 	 297.459816
3:40:23.985 PM 2/21/2024 	 4.006835 	 297.647000 	 44.546000 	 -2956337.587774 	 4.019831 	 297.647000 	 44.546000 	 -2956337.587774 	 108.986747 	 109.501105 	 297.461967
3:40:33.985 PM 2/21/2024 	 4.006754 	 297.647000 	 44.546000 	 -2956363.355176 	 4.028871 	 297.647000 	 44.546000 	 -2956363.355176 	 108.984663 	 109.504500 	 297.464335
3:40:44.485 PM 2/21/2024 	 4.012632 	 297.647000 	 44.546000 	 -2956385.179788 	 4.019621 	 297.647000 	 44.546000 	 -2956385.179788 	 108.984365 	 109.504202 	 297.466341
3:40:54.485 PM 2/21/2024 	 4.010122 	 297.647000 	 44.546000 	 -2956404.638804 	 4.036246 	 297.647000 	 44.546000 	 -2956404.638804 	 108.983888 	 109.509980 	 297.468130
3:41:04.985 PM 2/21/2024 	 4.017182 	 297.647000 	 44.546000 	 -2956418.839179 	 4.015107 	 297.647000 	 44.546000 	 -2956418.839179 	 108.980196 	 109.518676 	 297.469435
3:41:14.985 PM 2/21/2024 	 4.012171 	 297.647000 	 44.546000 	 -2956418.839179 	 4.033052 	 297.647000 	 44.546000 	 -2956418.839179 	 108.979660 	 109.527254 	 297.469435
3:41:25.486 PM 2/21/2024 	 4.002498 	 297.647000 	 44.546000 	 -2956414.368640 	 4.027840 	 297.647000 	 44.546000 	 -2956414.368640 	 108.978707 	 109.526182 	 297.469024
3:41:35.486 PM 2/21/2024 	 4.006640 	 297.647000 	 44.546000 	 -2956406.742533 	 4.031119 	 297.647000 	 44.546000 	 -2956406.742533 	 108.975074 	 109.527849 	 297.468323
3:41:45.985 PM 2/21/2024 	 4.011012 	 297.647000 	 44.546000 	 -2956390.964809 	 4.032897 	 297.647000 	 44.546000 	 -2956390.964809 	 108.977337 	 109.526003 	 297.466873
3:41:56.485 PM 2/21/2024 	 4.015057 	 297.647000 	 44.546000 	 -2956377.028298 	 4.031729 	 297.647000 	 44.546000 	 -2956377.028298 	 108.985913 	 109.524216 	 297.465592
3:42:06.485 PM 2/21/2024 	 4.006042 	 297.647000 	 44.546000 	 -2956350.208350 	 4.020047 	 297.647000 	 44.546000 	 -2956350.208350 	 108.996456 	 109.537976 	 297.463127
3:42:16.485 PM 2/21/2024 	 4.009620 	 297.647000 	 44.546000 	 -2956323.127149 	 4.026158 	 297.647000 	 44.546000 	 -2956323.127149 	 109.003007 	 109.543634 	 297.460638
3:42:26.985 PM 2/21/2024 	 4.011105 	 297.647000 	 44.546000 	 -2956291.841269 	 4.022038 	 297.647000 	 44.546000 	 -2956291.841269 	 109.008963 	 109.549472 	 297.457762
3:42:36.986 PM 2/21/2024 	 4.005399 	 297.647000 	 44.546000 	 -2956261.346286 	 4.028339 	 297.647000 	 44.546000 	 -2956261.346286 	 109.011822 	 109.555071 	 297.454960
3:42:46.986 PM 2/21/2024 	 4.015320 	 297.647000 	 44.546000 	 -2956236.110683 	 4.013022 	 297.647000 	 44.546000 	 -2956236.110683 	 109.011286 	 109.558347 	 297.452640
3:42:57.485 PM 2/21/2024 	 4.009022 	 297.647000 	 44.546000 	 -2956211.139400 	 4.027171 	 297.647000 	 44.546000 	 -2956211.139400 	 109.012477 	 109.557037 	 297.450345
3:43:07.486 PM 2/21/2024 	 4.012290 	 297.647000 	 44.546000 	 -2956188.009391 	 4.024190 	 297.647000 	 44.546000 	 -2956188.009391 	 109.013847 	 109.557513 	 297.448219
3:43:17.985 PM 2/21/2024 	 4.011532 	 297.647000 	 44.546000 	 -2956163.040882 	 4.031034 	 297.647000 	 44.546000 	 -2956163.040882 	 109.018552 	 109.558347 	 297.445924
3:43:27.986 PM 2/21/2024 	 4.000023 	 297.647000 	 44.546000 	 -2956137.811010 	 4.022491 	 297.647000 	 44.546000 	 -2956137.811010 	 109.020637 	 109.560789 	 297.443605
3:43:38.486 PM 2/21/2024 	 4.016870 	 297.647000 	 44.546000 	 -2956130.978173 	 4.031367 	 297.647000 	 44.546000 	 -2956130.978173 	 109.020816 	 109.564482 	 297.442976
3:43:48.486 PM 2/21/2024 	 4.015133 	 297.647000 	 44.546000 	 -2956128.087389 	 4.031726 	 297.647000 	 44.546000 	 -2956128.087389 	 109.024211 	 109.567222 	 297.442711
3:43:58.986 PM 2/21/2024 	 4.008992 	 297.647000 	 44.546000 	 -2956131.503772 	 4.025417 	 297.647000 	 44.546000 	 -2956131.503772 	 109.025700 	 109.571749 	 297.443025
3:44:08.986 PM 2/21/2024 	 4.000513 	 297.647000 	 44.546000 	 -2956134.394578 	 4.020488 	 297.647000 	 44.546000 	 -2956134.394578 	 109.029452 	 109.575383 	 297.443291
3:44:18.986 PM 2/21/2024 	 4.014474 	 297.647000 	 44.546000 	 -2956132.554972 	 4.026231 	 297.647000 	 44.546000 	 -2956132.554972 	 109.031119 	 109.578361 	 297.443121
3:44:29.486 PM 2/21/2024 	 4.012871 	 297.647000 	 44.546000 	 -2956137.022600 	 4.037338 	 297.647000 	 44.546000 	 -2956137.022600 	 109.031060 	 109.584854 	 297.443532
3:44:39.487 PM 2/21/2024 	 4.007816 	 297.647000 	 44.546000 	 -2956137.022600 	 4.023177 	 297.647000 	 44.546000 	 -2956137.022600 	 109.035944 	 109.587355 	 297.443532
3:44:49.986 PM 2/21/2024 	 4.011771 	 297.647000 	 44.546000 	 -2956126.773403 	 4.019352 	 297.647000 	 44.546000 	 -2956126.773403 	 109.040887 	 109.581935 	 297.442590
3:44:59.986 PM 2/21/2024 	 4.011701 	 297.647000 	 44.546000 	 -2956122.568675 	 4.027139 	 297.647000 	 44.546000 	 -2956122.568675 	 109.039279 	 109.581994 	 297.442203
3:45:09.986 PM 2/21/2024 	 4.010285 	 297.647000 	 44.546000 	 -2956118.626779 	 4.027326 	 297.647000 	 44.546000 	 -2956118.626779 	 109.035706 	 109.580088 	 297.441841
3:45:19.987 PM 2/21/2024 	 4.012363 	 297.647000 	 44.546000 	 -2956122.568675 	 4.011840 	 297.647000 	 44.546000 	 -2956122.568675 	 109.031715 	 109.581697 	 297.442203
3:45:30.487 PM 2/21/2024 	 4.009308 	 297.647000 	 44.546000 	 -2956128.875783 	 4.030774 	 297.647000 	 44.546000 	 -2956128.875783 	 109.027725 	 109.586224 	 297.442783
3:45:40.987 PM 2/21/2024 	 4.010986 	 297.647000 	 44.546000 	 -2956137.022600 	 4.022955 	 297.647000 	 44.546000 	 -2956137.022600 	 109.026474 	 109.589321 	 297.443532
3:45:50.987 PM 2/21/2024 	 4.010449 	 297.647000 	 44.546000 	 -2956139.650639 	 4.021881 	 297.647000 	 44.546000 	 -2956139.650639 	 109.028082 	 109.591942 	 297.443774
3:46:01.487 PM 2/21/2024 	 4.012871 	 297.647000 	 44.546000 	 -2956134.920181 	 4.028444 	 297.647000 	 44.546000 	 -2956134.920181 	 109.033025 	 109.595694 	 297.443339
3:46:11.987 PM 2/21/2024 	 4.005636 	 297.647000 	 44.546000 	 -2956122.305881 	 4.023916 	 297.647000 	 44.546000 	 -2956122.305881 	 109.031656 	 109.601055 	 297.442179
3:46:21.987 PM 2/21/2024 	 4.019027 	 297.647000 	 44.546000 	 -2956108.378017 	 4.017148 	 297.647000 	 44.546000 	 -2956108.378017 	 109.027725 	 109.611598 	 297.440899
3:46:31.987 PM 2/21/2024 	 4.004448 	 297.647000 	 44.546000 	 -2956093.399495 	 4.021408 	 297.647000 	 44.546000 	 -2956093.399495 	 109.027903 	 109.607250 	 297.439522
