IMPEDANCE MEASUREMENT 
2/21/2024-12:58 PM
Chamber temperature (K): 295.97
Chamber pressure (MPa): 20375.76
Description: 	2molkgNaCl-285K_2
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000019.5000000000000	1.8514002561569	85.0881958007812
1	857753.8749999999980	1.5828541517258	84.1987762451172
2	735644.4999999999990	1.3758329153061	84.3305892944336
3	630996.1249999999990	1.1860167980194	84.0228958129883
4	541230.4999999999990	1.0245153903961	83.2760772705078
5	464238.2812499999990	0.8844150304794	82.7300109863281
6	398144.5312499999990	0.7649090886116	82.0329742431641
7	341542.9687499999990	0.6610464453697	81.2986145019531
8	292910.1562500000000	0.5722519755363	80.3904190063477
9	251191.4062500000000	0.4949694275856	79.5415420532227
10	215449.2187500000000	0.4294484853745	78.3958129882812
11	184863.2812500000000	0.3724690377712	77.2604522705078
12	158496.0937500000000	0.3235579729080	75.8676986694336
13	135996.0937500000000	0.2817277312279	74.2772827148437
14	116660.1562500000000	0.2459039241076	72.4068832397461
15	100019.5312500000000	0.2146948277950	70.4543228149414
16	85839.8437499999999	0.1881547570229	68.2113952636719
17	73652.3437499999999	0.1659695655107	65.4236831665039
18	63105.4687499999999	0.1454368829727	62.6453323364258
19	54199.2187499999999	0.1297191083431	59.3379745483398
20	46464.8437499999999	0.1164029538631	55.7519912719727
21	39902.3437499999999	0.1047464311123	52.3827285766602
22	34160.1562500000000	0.0959895104170	48.0869865417480
23	29355.4687500000000	0.0882969573140	44.2735900878906
24	25136.7187500000000	0.0818881541491	40.3338890075684
25	21621.0937500000000	0.0775578618050	36.1948623657227
26	18574.2187500000000	0.0734147727489	32.5474205017090
27	15878.9062500000000	0.0702712014318	28.8525066375732
28	13652.3437500000000	0.0680776536465	25.4631614685059
29	11660.1562500000000	0.0663725957274	22.2245502471924
30	10019.5312500000000	0.0649610385299	19.4706382751465
31	8613.2812500000000	0.0641332417727	16.9554672241211
32	7349.5371093750000	0.0632198378444	14.6809024810791
