Timestamp                   	PTD1 raw (mA)	PTD1 T0 (K)	PTD1 aT (PSI/K)	PTD1 adj (PSI)	PTD2 raw (mA)	PTD2 T0 (K)	PTD2 aT (PSI/K)	PTD2 adj (PSI)	RTD0 Rraw (Ohm)	RTD1 Rraw (Ohm)	DAQ thermistor T (K)
2:04:47.798 PM 2/21/2024 	 4.009769 	 297.647000 	 44.546000 	 -2957260.735777 	 4.024841 	 297.647000 	 44.546000 	 -2957260.735777 	 109.034395 	 109.581458 	 297.541633
2:04:58.298 PM 2/21/2024 	 4.011254 	 297.647000 	 44.546000 	 -2957279.178147 	 4.026243 	 297.647000 	 44.546000 	 -2957279.178147 	 109.033561 	 109.585151 	 297.543327
2:05:08.298 PM 2/21/2024 	 4.017305 	 297.647000 	 44.546000 	 -2957295.513475 	 4.030439 	 297.647000 	 44.546000 	 -2957295.513475 	 109.031298 	 109.583901 	 297.544828
2:05:18.298 PM 2/21/2024 	 4.003762 	 297.647000 	 44.546000 	 -2957304.735305 	 4.031180 	 297.647000 	 44.546000 	 -2957304.735305 	 109.029750 	 109.586343 	 297.545675
2:05:28.298 PM 2/21/2024 	 4.018329 	 297.647000 	 44.546000 	 -2957306.843179 	 4.036348 	 297.647000 	 44.546000 	 -2957306.843179 	 109.028499 	 109.581577 	 297.545869
2:05:38.298 PM 2/21/2024 	 4.011342 	 297.647000 	 44.546000 	 -2957302.627441 	 4.025755 	 297.647000 	 44.546000 	 -2957302.627441 	 109.024330 	 109.578540 	 297.545481
2:05:48.299 PM 2/21/2024 	 4.018207 	 297.647000 	 44.546000 	 -2957292.088275 	 4.029055 	 297.647000 	 44.546000 	 -2957292.088275 	 109.023972 	 109.581161 	 297.544513
2:05:58.798 PM 2/21/2024 	 4.009086 	 297.647000 	 44.546000 	 -2957279.178147 	 4.031160 	 297.647000 	 44.546000 	 -2957279.178147 	 109.023972 	 109.579850 	 297.543327
2:06:09.298 PM 2/21/2024 	 4.016634 	 297.647000 	 44.546000 	 -2957279.705084 	 4.025206 	 297.647000 	 44.546000 	 -2957279.705084 	 109.019088 	 109.579850 	 297.543375
2:06:19.799 PM 2/21/2024 	 4.021937 	 297.647000 	 44.546000 	 -2957291.034372 	 4.026897 	 297.647000 	 44.546000 	 -2957291.034372 	 109.014562 	 109.582292 	 297.544416
2:06:29.799 PM 2/21/2024 	 4.003946 	 297.647000 	 44.546000 	 -2957306.316209 	 4.018412 	 297.647000 	 44.546000 	 -2957306.316209 	 109.011048 	 109.583841 	 297.545820
2:06:40.298 PM 2/21/2024 	 4.016371 	 297.647000 	 44.546000 	 -2957317.646196 	 4.022608 	 297.647000 	 44.546000 	 -2957317.646196 	 109.005747 	 109.588844 	 297.546861
2:06:50.798 PM 2/21/2024 	 4.013563 	 297.647000 	 44.546000 	 -2957333.719479 	 4.032623 	 297.647000 	 44.546000 	 -2957333.719479 	 109.001459 	 109.586343 	 297.548338
2:07:00.798 PM 2/21/2024 	 4.008251 	 297.647000 	 44.546000 	 -2957347.158256 	 4.020844 	 297.647000 	 44.546000 	 -2957347.158256 	 108.996813 	 109.581518 	 297.549572
2:07:11.298 PM 2/21/2024 	 4.008219 	 297.647000 	 44.546000 	 -2957360.070416 	 4.034774 	 297.647000 	 44.546000 	 -2957360.070416 	 108.995562 	 109.576097 	 297.550758
2:07:21.299 PM 2/21/2024 	 4.014319 	 297.647000 	 44.546000 	 -2957372.455913 	 4.028109 	 297.647000 	 44.546000 	 -2957372.455913 	 108.991453 	 109.571987 	 297.551896
2:07:31.798 PM 2/21/2024 	 4.018545 	 297.647000 	 44.546000 	 -2957387.213564 	 4.022911 	 297.647000 	 44.546000 	 -2957387.213564 	 108.986390 	 109.568235 	 297.553252
2:07:42.298 PM 2/21/2024 	 4.005090 	 297.647000 	 44.546000 	 -2957399.599839 	 4.026666 	 297.647000 	 44.546000 	 -2957399.599839 	 108.984424 	 109.565674 	 297.554390
2:07:52.299 PM 2/21/2024 	 4.012933 	 297.647000 	 44.546000 	 -2957415.939724 	 4.025729 	 297.647000 	 44.546000 	 -2957415.939724 	 108.982995 	 109.558407 	 297.555891
2:08:02.798 PM 2/21/2024 	 4.006660 	 297.647000 	 44.546000 	 -2957427.272589 	 4.024360 	 297.647000 	 44.546000 	 -2957427.272589 	 108.984663 	 109.550365 	 297.556932
2:08:12.799 PM 2/21/2024 	 4.002487 	 297.647000 	 44.546000 	 -2957438.342185 	 4.015148 	 297.647000 	 44.546000 	 -2957438.342185 	 108.982042 	 109.549948 	 297.557949
2:08:23.299 PM 2/21/2024 	 4.015095 	 297.647000 	 44.546000 	 -2957448.094208 	 4.024681 	 297.647000 	 44.546000 	 -2957448.094208 	 108.980136 	 109.554713 	 297.558845
2:08:33.799 PM 2/21/2024 	 4.010484 	 297.647000 	 44.546000 	 -2957460.745809 	 4.019653 	 297.647000 	 44.546000 	 -2957460.745809 	 108.979064 	 109.556977 	 297.560007
2:08:44.298 PM 2/21/2024 	 4.005402 	 297.647000 	 44.546000 	 -2957476.297243 	 4.028336 	 297.647000 	 44.546000 	 -2957476.297243 	 108.977337 	 109.559479 	 297.561436
2:08:54.299 PM 2/21/2024 	 4.012165 	 297.647000 	 44.546000 	 -2957498.966439 	 4.022015 	 297.647000 	 44.546000 	 -2957498.966439 	 108.974537 	 109.561980 	 297.563518
2:09:04.798 PM 2/21/2024 	 4.014191 	 297.647000 	 44.546000 	 -2957530.072623 	 4.021040 	 297.647000 	 44.546000 	 -2957530.072623 	 108.971143 	 109.554118 	 297.566376
2:09:14.798 PM 2/21/2024 	 4.003920 	 297.647000 	 44.546000 	 -2957562.235611 	 4.028979 	 297.647000 	 44.546000 	 -2957562.235611 	 108.965365 	 109.551914 	 297.569330
2:09:25.299 PM 2/21/2024 	 4.012223 	 297.647000 	 44.546000 	 -2957595.719301 	 4.022625 	 297.647000 	 44.546000 	 -2957595.719301 	 108.968820 	 109.562278 	 297.572406
2:09:35.799 PM 2/21/2024 	 4.001967 	 297.647000 	 44.546000 	 -2957615.758028 	 4.024906 	 297.647000 	 44.546000 	 -2957615.758028 	 108.974121 	 109.562755 	 297.574247
2:09:45.799 PM 2/21/2024 	 4.004836 	 297.647000 	 44.546000 	 -2957623.668307 	 4.029139 	 297.647000 	 44.546000 	 -2957623.668307 	 108.972215 	 109.564363 	 297.574973
2:09:55.799 PM 2/21/2024 	 4.005624 	 297.647000 	 44.546000 	 -2957631.578732 	 4.020447 	 297.647000 	 44.546000 	 -2957631.578732 	 108.968343 	 109.563708 	 297.575700
2:10:06.298 PM 2/21/2024 	 4.012159 	 297.647000 	 44.546000 	 -2957647.663710 	 4.022903 	 297.647000 	 44.546000 	 -2957647.663710 	 108.965723 	 109.561206 	 297.577177
2:10:16.299 PM 2/21/2024 	 4.013192 	 297.647000 	 44.546000 	 -2957670.341911 	 4.029884 	 297.647000 	 44.546000 	 -2957670.341911 	 108.968581 	 109.557751 	 297.579260
2:10:26.798 PM 2/21/2024 	 4.014266 	 297.647000 	 44.546000 	 -2957701.987904 	 4.016138 	 297.647000 	 44.546000 	 -2957701.987904 	 108.968581 	 109.559538 	 297.582167
2:10:36.798 PM 2/21/2024 	 4.010586 	 297.647000 	 44.546000 	 -2957731.526259 	 4.024123 	 297.647000 	 44.546000 	 -2957731.526259 	 108.966378 	 109.560670 	 297.584880
2:10:47.298 PM 2/21/2024 	 4.007209 	 297.647000 	 44.546000 	 -2957761.330400 	 4.031209 	 297.647000 	 44.546000 	 -2957761.330400 	 108.962209 	 109.565316 	 297.587618
2:10:57.798 PM 2/21/2024 	 4.014231 	 297.647000 	 44.546000 	 -2957790.345258 	 4.028725 	 297.647000 	 44.546000 	 -2957790.345258 	 108.962089 	 109.563887 	 297.590283
2:11:08.299 PM 2/21/2024 	 4.012772 	 297.647000 	 44.546000 	 -2957805.644788 	 4.016713 	 297.647000 	 44.546000 	 -2957805.644788 	 108.965187 	 109.563410 	 297.591688
2:11:18.798 PM 2/21/2024 	 4.005102 	 297.647000 	 44.546000 	 -2957816.987893 	 4.027615 	 297.647000 	 44.546000 	 -2957816.987893 	 108.965723 	 109.558823 	 297.592730
2:11:28.798 PM 2/21/2024 	 4.020871 	 297.647000 	 44.546000 	 -2957815.405116 	 4.029440 	 297.647000 	 44.546000 	 -2957815.405116 	 108.967569 	 109.557096 	 297.592585
2:11:38.799 PM 2/21/2024 	 4.016768 	 297.647000 	 44.546000 	 -2957805.908578 	 4.028678 	 297.647000 	 44.546000 	 -2957805.908578 	 108.972334 	 109.557453 	 297.591713
2:11:49.298 PM 2/21/2024 	 4.004311 	 297.647000 	 44.546000 	 -2957792.719288 	 4.017644 	 297.647000 	 44.546000 	 -2957792.719288 	 108.975431 	 109.562993 	 297.590501
2:11:59.299 PM 2/21/2024 	 4.017880 	 297.647000 	 44.546000 	 -2957776.628900 	 4.037099 	 297.647000 	 44.546000 	 -2957776.628900 	 108.975074 	 109.566388 	 297.589023
2:12:09.798 PM 2/21/2024 	 4.012930 	 297.647000 	 44.546000 	 -2957773.199879 	 4.027785 	 297.647000 	 44.546000 	 -2957773.199879 	 108.971976 	 109.559121 	 297.588708
2:12:19.798 PM 2/21/2024 	 4.011123 	 297.647000 	 44.546000 	 -2957777.947762 	 4.024514 	 297.647000 	 44.546000 	 -2957777.947762 	 108.966020 	 109.547863 	 297.589144
2:12:29.798 PM 2/21/2024 	 4.003091 	 297.647000 	 44.546000 	 -2957793.510634 	 4.021449 	 297.647000 	 44.546000 	 -2957793.510634 	 108.960779 	 109.545183 	 297.590574
2:12:39.799 PM 2/21/2024 	 4.015816 	 297.647000 	 44.546000 	 -2957811.448200 	 4.028465 	 297.647000 	 44.546000 	 -2957811.448200 	 108.956431 	 109.540716 	 297.592221
2:12:50.299 PM 2/21/2024 	 4.006748 	 297.647000 	 44.546000 	 -2957836.509284 	 4.025554 	 297.647000 	 44.546000 	 -2957836.509284 	 108.953691 	 109.542086 	 297.594523
2:13:00.798 PM 2/21/2024 	 4.010729 	 297.647000 	 44.546000 	 -2957858.669771 	 4.024952 	 297.647000 	 44.546000 	 -2957858.669771 	 108.953275 	 109.542741 	 297.596559
2:13:10.799 PM 2/21/2024 	 4.013458 	 297.647000 	 44.546000 	 -2957880.039892 	 4.025352 	 297.647000 	 44.546000 	 -2957880.039892 	 108.955597 	 109.547506 	 297.598521
2:13:21.299 PM 2/21/2024 	 4.020010 	 297.647000 	 44.546000 	 -2957898.244904 	 4.024497 	 297.647000 	 44.546000 	 -2957898.244904 	 108.950416 	 109.548697 	 297.600193
2:13:31.798 PM 2/21/2024 	 4.014138 	 297.647000 	 44.546000 	 -2957912.492840 	 4.030900 	 297.647000 	 44.546000 	 -2957912.492840 	 108.951607 	 109.553820 	 297.601502
2:13:41.798 PM 2/21/2024 	 4.008423 	 297.647000 	 44.546000 	 -2957919.353126 	 4.031475 	 297.647000 	 44.546000 	 -2957919.353126 	 108.956967 	 109.557870 	 297.602132
2:13:52.298 PM 2/21/2024 	 4.018242 	 297.647000 	 44.546000 	 -2957914.867542 	 4.028967 	 297.647000 	 44.546000 	 -2957914.867542 	 108.965663 	 109.560730 	 297.601720
2:14:02.298 PM 2/21/2024 	 4.018680 	 297.647000 	 44.546000 	 -2957920.936284 	 4.025262 	 297.647000 	 44.546000 	 -2957920.936284 	 108.969832 	 109.567103 	 297.602277
