IMPEDANCE MEASUREMENT 
9:26:00.419 AM 2024-06-27
Chamber temperature (K): 0
Chamber pressure (MPa): 0
Description: 	Default
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 199.038483 	 -0.077643 	
1 	 857765.625000 	 199.022873 	 -0.097111 	
2 	 735703.125000 	 199.081558 	 -0.118817 	
3 	 630984.375000 	 199.154709 	 -0.127965 	
4 	 541171.875000 	 199.233368 	 -0.142139 	
5 	 464203.125000 	 199.308273 	 -0.158681 	
6 	 398109.375000 	 199.265472 	 -0.189028 	
7 	 341484.375000 	 199.318085 	 -0.195274 	
8 	 292921.875000 	 199.401215 	 -0.235055 	
9 	 251203.140625 	 199.415268 	 -0.273034 	
10 	 215484.375000 	 199.392807 	 -0.288778 	
11 	 184828.125000 	 199.471588 	 -0.331702 	
12 	 158578.125000 	 199.476349 	 -0.376129 	
13 	 135984.375000 	 199.516632 	 -0.429412 	
14 	 116671.867187 	 199.494232 	 -0.496493 	
