IMPEDANCE MEASUREMENT 
1:22:27.674 PM 2024-08-05
Chamber temperature (K): 0
Chamber pressure (MPa): 0
Description: 	Default
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 198.937820 	 -0.099643 	
1 	 857765.625000 	 199.046463 	 -0.112167 	
2 	 735703.125000 	 199.150009 	 -0.111495 	
3 	 630984.375000 	 199.189911 	 -0.145736 	
4 	 541171.875000 	 199.230225 	 -0.155725 	
5 	 464203.125000 	 199.224869 	 -0.165564 	
6 	 398109.375000 	 199.325531 	 -0.186926 	
7 	 341484.375000 	 199.326813 	 -0.219732 	
8 	 292921.875000 	 199.338974 	 -0.233996 	
9 	 251203.140625 	 199.356140 	 -0.263006 	
