IMPEDANCE MEASUREMENT 
3:59:58.148 PM 2024-08-05
Chamber temperature (K): 272.52
Chamber pressure (MPa): -345.16
Description: 	Default
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 198.998291 	 -0.080803 	
1 	 857765.625000 	 199.113388 	 -0.114093 	
2 	 735703.125000 	 199.145889 	 -0.123931 	
3 	 630984.375000 	 199.174484 	 -0.149831 	
4 	 541171.875000 	 199.233505 	 -0.155618 	
5 	 464203.125000 	 199.257553 	 -0.168010 	
6 	 398109.375000 	 199.383926 	 -0.181617 	
7 	 341484.375000 	 199.378250 	 -0.199636 	
8 	 292921.875000 	 199.405685 	 -0.241581 	
9 	 251203.140625 	 199.349503 	 -0.254107 	
10 	 215484.375000 	 199.470657 	 -0.310935 	
11 	 184828.125000 	 199.452301 	 -0.337177 	
12 	 158578.125000 	 199.447556 	 -0.389205 	
13 	 135984.375000 	 199.439835 	 -0.434540 	
14 	 116671.867187 	 199.487747 	 -0.481325 	
15 	 100078.125000 	 199.528778 	 -0.559823 	
16 	 85828.125000 	 199.545303 	 -0.650301 	
17 	 73640.625000 	 199.536575 	 -0.745748 	
18 	 63140.625000 	 199.546173 	 -0.867125 	
19 	 54140.625000 	 199.599747 	 -1.018669 	
20 	 46453.125000 	 199.586365 	 -1.158622 	
21 	 39890.625000 	 199.616943 	 -1.352229 	
22 	 34171.875000 	 199.667053 	 -1.578463 	
23 	 29296.875000 	 199.720474 	 -1.837879 	
24 	 25171.875000 	 199.764313 	 -2.119428 	
25 	 21609.375000 	 199.853714 	 -2.467335 	
26 	 18515.625000 	 199.964401 	 -2.869683 	
27 	 15890.625000 	 200.033920 	 -3.328207 	
28 	 13640.625000 	 200.230072 	 -3.866911 	
29 	 11671.875000 	 200.402664 	 -4.523614 	
30 	 10078.125000 	 200.639771 	 -5.214280 	
31 	 8578.125000 	 201.024338 	 -6.118371 	
32 	 7359.375488 	 201.453506 	 -7.110976 	
33 	 6328.125000 	 202.100739 	 -8.241750 	
34 	 5376.838379 	 203.005829 	 -9.668916 	
35 	 4641.543945 	 204.105499 	 -11.146876 	
36 	 3984.374756 	 205.721680 	 -12.903262 	
37 	 3421.875000 	 207.804977 	 -14.904406 	
38 	 2953.125000 	 210.471588 	 -17.123087 	
39 	 2527.573486 	 214.224777 	 -19.739727 	
40 	 2159.926514 	 219.336166 	 -22.696835 	
41 	 1847.956665 	 226.043106 	 -25.911098 	
42 	 1577.524048 	 234.994705 	 -29.469805 	
43 	 1359.375000 	 245.990372 	 -33.019081 	
44 	 1171.875000 	 259.862091 	 -36.706169 	
45 	 998.263855 	 279.074097 	 -40.714390 	
46 	 856.370239 	 302.192841 	 -44.500698 	
47 	 737.847229 	 330.099518 	 -48.010960 	
48 	 627.790161 	 367.225555 	 -51.486805 	
49 	 544.084778 	 407.072845 	 -54.237499 	
50 	 460.379456 	 463.044098 	 -56.914921 	
51 	 397.995270 	 521.300720 	 -58.825245 	
52 	 340.221771 	 595.077209 	 -60.358170 	
53 	 292.968750 	 677.153320 	 -61.289936 	
54 	 252.403839 	 771.541687 	 -61.698456 	
55 	 217.013885 	 880.932556 	 -61.584106 	
56 	 186.011902 	 1007.546753 	 -60.904987 	
57 	 158.361496 	 1156.065308 	 -59.608738 	
58 	 135.216339 	 1317.552124 	 -57.770851 	
59 	 117.187500 	 1475.635986 	 -55.636593 	
