Timestamp	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
2:19:41.967 PM 2024-08-12 	 1.989508 	 1.711851 	 272.531307 	 298.724797 	 -66700.461105 	 -66700.461105 	 -66700.461105 	 -66700.461105
2:19:47.045 PM 2024-08-12 	 3.285517 	 0.672311 	 272.531302 	 298.641641 	 -66699.962180 	 -66699.962180 	 -66699.962180 	 -66699.962180
2:19:52.103 PM 2024-08-12 	 1.340874 	 1.809835 	 272.531299 	 298.563397 	 -66699.570639 	 -66699.570639 	 -66699.570639 	 -66699.570639
2:19:57.168 PM 2024-08-12 	 2.271555 	 1.076842 	 272.531287 	 298.496968 	 -66698.970728 	 -66698.970728 	 -66698.970728 	 -66698.970728
2:20:02.243 PM 2024-08-12 	 2.516869 	 1.003039 	 272.531290 	 298.429006 	 -66698.497143 	 -66698.497143 	 -66698.497143 	 -66698.497143
2:20:07.319 PM 2024-08-12 	 2.402137 	 -0.286625 	 272.531282 	 298.363193 	 -66697.644750 	 -66697.644750 	 -66697.644750 	 -66697.644750
2:20:12.389 PM 2024-08-12 	 1.648837 	 0.272062 	 272.531279 	 298.303518 	 -66696.943954 	 -66696.943954 	 -66696.943954 	 -66696.943954
2:20:17.497 PM 2024-08-12 	 2.132167 	 0.473320 	 272.531272 	 298.241850 	 -66696.072768 	 -66696.072768 	 -66696.072768 	 -66696.072768
2:20:22.557 PM 2024-08-12 	 2.326908 	 0.935030 	 272.531276 	 298.181410 	 -66695.283722 	 -66695.283722 	 -66695.283722 	 -66695.283722
2:20:27.622 PM 2024-08-12 	 2.366913 	 0.498257 	 272.531269 	 298.125112 	 -66694.406383 	 -66694.406383 	 -66694.406383 	 -66694.406383
2:20:32.676 PM 2024-08-12 	 2.500766 	 0.887675 	 272.531263 	 298.072958 	 -66693.579615 	 -66693.579615 	 -66693.579615 	 -66693.579615
2:20:37.734 PM 2024-08-12 	 2.657012 	 0.387678 	 272.531243 	 298.021111 	 -66692.860199 	 -66692.860199 	 -66692.860199 	 -66692.860199
2:20:42.788 PM 2024-08-12 	 2.391319 	 0.350399 	 272.531261 	 297.972793 	 -66692.424790 	 -66692.424790 	 -66692.424790 	 -66692.424790
2:20:47.843 PM 2024-08-12 	 2.820303 	 1.436286 	 272.531255 	 297.922174 	 -66692.090360 	 -66692.090360 	 -66692.090360 	 -66692.090360
2:20:52.903 PM 2024-08-12 	 2.570460 	 0.614629 	 272.531257 	 297.871710 	 -66691.705465 	 -66691.705465 	 -66691.705465 	 -66691.705465
2:20:57.964 PM 2024-08-12 	 3.063855 	 1.372307 	 272.531254 	 297.827382 	 -66691.440464 	 -66691.440464 	 -66691.440464 	 -66691.440464
2:21:03.055 PM 2024-08-12 	 2.957930 	 1.272559 	 272.531267 	 297.782441 	 -66691.232255 	 -66691.232255 	 -66691.232255 	 -66691.232255
2:21:08.134 PM 2024-08-12 	 2.596879 	 1.415127 	 272.531255 	 297.739342 	 -66690.759070 	 -66690.759070 	 -66690.759070 	 -66690.759070
