Timestamp	PTD1 raw (mA)	PTD1 T0 (K)	PTD1 aT (PSI/K)	PTD1 adj (PSI)	PTD2 raw (mA)	PTD2 T0 (K)	PTD2 aT (PSI/K)	PTD2 adj (PSI)	RTD0 Rraw (Ohm)	RTD1 Rraw (Ohm)	DAQ thermistor T (K)
2:19:41.967 PM 2024-08-12 	 4.025463 	 297.647000 	 44.546000 	 -2984497.723631 	 4.023951 	 297.647000 	 44.546000 	 -2984497.723631 	 109.113253 	 109.991209 	 300.055686
2:19:47.045 PM 2024-08-12 	 4.040497 	 297.647000 	 44.546000 	 -2984475.498551 	 4.011901 	 297.647000 	 44.546000 	 -2984475.498551 	 109.113491 	 109.958925 	 300.053670
2:19:52.103 PM 2024-08-12 	 4.017938 	 297.647000 	 44.546000 	 -2984458.056933 	 4.025087 	 297.647000 	 44.546000 	 -2984458.056933 	 109.113610 	 109.928546 	 300.052088
2:19:57.168 PM 2024-08-12 	 4.028734 	 297.647000 	 44.546000 	 -2984431.333322 	 4.016590 	 297.647000 	 44.546000 	 -2984431.333322 	 109.114146 	 109.902754 	 300.049663
2:20:02.243 PM 2024-08-12 	 4.031580 	 297.647000 	 44.546000 	 -2984410.236973 	 4.015735 	 297.647000 	 44.546000 	 -2984410.236973 	 109.114027 	 109.876367 	 300.047750
2:20:07.319 PM 2024-08-12 	 4.030249 	 297.647000 	 44.546000 	 -2984372.266298 	 4.000786 	 297.647000 	 44.546000 	 -2984372.266298 	 109.114384 	 109.850813 	 300.044305
2:20:12.389 PM 2024-08-12 	 4.021511 	 297.647000 	 44.546000 	 -2984341.048617 	 4.007262 	 297.647000 	 44.546000 	 -2984341.048617 	 109.114504 	 109.827642 	 300.041473
2:20:17.497 PM 2024-08-12 	 4.027117 	 297.647000 	 44.546000 	 -2984302.240781 	 4.009594 	 297.647000 	 44.546000 	 -2984302.240781 	 109.114801 	 109.803697 	 300.037953
2:20:22.557 PM 2024-08-12 	 4.029377 	 297.647000 	 44.546000 	 -2984267.091947 	 4.014946 	 297.647000 	 44.546000 	 -2984267.091947 	 109.114623 	 109.780228 	 300.034764
2:20:27.622 PM 2024-08-12 	 4.029841 	 297.647000 	 44.546000 	 -2984228.010004 	 4.009883 	 297.647000 	 44.546000 	 -2984228.010004 	 109.114980 	 109.758368 	 300.031219
2:20:32.676 PM 2024-08-12 	 4.031393 	 297.647000 	 44.546000 	 -2984191.180812 	 4.014397 	 297.647000 	 44.546000 	 -2984191.180812 	 109.115218 	 109.738115 	 300.027877
2:20:37.734 PM 2024-08-12 	 4.033206 	 297.647000 	 44.546000 	 -2984159.133690 	 4.008602 	 297.647000 	 44.546000 	 -2984159.133690 	 109.116112 	 109.717982 	 300.024970
2:20:42.788 PM 2024-08-12 	 4.030124 	 297.647000 	 44.546000 	 -2984139.737972 	 4.008170 	 297.647000 	 44.546000 	 -2984139.737972 	 109.115337 	 109.699219 	 300.023210
2:20:47.843 PM 2024-08-12 	 4.035100 	 297.647000 	 44.546000 	 -2984124.840438 	 4.020757 	 297.647000 	 44.546000 	 -2984124.840438 	 109.115576 	 109.679563 	 300.021859
