Timestamp	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
12:00:01.467 AM 9/30/2024 	 505.460715 	 503.541047 	 294.757809 	 294.860157 	 -66378.297195 	 -66378.297195 	 -66378.297195 	 295.495533
12:00:06.620 AM 9/30/2024 	 505.445116 	 504.088902 	 294.756736 	 294.859084 	 -66378.126457 	 -66378.126457 	 -66378.126457 	 295.504723
12:00:11.777 AM 9/30/2024 	 505.621993 	 503.151629 	 294.757196 	 294.860157 	 -66378.297195 	 -66378.297195 	 -66378.297195 	 295.501184
12:00:16.936 AM 9/30/2024 	 504.797740 	 503.803766 	 294.756583 	 294.858778 	 -66378.394760 	 -66378.394760 	 -66378.394760 	 295.504408
12:00:22.104 AM 9/30/2024 	 504.895614 	 503.416363 	 294.756430 	 294.859544 	 -66378.297195 	 -66378.297195 	 -66378.297195 	 295.497888
12:00:27.262 AM 9/30/2024 	 505.691687 	 503.512836 	 294.757502 	 294.857399 	 -66378.138652 	 -66378.138652 	 -66378.138652 	 295.508069
12:00:32.460 AM 9/30/2024 	 505.818747 	 504.065477 	 294.756736 	 294.858318 	 -66377.736211 	 -66377.736211 	 -66377.736211 	 295.505481
12:00:37.600 AM 9/30/2024 	 504.921277 	 503.505531 	 294.756583 	 294.858012 	 -66377.626458 	 -66377.626458 	 -66377.626458 	 295.487610
12:00:42.766 AM 9/30/2024 	 505.543996 	 504.030464 	 294.757502 	 294.856939 	 -66377.522803 	 -66377.522803 	 -66377.522803 	 295.485303
12:00:47.933 AM 9/30/2024 	 505.733956 	 503.741549 	 294.757196 	 294.857705 	 -66377.419149 	 -66377.419149 	 -66377.419149 	 295.497592
12:00:53.112 AM 9/30/2024 	 505.351268 	 504.125930 	 294.757043 	 294.856173 	 -66377.565484 	 -66377.565484 	 -66377.565484 	 295.502429
12:00:58.289 AM 9/30/2024 	 505.205589 	 504.329455 	 294.756583 	 294.856173 	 -66377.693529 	 -66377.693529 	 -66377.693529 	 295.482705
12:01:03.439 AM 9/30/2024 	 504.090482 	 503.703514 	 294.756889 	 294.855560 	 -66377.492316 	 -66377.492316 	 -66377.492316 	 295.496479
12:01:08.624 AM 9/30/2024 	 505.137656 	 504.118877 	 294.757349 	 294.855407 	 -66377.303302 	 -66377.303302 	 -66377.303302 	 295.482992
12:01:13.823 AM 9/30/2024 	 505.326862 	 504.001497 	 294.756889 	 294.853108 	 -66376.937478 	 -66376.937478 	 -66376.937478 	 295.514457
12:01:18.997 AM 9/30/2024 	 505.504494 	 504.063462 	 294.756124 	 294.853108 	 -66376.443639 	 -66376.443639 	 -66376.443639 	 295.509141
12:01:24.180 AM 9/30/2024 	 504.647281 	 503.562709 	 294.756430 	 294.852648 	 -66376.193680 	 -66376.193680 	 -66376.193680 	 295.486458
12:01:29.340 AM 9/30/2024 	 504.956753 	 503.750365 	 294.756583 	 294.853414 	 -66375.998596 	 -66375.998596 	 -66375.998596 	 295.497432
12:01:34.523 AM 9/30/2024 	 505.776729 	 503.749610 	 294.755204 	 294.852955 	 -66375.888862 	 -66375.888862 	 -66375.888862 	 295.491333
12:01:39.675 AM 9/30/2024 	 504.150364 	 504.610309 	 294.757196 	 294.852189 	 -66375.852285 	 -66375.852285 	 -66375.852285 	 295.489770
12:01:44.864 AM 9/30/2024 	 505.031479 	 504.556657 	 294.757502 	 294.852189 	 -66375.760842 	 -66375.760842 	 -66375.760842 	 295.499755
12:01:50.014 AM 9/30/2024 	 505.417188 	 503.420141 	 294.757043 	 294.852648 	 -66375.468229 	 -66375.468229 	 -66375.468229 	 295.484432
12:01:55.171 AM 9/30/2024 	 505.539970 	 504.178070 	 294.756583 	 294.852035 	 -66375.267064 	 -66375.267064 	 -66375.267064 	 295.466657
12:02:00.333 AM 9/30/2024 	 505.313275 	 503.580341 	 294.756889 	 294.852955 	 -66374.767217 	 -66374.767217 	 -66374.767217 	 295.490040
12:02:05.527 AM 9/30/2024 	 505.044060 	 503.346338 	 294.756583 	 294.850809 	 -66373.895595 	 -66373.895595 	 -66373.895595 	 295.486004
12:02:10.677 AM 9/30/2024 	 504.000911 	 503.922657 	 294.756736 	 294.850963 	 -66373.328779 	 -66373.328779 	 -66373.328779 	 295.510525
12:02:15.862 AM 9/30/2024 	 504.675964 	 504.076056 	 294.757962 	 294.851269 	 -66373.188605 	 -66373.188605 	 -66373.188605 	 295.497709
12:02:21.033 AM 9/30/2024 	 504.636714 	 504.316861 	 294.756430 	 294.851116 	 -66373.139849 	 -66373.139849 	 -66373.139849 	 295.498922
12:02:26.184 AM 9/30/2024 	 505.219176 	 503.941296 	 294.756889 	 294.850350 	 -66373.078904 	 -66373.078904 	 -66373.078904 	 295.476071
12:02:31.357 AM 9/30/2024 	 504.765535 	 504.066484 	 294.757196 	 294.848970 	 -66372.780281 	 -66372.780281 	 -66372.780281 	 295.503573
12:02:36.570 AM 9/30/2024 	 505.332146 	 504.463207 	 294.757349 	 294.849890 	 -66372.768092 	 -66372.768092 	 -66372.768092 	 295.505406
12:02:41.756 AM 9/30/2024 	 505.362841 	 504.167491 	 294.757043 	 294.849583 	 -66372.786375 	 -66372.786375 	 -66372.786375 	 295.505010
12:02:46.937 AM 9/30/2024 	 505.046576 	 504.149859 	 294.758421 	 294.849737 	 -66372.573079 	 -66372.573079 	 -66372.573079 	 295.488128
12:02:52.067 AM 9/30/2024 	 504.866428 	 503.544070 	 294.755664 	 294.847744 	 -66372.457291 	 -66372.457291 	 -66372.457291 	 295.504135
12:02:57.196 AM 9/30/2024 	 505.262451 	 504.549605 	 294.756736 	 294.847744 	 -66372.640114 	 -66372.640114 	 -66372.640114 	 295.491227
12:03:02.354 AM 9/30/2024 	 505.307992 	 503.749106 	 294.756277 	 294.848511 	 -66372.371975 	 -66372.371975 	 -66372.371975 	 295.495310
12:03:07.533 AM 9/30/2024 	 504.675461 	 504.293939 	 294.756277 	 294.845906 	 -66372.122125 	 -66372.122125 	 -66372.122125 	 295.470273
12:03:12.667 AM 9/30/2024 	 504.983172 	 503.596462 	 294.757349 	 294.846519 	 -66371.817438 	 -66371.817438 	 -66371.817438 	 295.485037
12:03:17.846 AM 9/30/2024 	 504.918258 	 504.175300 	 294.757196 	 294.847285 	 -66371.476201 	 -66371.476201 	 -66371.476201 	 295.485524
12:03:22.987 AM 9/30/2024 	 504.257295 	 503.611072 	 294.756889 	 294.846059 	 -66371.415267 	 -66371.415267 	 -66371.415267 	 295.474445
12:03:28.145 AM 9/30/2024 	 504.422599 	 503.300494 	 294.755511 	 294.846978 	 -66371.281214 	 -66371.281214 	 -66371.281214 	 295.487552
12:03:33.315 AM 9/30/2024 	 504.538085 	 503.872783 	 294.757196 	 294.845293 	 -66371.591977 	 -66371.591977 	 -66371.591977 	 295.469988
