Timestamp	PTD1 raw (mA)	PTD1 T0 (K)	PTD1 aT (PSI/K)	PTD1 adj (PSI)	PTD2 raw (mA)	PTD2 T0 (K)	PTD2 aT (PSI/K)	PTD2 adj (PSI)	RTD0 Rraw (Ohm)	RTD1 Rraw (Ohm)	DAQ thermistor T (K)
12:00:01.467 AM 9/30/2024 	 9.865941 	 297.647000 	 44.546000 	 -2970146.610089 	 9.840914 	 297.647000 	 44.546000 	 -2970146.610089 	 108.458331 	 108.489922 	 298.734107
12:00:06.620 AM 9/30/2024 	 9.865760 	 297.647000 	 44.546000 	 -2970139.004416 	 9.847265 	 297.647000 	 44.546000 	 -2970139.004416 	 108.457914 	 108.489505 	 298.733413
12:00:11.777 AM 9/30/2024 	 9.867811 	 297.647000 	 44.546000 	 -2970146.610089 	 9.836400 	 297.647000 	 44.546000 	 -2970146.610089 	 108.458093 	 108.489922 	 298.734107
12:00:16.936 AM 9/30/2024 	 9.858250 	 297.647000 	 44.546000 	 -2970150.956249 	 9.843960 	 297.647000 	 44.546000 	 -2970150.956249 	 108.457854 	 108.489386 	 298.734504
12:00:22.104 AM 9/30/2024 	 9.859385 	 297.647000 	 44.546000 	 -2970146.610089 	 9.839469 	 297.647000 	 44.546000 	 -2970146.610089 	 108.457795 	 108.489683 	 298.734107
12:00:27.262 AM 9/30/2024 	 9.868620 	 297.647000 	 44.546000 	 -2970139.547673 	 9.840587 	 297.647000 	 44.546000 	 -2970139.547673 	 108.458212 	 108.488850 	 298.733463
12:00:32.460 AM 9/30/2024 	 9.870094 	 297.647000 	 44.546000 	 -2970121.620538 	 9.846993 	 297.647000 	 44.546000 	 -2970121.620538 	 108.457914 	 108.489207 	 298.731825
12:00:37.600 AM 9/30/2024 	 9.859683 	 297.647000 	 44.546000 	 -2970116.731452 	 9.840503 	 297.647000 	 44.546000 	 -2970116.731452 	 108.457854 	 108.489088 	 298.731379
12:00:42.766 AM 9/30/2024 	 9.866907 	 297.647000 	 44.546000 	 -2970112.114034 	 9.846587 	 297.647000 	 44.546000 	 -2970112.114034 	 108.458212 	 108.488671 	 298.730957
12:00:47.933 AM 9/30/2024 	 9.869110 	 297.647000 	 44.546000 	 -2970107.496668 	 9.843239 	 297.647000 	 44.546000 	 -2970107.496668 	 108.458093 	 108.488969 	 298.730536
