Timestamp	PTD1 raw (mA)	PTD1 T0 (K)	PTD1 aT (PSI/K)	PTD1 adj (PSI)	PTD2 raw (mA)	PTD2 T0 (K)	PTD2 aT (PSI/K)	PTD2 adj (PSI)	RTD0 Rraw (Ohm)	RTD1 Rraw (Ohm)	DAQ thermistor T (K)
12:00:04.269 AM 10/5/2024 	 11.378207 	 297.647000 	 44.546000 	 -105.312299 	 11.350293 	 297.647000 	 44.546000 	 -105.312299 	 108.019255 	 108.623050 	 298.943604
12:00:09.378 AM 10/5/2024 	 11.376249 	 297.647000 	 44.546000 	 -105.960848 	 11.347805 	 297.647000 	 44.546000 	 -105.960848 	 108.018778 	 108.622633 	 298.943180
12:00:14.521 AM 10/5/2024 	 11.363155 	 297.647000 	 44.546000 	 -104.969199 	 11.350868 	 297.647000 	 44.546000 	 -104.969199 	 108.018302 	 108.622336 	 298.942831
12:00:19.621 AM 10/5/2024 	 11.382708 	 297.647000 	 44.546000 	 -105.296258 	 11.340909 	 297.647000 	 44.546000 	 -105.296258 	 108.018838 	 108.622217 	 298.942557
12:00:24.711 AM 10/5/2024 	 11.356428 	 297.647000 	 44.546000 	 -105.482890 	 11.346897 	 297.647000 	 44.546000 	 -105.482890 	 108.018957 	 108.622038 	 298.942607
12:00:29.874 AM 10/5/2024 	 11.363260 	 297.647000 	 44.546000 	 -105.586699 	 11.353046 	 297.647000 	 44.546000 	 -105.586699 	 108.018659 	 108.622097 	 298.942632
12:00:34.979 AM 10/5/2024 	 11.355427 	 297.647000 	 44.546000 	 -105.423285 	 11.348664 	 297.647000 	 44.546000 	 -105.423285 	 108.018599 	 108.622217 	 298.942532
12:00:40.090 AM 10/5/2024 	 11.366655 	 297.647000 	 44.546000 	 -105.486241 	 11.357966 	 297.647000 	 44.546000 	 -105.486241 	 108.018718 	 108.622514 	 298.942532
12:00:45.221 AM 10/5/2024 	 11.365537 	 297.647000 	 44.546000 	 -105.065425 	 11.351519 	 297.647000 	 44.546000 	 -105.065425 	 108.018659 	 108.622633 	 298.942557
12:00:50.361 AM 10/5/2024 	 11.366305 	 297.647000 	 44.546000 	 -104.961618 	 11.353852 	 297.647000 	 44.546000 	 -104.961618 	 108.018421 	 108.623646 	 298.942532
12:00:55.477 AM 10/5/2024 	 11.379874 	 297.647000 	 44.546000 	 -105.107394 	 11.346106 	 297.647000 	 44.546000 	 -105.107394 	 108.018480 	 108.623646 	 298.942557
12:01:00.643 AM 10/5/2024 	 11.369358 	 297.647000 	 44.546000 	 -105.426636 	 11.357572 	 297.647000 	 44.546000 	 -105.426636 	 108.018599 	 108.624480 	 298.942457
12:01:05.767 AM 10/5/2024 	 11.367913 	 297.647000 	 44.546000 	 -104.469162 	 11.356004 	 297.647000 	 44.546000 	 -104.469162 	 108.018361 	 108.624837 	 298.942283
12:01:10.888 AM 10/5/2024 	 11.363541 	 297.647000 	 44.546000 	 -104.404213 	 11.354091 	 297.647000 	 44.546000 	 -104.404213 	 108.018123 	 108.626029 	 298.941860
12:01:16.022 AM 10/5/2024 	 11.369089 	 297.647000 	 44.546000 	 -104.743550 	 11.346529 	 297.647000 	 44.546000 	 -104.743550 	 108.018063 	 108.626863 	 298.941311
12:01:21.155 AM 10/5/2024 	 11.365692 	 297.647000 	 44.546000 	 -105.972969 	 11.346661 	 297.647000 	 44.546000 	 -105.972969 	 108.018123 	 108.627816 	 298.941037
12:01:26.281 AM 10/5/2024 	 11.374611 	 297.647000 	 44.546000 	 -105.885913 	 11.353940 	 297.647000 	 44.546000 	 -105.885913 	 108.018778 	 108.628530 	 298.940639
12:01:31.461 AM 10/5/2024 	 11.360718 	 297.647000 	 44.546000 	 -104.679954 	 11.343134 	 297.647000 	 44.546000 	 -104.679954 	 108.018421 	 108.629424 	 298.940390
12:01:36.629 AM 10/5/2024 	 11.367782 	 297.647000 	 44.546000 	 -105.072196 	 11.344693 	 297.647000 	 44.546000 	 -105.072196 	 108.018123 	 108.630198 	 298.940066
12:01:41.796 AM 10/5/2024 	 11.367860 	 297.647000 	 44.546000 	 -105.842181 	 11.350010 	 297.647000 	 44.546000 	 -105.842181 	 108.018242 	 108.630854 	 298.939742
