Timestamp	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
12:00:04.728 AM 11/9/2024 	 472.127779 	 471.734203 	 295.025752 	 294.500361 	 -66214.517320 	 294.551807 	 294.606063 	 294.565017
12:00:09.894 AM 11/9/2024 	 472.342145 	 471.975763 	 295.025445 	 294.498523 	 -66214.373454 	 294.561596 	 294.615851 	 294.581411
12:00:15.005 AM 11/9/2024 	 472.387937 	 471.928408 	 295.025599 	 294.498523 	 -66214.013800 	 294.571442 	 294.616732 	 294.588898
12:00:20.112 AM 11/9/2024 	 472.615638 	 472.070473 	 295.025445 	 294.496224 	 -66213.780033 	 294.545948 	 294.616716 	 294.567651
12:00:25.232 AM 11/9/2024 	 472.205524 	 471.646798 	 295.024986 	 294.495611 	 -66213.672142 	 294.562018 	 294.606366 	 294.589382
12:00:30.360 AM 11/9/2024 	 471.921967 	 471.214055 	 295.025292 	 294.493619 	 -66213.402420 	 294.556664 	 294.594408 	 294.584500
12:00:35.502 AM 11/9/2024 	 472.282515 	 472.261404 	 295.024679 	 294.491321 	 -66213.120719 	 294.547486 	 294.618254 	 294.581456
12:00:40.637 AM 11/9/2024 	 472.316984 	 472.844775 	 295.024373 	 294.490555 	 -66213.006842 	 294.558342 	 294.600803 	 294.569665
12:00:45.763 AM 11/9/2024 	 472.064626 	 472.246290 	 295.025139 	 294.489176 	 -66212.898960 	 294.541385 	 294.610267 	 294.581017
12:00:50.890 AM 11/9/2024 	 472.640043 	 471.607000 	 295.024526 	 294.488256 	 -66212.695186 	 294.558949 	 294.619337 	 294.580652
12:00:56.047 AM 11/9/2024 	 472.300630 	 471.509771 	 295.024067 	 294.488256 	 -66212.611280 	 294.544450 	 294.630786 	 294.572287
12:01:01.179 AM 11/9/2024 	 472.208543 	 471.245038 	 295.024986 	 294.486571 	 -66212.419498 	 294.556873 	 294.623395 	 294.578105
