IMPEDANCE MEASUREMENT 
2:34:36.688 PM 2025-08-12
Chamber temperature (K): 0
Chamber pressure (MPa): 0
Description: 	Default
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 20.521721 	 1.544391 	
1 	 857765.625000 	 20.528406 	 1.180963 	
2 	 735703.125000 	 20.540930 	 0.857848 	
3 	 630984.375000 	 20.553450 	 0.540123 	
4 	 541171.875000 	 20.574141 	 0.267454 	
5 	 464203.125000 	 20.590437 	 0.015280 	
6 	 398109.375000 	 20.605698 	 -0.234747 	
7 	 341484.375000 	 20.629324 	 -0.476659 	
8 	 292921.875000 	 20.647188 	 -0.729063 	
9 	 251203.140625 	 20.667933 	 -0.951166 	
10 	 215484.375000 	 20.703127 	 -1.191887 	
11 	 184828.125000 	 20.737680 	 -1.434501 	
12 	 158578.125000 	 20.775452 	 -1.709222 	
13 	 135984.375000 	 20.817043 	 -2.001983 	
14 	 116671.867187 	 20.861547 	 -2.333800 	
15 	 100078.125000 	 20.912111 	 -2.632844 	
16 	 85828.125000 	 20.970627 	 -3.007811 	
17 	 73640.625000 	 21.038925 	 -3.404123 	
18 	 63140.625000 	 21.109674 	 -3.848987 	
19 	 54140.625000 	 21.194885 	 -4.338573 	
20 	 46453.125000 	 21.293709 	 -4.888185 	
21 	 39890.625000 	 21.404299 	 -5.479363 	
22 	 34171.875000 	 21.528141 	 -6.144879 	
23 	 29296.875000 	 21.668684 	 -6.869886 	
24 	 25171.875000 	 21.836035 	 -7.660131 	
25 	 21609.375000 	 22.021231 	 -8.545551 	
26 	 18515.625000 	 22.237532 	 -9.551294 	
27 	 15890.625000 	 22.482689 	 -10.618847 	
28 	 13640.625000 	 22.765062 	 -11.812421 	
29 	 11671.875000 	 23.098640 	 -13.125450 	
30 	 10078.125000 	 23.453592 	 -14.503897 	
31 	 8578.125000 	 23.897751 	 -16.150263 	
32 	 7359.375488 	 24.405741 	 -17.875990 	
33 	 6328.125000 	 24.971325 	 -19.709631 	
34 	 5376.838379 	 25.702019 	 -21.880318 	
35 	 4641.543945 	 26.458021 	 -23.984238 	
36 	 3984.374756 	 27.376436 	 -26.341362 	
37 	 3421.875000 	 28.460876 	 -28.889124 	
38 	 2953.125000 	 29.697706 	 -31.466934 	
39 	 2527.573486 	 31.244339 	 -34.341877 	
40 	 2159.926514 	 33.104351 	 -37.384277 	
41 	 1847.956665 	 35.311771 	 -40.487164 	
42 	 1577.524048 	 37.985630 	 -43.673428 	
43 	 1359.375000 	 40.966923 	 -46.684319 	
44 	 1171.875000 	 44.486908 	 -49.640869 	
45 	 998.263855 	 48.979950 	 -52.787884 	
46 	 856.370239 	 54.072224 	 -55.622944 	
47 	 737.847229 	 59.877911 	 -58.291740 	
48 	 627.790161 	 67.229721 	 -60.976501 	
49 	 544.084778 	 74.867760 	 -63.172050 	
50 	 460.379456 	 85.300217 	 -65.535805 	
51 	 397.995270 	 95.907951 	 -67.426613 	
52 	 340.221771 	 109.157738 	 -69.268867 	
53 	 292.968750 	 123.823975 	 -70.847374 	
54 	 252.403839 	 140.696030 	 -72.260063 	
55 	 217.013885 	 160.446167 	 -73.533607 	
56 	 186.011902 	 183.730698 	 -74.679253 	
57 	 158.361496 	 211.967590 	 -75.722450 	
58 	 135.216339 	 244.175583 	 -76.616112 	
59 	 117.187500 	 277.759094 	 -77.315277 	
