IMPEDANCE MEASUREMENT 
11:17:27.517 AM 2025-08-13
Chamber temperature (K): 0
Chamber pressure (MPa): 0
Description: 	Default
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 11.357013 	 3.002299 	
1 	 857765.625000 	 11.353159 	 2.359373 	
2 	 735703.125000 	 11.356649 	 1.759189 	
3 	 630984.375000 	 11.361708 	 1.200809 	
4 	 541171.875000 	 11.368798 	 0.719785 	
5 	 464203.125000 	 11.385646 	 0.232376 	
6 	 398109.375000 	 11.397989 	 -0.210851 	
7 	 341484.375000 	 11.412999 	 -0.622249 	
8 	 292921.875000 	 11.430346 	 -1.040771 	
9 	 251203.140625 	 11.455990 	 -1.465958 	
10 	 215484.375000 	 11.480615 	 -1.897440 	
11 	 184828.125000 	 11.514293 	 -2.363737 	
12 	 158578.125000 	 11.547672 	 -2.821813 	
13 	 135984.375000 	 11.583439 	 -3.317429 	
14 	 116671.867187 	 11.629543 	 -3.850173 	
15 	 100078.125000 	 11.681778 	 -4.406909 	
16 	 85828.125000 	 11.737770 	 -5.030735 	
17 	 73640.625000 	 11.802959 	 -5.700843 	
18 	 63140.625000 	 11.877408 	 -6.438278 	
19 	 54140.625000 	 11.963405 	 -7.255205 	
20 	 46453.125000 	 12.063436 	 -8.151493 	
21 	 39890.625000 	 12.175783 	 -9.104930 	
22 	 34171.875000 	 12.304981 	 -10.200580 	
23 	 29296.875000 	 12.455635 	 -11.369087 	
24 	 25171.875000 	 12.626904 	 -12.651169 	
25 	 21609.375000 	 12.823806 	 -14.059132 	
26 	 18515.625000 	 13.054599 	 -15.607610 	
27 	 15890.625000 	 13.316620 	 -17.283838 	
28 	 13640.625000 	 13.623775 	 -19.102810 	
29 	 11671.875000 	 13.987413 	 -21.107887 	
30 	 10078.125000 	 14.390572 	 -23.169807 	
31 	 8578.125000 	 14.901522 	 -25.608978 	
32 	 7359.375488 	 15.480426 	 -28.053358 	
33 	 6328.125000 	 16.155409 	 -30.651083 	
34 	 5376.838379 	 17.019138 	 -33.574959 	
35 	 4641.543945 	 17.949564 	 -36.307095 	
36 	 3984.374756 	 19.082287 	 -39.251263 	
37 	 3421.875000 	 20.417526 	 -42.208683 	
38 	 2953.125000 	 21.949896 	 -45.087738 	
39 	 2527.573486 	 23.850412 	 -48.082428 	
40 	 2159.926514 	 26.119026 	 -51.056995 	
41 	 1847.956665 	 28.768929 	 -53.865337 	
42 	 1577.524048 	 31.935108 	 -56.609707 	
43 	 1359.375000 	 35.418453 	 -59.027344 	
44 	 1171.875000 	 39.430695 	 -61.294762 	
45 	 998.263855 	 44.484509 	 -63.558567 	
46 	 856.370239 	 50.115540 	 -65.557556 	
47 	 737.847229 	 56.414680 	 -67.329765 	
48 	 627.790161 	 64.400833 	 -69.086197 	
49 	 544.084778 	 72.454811 	 -70.508530 	
50 	 460.379456 	 83.446037 	 -71.942230 	
51 	 397.995270 	 94.519913 	 -73.106407 	
52 	 340.221771 	 108.267075 	 -74.240860 	
53 	 292.968750 	 123.388420 	 -75.205208 	
54 	 252.403839 	 140.705719 	 -76.066345 	
55 	 217.013885 	 160.892868 	 -76.845085 	
56 	 186.011902 	 184.626190 	 -77.549858 	
57 	 158.361496 	 213.302628 	 -78.198990 	
58 	 135.216339 	 245.967987 	 -78.762001 	
59 	 117.187500 	 279.957611 	 -79.204712 	
