IMPEDANCE MEASUREMENT 
1:56:15.159 PM 2025-08-13
Chamber temperature (K): 293.11
Chamber pressure (MPa): 3.38
Description: 	Default
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 22977.539062 	 -89.714928 	
1 	 857765.625000 	 7118.311035 	 -15.265800 	
2 	 735703.125000 	 31239.988281 	 -90.611916 	
3 	 630984.375000 	 36540.941406 	 -89.809654 	
4 	 541171.875000 	 42657.574219 	 -90.142204 	
5 	 464203.125000 	 49330.953125 	 -90.078781 	
6 	 398109.375000 	 2237.622314 	 -1.854179 	
7 	 341484.375000 	 4349.375977 	 -1.767593 	
8 	 292921.875000 	 1859.967041 	 0.038201 	
9 	 251203.140625 	 532.423706 	 -0.361420 	
10 	 215484.375000 	 449.096680 	 -0.266497 	
11 	 184828.125000 	 484.307617 	 -0.269814 	
12 	 158578.125000 	 536.295166 	 -0.272285 	
13 	 135984.375000 	 590.893188 	 -0.290197 	
14 	 116671.867187 	 771.154907 	 -0.279082 	
