IMPEDANCE MEASUREMENT 
10:14:51.087 AM 2025-08-14
Chamber temperature (K): 292.14
Chamber pressure (MPa): 600.05
Description: 	Default
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 20.825727 	 4.969322 	
1 	 857765.625000 	 20.784870 	 4.220955 	
2 	 735703.125000 	 20.757086 	 3.539069 	
3 	 630984.375000 	 20.734236 	 2.898123 	
4 	 541171.875000 	 20.715097 	 2.371322 	
5 	 464203.125000 	 20.707493 	 1.855729 	
6 	 398109.375000 	 20.694038 	 1.415918 	
7 	 341484.375000 	 20.700121 	 0.962962 	
8 	 292921.875000 	 20.700026 	 0.565325 	
9 	 251203.140625 	 20.705967 	 0.184396 	
10 	 215484.375000 	 20.720541 	 -0.220734 	
11 	 184828.125000 	 20.734398 	 -0.561755 	
12 	 158578.125000 	 20.752369 	 -0.931913 	
13 	 135984.375000 	 20.788549 	 -1.323250 	
14 	 116671.867187 	 20.822557 	 -1.738863 	
15 	 100078.125000 	 20.858572 	 -2.134404 	
16 	 85828.125000 	 20.900629 	 -2.583956 	
17 	 73640.625000 	 20.955647 	 -3.052743 	
18 	 63140.625000 	 21.024275 	 -3.571953 	
19 	 54140.625000 	 21.102057 	 -4.135068 	
20 	 46453.125000 	 21.190958 	 -4.739239 	
21 	 39890.625000 	 21.295135 	 -5.406813 	
22 	 34171.875000 	 21.419106 	 -6.138657 	
23 	 29296.875000 	 21.560722 	 -6.925798 	
24 	 25171.875000 	 21.719637 	 -7.807467 	
25 	 21609.375000 	 21.905117 	 -8.775068 	
26 	 18515.625000 	 22.123508 	 -9.854789 	
27 	 15890.625000 	 22.370396 	 -11.010639 	
28 	 13640.625000 	 22.660133 	 -12.294493 	
29 	 11671.875000 	 22.999418 	 -13.725524 	
30 	 10078.125000 	 23.370340 	 -15.206409 	
31 	 8578.125000 	 23.838840 	 -17.000061 	
32 	 7359.375488 	 24.353264 	 -18.847486 	
33 	 6328.125000 	 24.956171 	 -20.831221 	
34 	 5376.838379 	 25.716930 	 -23.171072 	
35 	 4641.543945 	 26.533737 	 -25.447519 	
36 	 3984.374756 	 27.528231 	 -28.006355 	
37 	 3421.875000 	 28.708153 	 -30.695875 	
38 	 2953.125000 	 30.060497 	 -33.464905 	
39 	 2527.573486 	 31.756628 	 -36.507664 	
40 	 2159.926514 	 33.809563 	 -39.696327 	
41 	 1847.956665 	 36.252678 	 -42.915649 	
42 	 1577.524048 	 39.216236 	 -46.225590 	
43 	 1359.375000 	 42.531609 	 -49.298103 	
44 	 1171.875000 	 46.453724 	 -52.280350 	
45 	 998.263855 	 51.434185 	 -55.427505 	
46 	 856.370239 	 57.078236 	 -58.281857 	
47 	 737.847229 	 63.506920 	 -60.864662 	
48 	 627.790161 	 71.705017 	 -63.520863 	
49 	 544.084778 	 80.170914 	 -65.662651 	
50 	 460.379456 	 91.765450 	 -67.968170 	
51 	 397.995270 	 103.561401 	 -69.799881 	
52 	 340.221771 	 118.312851 	 -71.594376 	
53 	 292.968750 	 134.658463 	 -73.126434 	
54 	 252.403839 	 153.506332 	 -74.501740 	
55 	 217.013885 	 175.593842 	 -75.745033 	
56 	 186.011902 	 201.698242 	 -76.872688 	
57 	 158.361496 	 233.411423 	 -77.909767 	
58 	 135.216339 	 269.690308 	 -78.801460 	
59 	 117.187500 	 307.544067 	 -79.493492 	
