
IMPEDANCE MEASUREMENT 
1:34:27.652 PM 2025-08-15
Chamber temperature (K): 291.61
Chamber pressure (MPa): 596.44
Description: 	Default
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 10.052508 	 3.335557 	
1 	 857765.625000 	 10.057328 	 2.623662 	
2 	 735703.125000 	 10.066730 	 2.006115 	
3 	 630984.375000 	 10.077065 	 1.454751 	
4 	 541171.875000 	 10.091213 	 0.953103 	
5 	 464203.125000 	 10.108037 	 0.504926 	
6 	 398109.375000 	 10.129785 	 0.100435 	
7 	 341484.375000 	 10.150359 	 -0.265283 	
8 	 292921.875000 	 10.174535 	 -0.620196 	
9 	 251203.140625 	 10.200725 	 -0.942544 	
10 	 215484.375000 	 10.228238 	 -1.253407 	
11 	 184828.125000 	 10.259899 	 -1.544171 	
12 	 158578.125000 	 10.292656 	 -1.866463 	
13 	 135984.375000 	 10.326210 	 -2.153229 	
14 	 116671.867187 	 10.365102 	 -2.455398 	
15 	 100078.125000 	 10.407030 	 -2.741642 	
16 	 85828.125000 	 10.449511 	 -3.058196 	
17 	 73640.625000 	 10.497083 	 -3.396391 	
18 	 63140.625000 	 10.547074 	 -3.765090 	
19 	 54140.625000 	 10.600636 	 -4.139763 	
20 	 46453.125000 	 10.662945 	 -4.556909 	
21 	 39890.625000 	 10.727762 	 -4.994680 	
22 	 34171.875000 	 10.798500 	 -5.469253 	
23 	 29296.875000 	 10.878057 	 -5.991273 	
24 	 25171.875000 	 10.966302 	 -6.543134 	
25 	 21609.375000 	 11.062282 	 -7.152713 	
26 	 18515.625000 	 11.172705 	 -7.823661 	
27 	 15890.625000 	 11.292166 	 -8.533185 	
28 	 13640.625000 	 11.425379 	 -9.298892 	
29 	 11671.875000 	 11.578894 	 -10.135192 	
30 	 10078.125000 	 11.742078 	 -10.988442 	
31 	 8578.125000 	 11.943239 	 -12.011249 	
32 	 7359.375488 	 12.155512 	 -13.030179 	
33 	 6328.125000 	 12.392632 	 -14.105050 	
34 	 5376.838379 	 12.685501 	 -15.340163 	
35 	 4641.543945 	 12.980379 	 -16.502666 	
36 	 3984.374756 	 13.325784 	 -17.785524 	
37 	 3421.875000 	 13.712231 	 -19.103575 	
38 	 2953.125000 	 14.137673 	 -20.414778 	
39 	 2527.573486 	 14.639602 	 -21.846205 	
40 	 2159.926514 	 15.214965 	 -23.291395 	
41 	 1847.956665 	 15.848331 	 -24.755331 	
42 	 1577.524048 	 16.575401 	 -26.227879 	
43 	 1359.375000 	 17.330332 	 -27.609814 	
44 	 1171.875000 	 18.162914 	 -28.974792 	
45 	 998.263855 	 19.165352 	 -30.455147 	
46 	 856.370239 	 20.220875 	 -31.839399 	
47 	 737.847229 	 21.351997 	 -33.192226 	
48 	 627.790161 	 22.705317 	 -34.633324 	
49 	 544.084778 	 24.032202 	 -35.890526 	
50 	 460.379456 	 25.757301 	 -37.375145 	
51 	 397.995270 	 27.427410 	 -38.639046 	
52 	 340.221771 	 29.434553 	 -39.934231 	
53 	 292.968750 	 31.552776 	 -41.194653 	
54 	 252.403839 	 33.899544 	 -42.415798 	
55 	 217.013885 	 36.544491 	 -43.610973 	
56 	 186.011902 	 39.553974 	 -44.780312 	
57 	 158.361496 	 43.063805 	 -45.935139 	
58 	 135.216339 	 46.936420 	 -46.994148 	
59 	 117.187500 	 50.836010 	 -47.885094 	
