IMPEDANCE MEASUREMENT 
9:20:48.988 AM 2025-08-18
Chamber temperature (K): 290.97
Chamber pressure (MPa): 588.28
Description: 	testblabla
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 550476.062500 	 -172.824280 	
1 	 857765.625000 	 658674.437500 	 -167.783920 	
2 	 735703.125000 	 1036594.812500 	 -163.918198 	
3 	 630984.375000 	 1701862.625000 	 179.569489 	
4 	 541171.875000 	 1299355.250000 	 -175.514206 	
5 	 464203.125000 	 20499718.000000 	 -145.457336 	
6 	 398109.375000 	 33899240.000000 	 -152.959351 	
7 	 341484.375000 	 17829852.000000 	 159.876465 	
8 	 292921.875000 	 38908240.000000 	 -169.140289 	
9 	 251203.140625 	 117307760.000000 	 -103.037277 	
10 	 215484.375000 	 598800960.000000 	 66.136948 	
11 	 184828.125000 	 88359672.000000 	 56.269550 	
12 	 158578.125000 	 60587048.000000 	 -116.268806 	
13 	 135984.375000 	 27788786.000000 	 -68.759186 	
14 	 116671.867187 	 21510396.000000 	 171.771255 	
15 	 100078.125000 	 65419100.000000 	 -139.566742 	
16 	 85828.125000 	 84808616.000000 	 -104.254517 	
17 	 73640.625000 	 120334656.000000 	 -147.040192 	
18 	 63140.625000 	 126290984.000000 	 -179.705994 	
19 	 54140.625000 	 117093152.000000 	 160.029999 	
20 	 46453.125000 	 11240056832.000000 	 80.873993 	
21 	 39890.625000 	 5978273792.000000 	 118.388474 	
22 	 34171.875000 	 799464640.000000 	 -1.478949 	
23 	 29296.875000 	 646724992.000000 	 -33.905964 	
24 	 25171.875000 	 784465408.000000 	 -34.345585 	
25 	 21609.375000 	 1544710144.000000 	 4.480590 	
26 	 18515.625000 	 1992122496.000000 	 -37.907433 	
