IMPEDANCE MEASUREMENT 
1:06:08.822 PM 2025-08-21
Chamber temperature (K): 292.59
Chamber pressure (MPa): 3
Description: 	Default
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 25.395164 	 5.609610 	
1 	 857765.625000 	 25.311869 	 1.843974 	
2 	 735703.125000 	 25.354479 	 2.164943 	
3 	 630984.375000 	 25.302105 	 0.796713 	
4 	 541171.875000 	 25.333874 	 1.009714 	
5 	 464203.125000 	 25.299131 	 0.019914 	
6 	 398109.375000 	 25.374548 	 0.015725 	
7 	 341484.375000 	 25.356012 	 -0.859267 	
8 	 292921.875000 	 25.408680 	 -0.996199 	
9 	 251203.140625 	 25.437981 	 -1.755455 	
10 	 215484.375000 	 25.476383 	 -1.984322 	
11 	 184828.125000 	 25.545952 	 -2.565746 	
12 	 158578.125000 	 25.615332 	 -3.112245 	
13 	 135984.375000 	 25.689400 	 -3.723949 	
14 	 116671.867187 	 25.783609 	 -4.401675 	
15 	 100078.125000 	 25.894842 	 -5.113680 	
16 	 85828.125000 	 26.024143 	 -5.887438 	
17 	 73640.625000 	 26.178776 	 -6.759453 	
18 	 63140.625000 	 26.363832 	 -7.726223 	
19 	 54140.625000 	 26.579927 	 -8.744067 	
20 	 46453.125000 	 26.830650 	 -9.908010 	
21 	 39890.625000 	 27.118458 	 -11.106137 	
22 	 34171.875000 	 27.471640 	 -12.511771 	
23 	 29296.875000 	 27.884274 	 -14.067027 	
24 	 25171.875000 	 28.358528 	 -15.725574 	
25 	 21609.375000 	 28.920380 	 -17.546141 	
26 	 18515.625000 	 29.587143 	 -19.565300 	
27 	 15890.625000 	 30.374041 	 -21.743174 	
28 	 13640.625000 	 31.298950 	 -24.092916 	
29 	 11671.875000 	 32.432701 	 -26.668819 	
30 	 10078.125000 	 33.710739 	 -29.249760 	
31 	 8578.125000 	 35.385811 	 -32.264446 	
32 	 7359.375488 	 37.297894 	 -35.223331 	
33 	 6328.125000 	 39.569599 	 -38.242199 	
34 	 5376.838379 	 42.507481 	 -41.543625 	
35 	 4641.543945 	 45.679031 	 -44.504425 	
36 	 3984.374756 	 49.574436 	 -47.526321 	
37 	 3421.875000 	 54.167706 	 -50.427559 	
38 	 2953.125000 	 59.361309 	 -53.102623 	
39 	 2527.573486 	 65.782387 	 -55.763409 	
40 	 2159.926514 	 73.381981 	 -58.268127 	
41 	 1847.956665 	 82.189735 	 -60.557980 	
42 	 1577.524048 	 92.481850 	 -62.623215 	
43 	 1359.375000 	 103.768074 	 -64.421135 	
44 	 1171.875000 	 116.588249 	 -66.030930 	
45 	 998.263855 	 132.682449 	 -67.627655 	
46 	 856.370239 	 150.290131 	 -68.893028 	
47 	 737.847229 	 169.885483 	 -70.068855 	
48 	 627.790161 	 194.270737 	 -71.175690 	
49 	 544.084778 	 218.868469 	 -72.034370 	
50 	 460.379456 	 252.110092 	 -72.934296 	
51 	 397.995270 	 285.257355 	 -73.642342 	
52 	 340.221771 	 326.051483 	 -74.270844 	
53 	 292.968750 	 370.564178 	 -74.860588 	
54 	 252.403839 	 421.147614 	 -75.389061 	
55 	 217.013885 	 479.715912 	 -75.876663 	
56 	 186.011902 	 548.116577 	 -76.322289 	
57 	 158.361496 	 630.207397 	 -76.745972 	
58 	 135.216339 	 723.020386 	 -77.124138 	
59 	 117.187500 	 819.058533 	 -77.436493 	
