IMPEDANCE MEASUREMENT 
1:59:30.566 PM 2025-08-21
Chamber temperature (K): 294.43
Chamber pressure (MPa): 1.54
Description: 	Default
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 11.201898 	 2.695545 	
1 	 857765.625000 	 11.200893 	 1.998349 	
2 	 735703.125000 	 11.206161 	 1.340716 	
3 	 630984.375000 	 11.212997 	 0.718089 	
4 	 541171.875000 	 11.222686 	 0.138341 	
5 	 464203.125000 	 11.238833 	 -0.421547 	
6 	 398109.375000 	 11.258018 	 -0.962947 	
7 	 341484.375000 	 11.279182 	 -1.523546 	
8 	 292921.875000 	 11.306013 	 -2.101652 	
9 	 251203.140625 	 11.335434 	 -2.683949 	
10 	 215484.375000 	 11.367727 	 -3.292342 	
11 	 184828.125000 	 11.412014 	 -3.954505 	
12 	 158578.125000 	 11.455458 	 -4.656863 	
13 	 135984.375000 	 11.514200 	 -5.415866 	
14 	 116671.867187 	 11.575259 	 -6.228336 	
15 	 100078.125000 	 11.653468 	 -7.124697 	
16 	 85828.125000 	 11.743778 	 -8.114432 	
17 	 73640.625000 	 11.844408 	 -9.208694 	
18 	 63140.625000 	 11.966285 	 -10.410763 	
19 	 54140.625000 	 12.109465 	 -11.733304 	
20 	 46453.125000 	 12.276070 	 -13.163918 	
21 	 39890.625000 	 12.470528 	 -14.728895 	
22 	 34171.875000 	 12.702102 	 -16.473051 	
23 	 29296.875000 	 12.975471 	 -18.362762 	
24 	 25171.875000 	 13.291489 	 -20.387014 	
25 	 21609.375000 	 13.665613 	 -22.576900 	
26 	 18515.625000 	 14.112777 	 -24.970362 	
27 	 15890.625000 	 14.638325 	 -27.523563 	
28 	 13640.625000 	 15.266890 	 -30.205599 	
29 	 11671.875000 	 16.033377 	 -33.092953 	
30 	 10078.125000 	 16.888424 	 -35.915546 	
31 	 8578.125000 	 18.009844 	 -39.112007 	
32 	 7359.375488 	 19.283899 	 -42.185581 	
33 	 6328.125000 	 20.784151 	 -45.220940 	
34 	 5376.838379 	 22.702505 	 -48.424801 	
35 	 4641.543945 	 24.759226 	 -51.206600 	
36 	 3984.374756 	 27.250685 	 -54.004078 	
37 	 3421.875000 	 30.165199 	 -56.609108 	
38 	 2953.125000 	 33.433243 	 -58.994041 	
39 	 2527.573486 	 37.448116 	 -61.296692 	
40 	 2159.926514 	 42.169556 	 -63.456356 	
41 	 1847.956665 	 47.599308 	 -65.354950 	
42 	 1577.524048 	 53.967846 	 -67.129601 	
43 	 1359.375000 	 60.902241 	 -68.627739 	
44 	 1171.875000 	 68.864075 	 -69.992493 	
45 	 998.263855 	 78.727676 	 -71.272331 	
46 	 856.370239 	 89.583710 	 -72.408646 	
47 	 737.847229 	 101.603424 	 -73.403069 	
48 	 627.790161 	 116.768860 	 -74.239784 	
49 	 544.084778 	 132.183304 	 -75.096054 	
50 	 460.379456 	 152.894180 	 -75.861671 	
51 	 397.995270 	 173.652634 	 -76.476547 	
52 	 340.221771 	 199.288696 	 -77.075722 	
53 	 292.968750 	 227.349564 	 -77.584854 	
54 	 252.403839 	 259.377350 	 -78.047409 	
55 	 217.013885 	 296.578735 	 -78.472069 	
56 	 186.011902 	 340.112732 	 -78.850098 	
57 	 158.361496 	 392.629150 	 -79.219765 	
58 	 135.216339 	 452.248596 	 -79.555305 	
59 	 117.187500 	 514.117310 	 -79.829773 	
