IMPEDANCE MEASUREMENT 
12:29:39.507 PM 2025-08-25
Chamber temperature (K): 292.7
Chamber pressure (MPa): 2.59
Description: 	NaClp5m
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 265574.812500 	 -90.963623 	
1 	 857765.625000 	 641297.937500 	 -85.918190 	
2 	 735703.125000 	 260838.218750 	 -92.136444 	
3 	 630984.375000 	 424890.500000 	 -81.478294 	
4 	 541171.875000 	 639994.750000 	 -33.645336 	
5 	 464203.125000 	 346688.531250 	 -100.782028 	
6 	 398109.375000 	 559975.437500 	 -95.607773 	
7 	 341484.375000 	 1097667.500000 	 -135.845703 	
8 	 292921.875000 	 506244.000000 	 -110.582344 	
9 	 251203.140625 	 756106.875000 	 -68.744263 	
10 	 215484.375000 	 671945.562500 	 -23.812630 	
11 	 184828.125000 	 1008983.437500 	 -92.881096 	
12 	 158578.125000 	 713609.812500 	 -76.691307 	
13 	 135984.375000 	 701363.437500 	 121.991577 	
14 	 116671.867187 	 437470.843750 	 -46.521774 	
15 	 100078.125000 	 2672502.250000 	 -98.053146 	
16 	 85828.125000 	 3016449.250000 	 -91.268524 	
17 	 73640.625000 	 3317567.500000 	 -94.524689 	
18 	 63140.625000 	 5310355.000000 	 -89.356255 	
19 	 54140.625000 	 9033225.000000 	 -76.153946 	
20 	 46453.125000 	 8587464.000000 	 -101.947319 	
21 	 39890.625000 	 1623656.500000 	 116.191879 	
22 	 34171.875000 	 9636545.000000 	 -94.028221 	
23 	 29296.875000 	 6141159.000000 	 -79.527527 	
24 	 25171.875000 	 2918081.750000 	 -88.532875 	
