IMPEDANCE MEASUREMENT 
12:32:52.049 PM 2025-08-25
Chamber temperature (K): 292.65
Chamber pressure (MPa): 3.45
Description: 	NaClp5m_1WS_2C
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 321.602448 	 0.933215 	
1 	 857765.625000 	 323.619690 	 0.700488 	
2 	 735703.125000 	 329.918427 	 0.567873 	
3 	 630984.375000 	 343.918793 	 0.489935 	
4 	 541171.875000 	 370.070953 	 0.338868 	
5 	 464203.125000 	 393.130951 	 3.123720 	
6 	 398109.375000 	 403.193634 	 2.619462 	
7 	 341484.375000 	 434.882507 	 2.192297 	
8 	 292921.875000 	 464.077454 	 1.796509 	
9 	 251203.140625 	 491.291199 	 1.536582 	
10 	 215484.375000 	 526.833313 	 1.277857 	
11 	 184828.125000 	 569.998230 	 0.943020 	
12 	 158578.125000 	 600.306824 	 0.861530 	
13 	 135984.375000 	 662.926941 	 0.757005 	
14 	 116671.867187 	 732.337219 	 0.476013 	
15 	 100078.125000 	 807.732361 	 0.423814 	
16 	 85828.125000 	 859.643799 	 0.318096 	
17 	 73640.625000 	 940.335266 	 0.243451 	
18 	 63140.625000 	 1074.223755 	 0.166117 	
19 	 54140.625000 	 1336.189575 	 0.124907 	
20 	 46453.125000 	 2033.698730 	 0.063095 	
21 	 39890.625000 	 10659.717773 	 -0.373102 	
22 	 34171.875000 	 44031.277344 	 0.161891 	
23 	 29296.875000 	 109998.976562 	 -3.252576 	
24 	 25171.875000 	 915645.000000 	 -33.954338 	
25 	 21609.375000 	 1185840.250000 	 -32.772106 	
26 	 18515.625000 	 1049786.250000 	 -24.821327 	
27 	 15890.625000 	 1361974.250000 	 -33.330589 	
28 	 13640.625000 	 1864789.500000 	 -37.938046 	
29 	 11671.875000 	 2091206.750000 	 -33.254639 	
30 	 10078.125000 	 2539337.250000 	 -35.037266 	
