IMPEDANCE MEASUREMENT 
12:13:47.580 PM 2025-08-25
Chamber temperature (K): 293.43
Chamber pressure (MPa): 2.59
Description: 	NaClp5m_outside
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 26.355394 	 1.260679 	
1 	 857765.625000 	 26.362251 	 1.045693 	
2 	 735703.125000 	 26.317360 	 0.101052 	
3 	 630984.375000 	 26.377474 	 0.412692 	
4 	 541171.875000 	 26.374691 	 -0.432245 	
5 	 464203.125000 	 26.429623 	 -0.192126 	
6 	 398109.375000 	 26.451180 	 -0.467733 	
7 	 341484.375000 	 26.475071 	 -0.764102 	
8 	 292921.875000 	 26.512968 	 -1.009681 	
9 	 251203.140625 	 26.537931 	 -1.287420 	
10 	 215484.375000 	 26.584684 	 -1.601697 	
11 	 184828.125000 	 26.626856 	 -1.914139 	
12 	 158578.125000 	 26.678406 	 -2.264291 	
13 	 135984.375000 	 26.738441 	 -2.646558 	
14 	 116671.867187 	 26.786238 	 -3.099505 	
15 	 100078.125000 	 26.874811 	 -3.513524 	
16 	 85828.125000 	 26.981796 	 -3.997620 	
17 	 73640.625000 	 27.068363 	 -4.574603 	
18 	 63140.625000 	 27.193924 	 -5.166883 	
19 	 54140.625000 	 27.337587 	 -5.855241 	
20 	 46453.125000 	 27.493567 	 -6.578811 	
21 	 39890.625000 	 27.684517 	 -7.419303 	
22 	 34171.875000 	 27.903303 	 -8.343611 	
23 	 29296.875000 	 28.156830 	 -9.353763 	
24 	 25171.875000 	 28.447819 	 -10.473246 	
25 	 21609.375000 	 28.782640 	 -11.688362 	
26 	 18515.625000 	 29.180689 	 -13.060565 	
27 	 15890.625000 	 29.644716 	 -14.563996 	
28 	 13640.625000 	 30.176508 	 -16.193832 	
29 	 11671.875000 	 30.816559 	 -18.027330 	
30 	 10078.125000 	 31.530317 	 -19.906515 	
31 	 8578.125000 	 32.457512 	 -22.143124 	
32 	 7359.375488 	 33.486717 	 -24.422022 	
33 	 6328.125000 	 34.690289 	 -26.846025 	
34 	 5376.838379 	 36.232487 	 -29.617676 	
35 	 4641.543945 	 37.890285 	 -32.260117 	
36 	 3984.374756 	 39.930614 	 -35.128780 	
37 	 3421.875000 	 42.351093 	 -38.051048 	
38 	 2953.125000 	 45.134193 	 -40.941185 	
39 	 2527.573486 	 48.584072 	 -44.030987 	
40 	 2159.926514 	 52.764381 	 -47.087215 	
41 	 1847.956665 	 57.659893 	 -50.071510 	
42 	 1577.524048 	 63.524628 	 -52.972996 	
43 	 1359.375000 	 70.023430 	 -55.564728 	
44 	 1171.875000 	 77.507286 	 -58.025375 	
45 	 998.263855 	 86.976814 	 -60.450119 	
46 	 856.370239 	 97.523003 	 -62.600533 	
47 	 737.847229 	 109.358948 	 -64.491760 	
48 	 627.790161 	 124.186920 	 -66.367546 	
49 	 544.084778 	 139.449280 	 -67.869453 	
50 	 460.379456 	 159.909912 	 -69.448288 	
51 	 397.995270 	 180.536011 	 -70.669395 	
52 	 340.221771 	 206.036026 	 -71.849922 	
53 	 292.968750 	 233.972748 	 -72.859467 	
54 	 252.403839 	 265.885803 	 -73.753975 	
55 	 217.013885 	 302.912506 	 -74.568390 	
56 	 186.011902 	 346.287842 	 -75.286835 	
57 	 158.361496 	 398.528992 	 -75.977699 	
58 	 135.216339 	 457.741333 	 -76.577209 	
59 	 117.187500 	 519.214417 	 -77.063904 	
