IMPEDANCE MEASUREMENT 
12:02:35.885 PM 2025-08-25
Chamber temperature (K): 0
Chamber pressure (MPa): 0
Description: 	Standard_1p5Sm_WS1_C3
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 81.650360 	 -0.138284 	
1 	 857765.625000 	 81.668259 	 -0.217308 	
2 	 735703.125000 	 81.726013 	 -0.284764 	
3 	 630984.375000 	 81.799644 	 -0.364832 	
4 	 541171.875000 	 81.866913 	 -0.436827 	
5 	 464203.125000 	 81.892853 	 -0.517705 	
6 	 398109.375000 	 81.982758 	 -0.593197 	
7 	 341484.375000 	 82.030655 	 -0.677393 	
8 	 292921.875000 	 82.116333 	 -0.749550 	
9 	 251203.140625 	 82.182709 	 -0.846891 	
10 	 215484.375000 	 82.245468 	 -0.961380 	
11 	 184828.125000 	 82.331047 	 -1.064150 	
12 	 158578.125000 	 82.404831 	 -1.188475 	
13 	 135984.375000 	 82.527260 	 -1.336871 	
14 	 116671.867187 	 82.607246 	 -1.497415 	
15 	 100078.125000 	 82.758186 	 -1.667080 	
16 	 85828.125000 	 82.863815 	 -1.855364 	
17 	 73640.625000 	 83.006355 	 -2.054419 	
18 	 63140.625000 	 83.186012 	 -2.313459 	
19 	 54140.625000 	 83.367073 	 -2.595085 	
20 	 46453.125000 	 83.560112 	 -2.885770 	
21 	 39890.625000 	 83.799095 	 -3.250700 	
22 	 34171.875000 	 84.089989 	 -3.630267 	
23 	 29296.875000 	 84.389656 	 -4.069438 	
24 	 25171.875000 	 84.745667 	 -4.544629 	
25 	 21609.375000 	 85.136406 	 -5.065318 	
26 	 18515.625000 	 85.614441 	 -5.645234 	
27 	 15890.625000 	 86.084183 	 -6.296795 	
28 	 13640.625000 	 86.672424 	 -7.026782 	
29 	 11671.875000 	 87.332199 	 -7.829210 	
30 	 10078.125000 	 88.056221 	 -8.670790 	
31 	 8578.125000 	 88.942650 	 -9.715005 	
32 	 7359.375488 	 89.905304 	 -10.821189 	
33 	 6328.125000 	 91.011757 	 -12.012685 	
34 	 5376.838379 	 92.403152 	 -13.433828 	
35 	 4641.543945 	 93.814537 	 -14.859571 	
36 	 3984.374756 	 95.562416 	 -16.462738 	
37 	 3421.875000 	 97.565048 	 -18.233019 	
38 	 2953.125000 	 99.812309 	 -20.092031 	
39 	 2527.573486 	 102.642021 	 -22.208282 	
40 	 2159.926514 	 105.979477 	 -24.527506 	
41 	 1847.956665 	 109.890564 	 -27.031223 	
42 	 1577.524048 	 114.638985 	 -29.704763 	
43 	 1359.375000 	 119.945160 	 -32.380051 	
44 	 1171.875000 	 126.230400 	 -35.171211 	
45 	 998.263855 	 134.308441 	 -38.288059 	
46 	 856.370239 	 143.460129 	 -41.330894 	
47 	 737.847229 	 154.047714 	 -44.299221 	
48 	 627.790161 	 167.615479 	 -47.470131 	
49 	 544.084778 	 181.966782 	 -50.208584 	
50 	 460.379456 	 201.522964 	 -53.355785 	
51 	 397.995270 	 221.736313 	 -55.939014 	
52 	 340.221771 	 247.217682 	 -58.555218 	
53 	 292.968750 	 275.556335 	 -60.889378 	
54 	 252.403839 	 308.307556 	 -63.002445 	
55 	 217.013885 	 346.736206 	 -65.001236 	
56 	 186.011902 	 392.153259 	 -66.857681 	
57 	 158.361496 	 447.215790 	 -68.598938 	
58 	 135.216339 	 509.992859 	 -70.127991 	
59 	 117.187500 	 575.445923 	 -71.368065 	
