IMPEDANCE MEASUREMENT 
11:53:45.909 AM 2025-08-25
Chamber temperature (K): 0
Chamber pressure (MPa): 0
Description: 	Standard_8Sm_WS1_C3
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 14.759953 	 2.218425 	
1 	 857765.625000 	 14.775625 	 1.536891 	
2 	 735703.125000 	 14.786642 	 0.897919 	
3 	 630984.375000 	 14.807165 	 0.289408 	
4 	 541171.875000 	 14.831069 	 -0.242854 	
5 	 464203.125000 	 14.859792 	 -0.796769 	
6 	 398109.375000 	 14.893151 	 -1.315185 	
7 	 341484.375000 	 14.932094 	 -1.846374 	
8 	 292921.875000 	 14.978197 	 -2.377327 	
9 	 251203.140625 	 15.025417 	 -2.953204 	
10 	 215484.375000 	 15.079885 	 -3.511431 	
11 	 184828.125000 	 15.148056 	 -4.110271 	
12 	 158578.125000 	 15.221726 	 -4.778213 	
13 	 135984.375000 	 15.306610 	 -5.474238 	
14 	 116671.867187 	 15.400307 	 -6.248319 	
15 	 100078.125000 	 15.504369 	 -7.052416 	
16 	 85828.125000 	 15.624084 	 -7.955441 	
17 	 73640.625000 	 15.764445 	 -8.953743 	
18 	 63140.625000 	 15.924440 	 -10.055317 	
19 	 54140.625000 	 16.103357 	 -11.268724 	
20 	 46453.125000 	 16.311441 	 -12.586842 	
21 	 39890.625000 	 16.552652 	 -14.052238 	
22 	 34171.875000 	 16.837454 	 -15.675391 	
23 	 29296.875000 	 17.168777 	 -17.470493 	
24 	 25171.875000 	 17.551168 	 -19.375580 	
25 	 21609.375000 	 18.006227 	 -21.493284 	
26 	 18515.625000 	 18.548561 	 -23.811958 	
27 	 15890.625000 	 19.194046 	 -26.264370 	
28 	 13640.625000 	 19.959229 	 -28.908272 	
29 	 11671.875000 	 20.893415 	 -31.729837 	
30 	 10078.125000 	 21.935652 	 -34.542423 	
31 	 8578.125000 	 23.310926 	 -37.708618 	
32 	 7359.375488 	 24.873827 	 -40.810669 	
33 	 6328.125000 	 26.718605 	 -43.869926 	
34 	 5376.838379 	 29.083706 	 -47.148712 	
35 	 4641.543945 	 31.626059 	 -50.026283 	
36 	 3984.374756 	 34.713867 	 -52.907696 	
37 	 3421.875000 	 38.328396 	 -55.621986 	
38 	 2953.125000 	 42.402756 	 -58.098156 	
39 	 2527.573486 	 47.412899 	 -60.559528 	
40 	 2159.926514 	 53.316944 	 -62.839153 	
41 	 1847.956665 	 60.148048 	 -64.901459 	
42 	 1577.524048 	 68.163902 	 -66.787331 	
43 	 1359.375000 	 76.921394 	 -68.406212 	
44 	 1171.875000 	 86.918640 	 -69.885742 	
45 	 998.263855 	 99.441223 	 -71.323845 	
46 	 856.370239 	 113.173645 	 -72.496017 	
47 	 737.847229 	 128.535477 	 -73.610909 	
48 	 627.790161 	 147.895813 	 -74.663109 	
49 	 544.084778 	 167.578995 	 -75.547401 	
50 	 460.379456 	 193.913895 	 -76.402588 	
51 	 397.995270 	 220.498367 	 -77.090996 	
52 	 340.221771 	 253.432907 	 -77.764336 	
53 	 292.968750 	 289.548676 	 -78.347389 	
54 	 252.403839 	 330.859192 	 -78.848839 	
55 	 217.013885 	 378.942505 	 -79.341919 	
56 	 186.011902 	 435.434723 	 -79.799561 	
57 	 158.361496 	 503.645081 	 -80.238091 	
58 	 135.216339 	 581.310425 	 -80.627014 	
59 	 117.187500 	 662.144775 	 -80.949585 	
