IMPEDANCE MEASUREMENT 
11:49:15.098 AM 2025-08-26
Chamber temperature (K): 292.58
Chamber pressure (MPa): 199.07
Description: 	NaClp5m_SampleHolder_2WS_4C
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 19.819515 	 5.896125 	
1 	 857765.625000 	 19.776434 	 4.896853 	
2 	 735703.125000 	 19.744617 	 4.052474 	
3 	 630984.375000 	 19.733862 	 3.279162 	
4 	 541171.875000 	 19.718775 	 2.575960 	
5 	 464203.125000 	 19.715435 	 1.925308 	
6 	 398109.375000 	 19.721895 	 1.351396 	
7 	 341484.375000 	 19.733398 	 0.812539 	
8 	 292921.875000 	 19.755932 	 0.273450 	
9 	 251203.140625 	 19.775154 	 -0.207617 	
10 	 215484.375000 	 19.808094 	 -0.695966 	
11 	 184828.125000 	 19.841026 	 -1.156383 	
12 	 158578.125000 	 19.891245 	 -1.637855 	
13 	 135984.375000 	 19.953173 	 -2.142152 	
14 	 116671.867187 	 20.008707 	 -2.655022 	
15 	 100078.125000 	 20.076685 	 -3.148283 	
16 	 85828.125000 	 20.154743 	 -3.709065 	
17 	 73640.625000 	 20.251385 	 -4.297806 	
18 	 63140.625000 	 20.353931 	 -4.929717 	
19 	 54140.625000 	 20.474581 	 -5.609231 	
20 	 46453.125000 	 20.609657 	 -6.355337 	
21 	 39890.625000 	 20.764292 	 -7.145808 	
22 	 34171.875000 	 20.942734 	 -8.026515 	
23 	 29296.875000 	 21.149591 	 -8.971061 	
24 	 25171.875000 	 21.369743 	 -10.000152 	
25 	 21609.375000 	 21.625319 	 -11.116223 	
26 	 18515.625000 	 21.926512 	 -12.369748 	
27 	 15890.625000 	 22.254116 	 -13.729095 	
28 	 13640.625000 	 22.644825 	 -15.195299 	
29 	 11671.875000 	 23.095827 	 -16.848574 	
30 	 10078.125000 	 23.579702 	 -18.541094 	
31 	 8578.125000 	 24.192713 	 -20.550524 	
32 	 7359.375488 	 24.886002 	 -22.645094 	
33 	 6328.125000 	 25.667459 	 -24.878714 	
34 	 5376.838379 	 26.678909 	 -27.456469 	
35 	 4641.543945 	 27.746620 	 -29.981817 	
36 	 3984.374756 	 29.057322 	 -32.740971 	
37 	 3421.875000 	 30.608349 	 -35.649094 	
38 	 2953.125000 	 32.398312 	 -38.567524 	
39 	 2527.573486 	 34.641865 	 -41.730305 	
40 	 2159.926514 	 37.366989 	 -44.954422 	
41 	 1847.956665 	 40.585712 	 -48.149998 	
42 	 1577.524048 	 44.505939 	 -51.301559 	
43 	 1359.375000 	 48.866886 	 -54.155678 	
44 	 1171.875000 	 53.954540 	 -56.871567 	
45 	 998.263855 	 60.420479 	 -59.588688 	
46 	 856.370239 	 67.669861 	 -62.009747 	
47 	 737.847229 	 75.867737 	 -64.150269 	
48 	 627.790161 	 86.221756 	 -66.264595 	
49 	 544.084778 	 96.792290 	 -67.933029 	
50 	 460.379456 	 111.172241 	 -69.690834 	
51 	 397.995270 	 125.648453 	 -71.067116 	
52 	 340.221771 	 143.589508 	 -72.394798 	
53 	 292.968750 	 163.298965 	 -73.526039 	
54 	 252.403839 	 185.827835 	 -74.541748 	
55 	 217.013885 	 212.045074 	 -75.466896 	
56 	 186.011902 	 242.811569 	 -76.313652 	
57 	 158.361496 	 279.946411 	 -77.117783 	
58 	 135.216339 	 322.116486 	 -77.811760 	
59 	 117.187500 	 366.028412 	 -78.398895 	
