IMPEDANCE MEASUREMENT 
12:11:40.604 PM 2025-08-26
Chamber temperature (K): 292.59
Chamber pressure (MPa): 346.49
Description: 	NaClp5m_SampleHolder_2WS_4C
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 20.370646 	 5.721550 	
1 	 857765.625000 	 20.333277 	 4.785084 	
2 	 735703.125000 	 20.298492 	 3.957178 	
3 	 630984.375000 	 20.281561 	 3.205148 	
4 	 541171.875000 	 20.271326 	 2.538892 	
5 	 464203.125000 	 20.271009 	 1.909199 	
6 	 398109.375000 	 20.276272 	 1.341602 	
7 	 341484.375000 	 20.283707 	 0.811120 	
8 	 292921.875000 	 20.298840 	 0.338000 	
9 	 251203.140625 	 20.324484 	 -0.153688 	
10 	 215484.375000 	 20.347601 	 -0.634700 	
11 	 184828.125000 	 20.391239 	 -1.077479 	
12 	 158578.125000 	 20.428654 	 -1.553103 	
13 	 135984.375000 	 20.479370 	 -2.024652 	
14 	 116671.867187 	 20.541368 	 -2.495732 	
15 	 100078.125000 	 20.608206 	 -2.979391 	
16 	 85828.125000 	 20.686586 	 -3.520630 	
17 	 73640.625000 	 20.771229 	 -4.088358 	
18 	 63140.625000 	 20.871962 	 -4.694406 	
19 	 54140.625000 	 20.992590 	 -5.360343 	
20 	 46453.125000 	 21.118685 	 -6.064032 	
21 	 39890.625000 	 21.270218 	 -6.814715 	
22 	 34171.875000 	 21.438564 	 -7.667151 	
23 	 29296.875000 	 21.632902 	 -8.588380 	
24 	 25171.875000 	 21.847818 	 -9.578177 	
25 	 21609.375000 	 22.097591 	 -10.675820 	
26 	 18515.625000 	 22.385616 	 -11.869666 	
27 	 15890.625000 	 22.712320 	 -13.191818 	
28 	 13640.625000 	 23.084909 	 -14.620128 	
29 	 11671.875000 	 23.520761 	 -16.204287 	
30 	 10078.125000 	 23.986576 	 -17.849779 	
31 	 8578.125000 	 24.590977 	 -19.808502 	
32 	 7359.375488 	 25.251263 	 -21.836172 	
33 	 6328.125000 	 26.000959 	 -24.018620 	
34 	 5376.838379 	 26.961687 	 -26.536970 	
35 	 4641.543945 	 27.990379 	 -29.009609 	
36 	 3984.374756 	 29.245131 	 -31.740135 	
37 	 3421.875000 	 30.731974 	 -34.631191 	
38 	 2953.125000 	 32.441620 	 -37.528240 	
39 	 2527.573486 	 34.603203 	 -40.701382 	
40 	 2159.926514 	 37.220818 	 -43.971550 	
41 	 1847.956665 	 40.344479 	 -47.212467 	
42 	 1577.524048 	 44.124287 	 -50.425545 	
43 	 1359.375000 	 48.347160 	 -53.359985 	
44 	 1171.875000 	 53.307522 	 -56.153229 	
45 	 998.263855 	 59.617523 	 -58.984692 	
46 	 856.370239 	 66.689270 	 -61.499317 	
47 	 737.847229 	 74.750328 	 -63.727779 	
48 	 627.790161 	 84.859116 	 -65.907860 	
49 	 544.084778 	 95.261726 	 -67.699905 	
50 	 460.379456 	 109.378380 	 -69.504822 	
51 	 397.995270 	 123.622810 	 -70.946259 	
52 	 340.221771 	 141.288910 	 -72.339539 	
53 	 292.968750 	 160.712143 	 -73.528786 	
54 	 252.403839 	 182.926437 	 -74.590881 	
55 	 217.013885 	 208.821640 	 -75.564758 	
56 	 186.011902 	 239.233994 	 -76.464912 	
57 	 158.361496 	 276.002777 	 -77.308640 	
58 	 135.216339 	 317.769897 	 -78.037926 	
59 	 117.187500 	 361.319000 	 -78.652328 	
