IMPEDANCE MEASUREMENT 
10:54:35.506 AM 2025-08-26
Chamber temperature (K): 292.58
Chamber pressure (MPa): 2.17
Description: 	NaClp5m_outside_2WS_4C
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 21.007013 	 1.536773 	
1 	 857765.625000 	 21.024265 	 1.099908 	
2 	 735703.125000 	 21.041641 	 0.697386 	
3 	 630984.375000 	 21.063259 	 0.329239 	
4 	 541171.875000 	 21.089264 	 -0.017595 	
5 	 464203.125000 	 21.115278 	 -0.352633 	
6 	 398109.375000 	 21.152981 	 -0.673407 	
7 	 341484.375000 	 21.192390 	 -0.975482 	
8 	 292921.875000 	 21.225412 	 -1.292621 	
9 	 251203.140625 	 21.274961 	 -1.619458 	
10 	 215484.375000 	 21.323483 	 -1.943582 	
11 	 184828.125000 	 21.382742 	 -2.294710 	
12 	 158578.125000 	 21.441263 	 -2.637320 	
13 	 135984.375000 	 21.514988 	 -3.029626 	
14 	 116671.867187 	 21.595310 	 -3.442904 	
15 	 100078.125000 	 21.683701 	 -3.879559 	
16 	 85828.125000 	 21.781811 	 -4.357846 	
17 	 73640.625000 	 21.938526 	 -4.872365 	
18 	 63140.625000 	 22.068392 	 -5.441175 	
19 	 54140.625000 	 22.208488 	 -6.067127 	
20 	 46453.125000 	 22.365404 	 -6.754821 	
21 	 39890.625000 	 22.539068 	 -7.505315 	
22 	 34171.875000 	 22.742882 	 -8.329521 	
23 	 29296.875000 	 22.966936 	 -9.253666 	
24 	 25171.875000 	 23.223391 	 -10.234751 	
25 	 21609.375000 	 23.506804 	 -11.327528 	
26 	 18515.625000 	 23.837803 	 -12.524295 	
27 	 15890.625000 	 24.203520 	 -13.826900 	
28 	 13640.625000 	 24.629221 	 -15.279100 	
29 	 11671.875000 	 25.129688 	 -16.864456 	
30 	 10078.125000 	 25.663980 	 -18.518143 	
31 	 8578.125000 	 26.346489 	 -20.467894 	
32 	 7359.375488 	 27.102486 	 -22.504219 	
33 	 6328.125000 	 27.959650 	 -24.671349 	
34 	 5376.838379 	 29.060202 	 -27.167542 	
35 	 4641.543945 	 30.220293 	 -29.593157 	
36 	 3984.374756 	 31.637911 	 -32.248341 	
37 	 3421.875000 	 33.297943 	 -35.019451 	
38 	 2953.125000 	 35.199715 	 -37.799416 	
39 	 2527.573486 	 37.594418 	 -40.841782 	
40 	 2159.926514 	 40.466080 	 -43.922424 	
41 	 1847.956665 	 43.854347 	 -46.981529 	
42 	 1577.524048 	 47.955616 	 -50.027924 	
43 	 1359.375000 	 52.481316 	 -52.798145 	
44 	 1171.875000 	 57.772995 	 -55.433941 	
45 	 998.263855 	 64.456383 	 -58.102684 	
46 	 856.370239 	 71.940208 	 -60.514385 	
47 	 737.847229 	 80.460686 	 -62.645569 	
48 	 627.790161 	 91.136787 	 -64.731201 	
49 	 544.084778 	 102.103645 	 -66.421097 	
50 	 460.379456 	 116.804962 	 -68.190437 	
51 	 397.995270 	 131.691284 	 -69.568756 	
52 	 340.221771 	 150.101730 	 -70.900154 	
53 	 292.968750 	 170.293320 	 -72.033592 	
54 	 252.403839 	 193.321701 	 -73.042007 	
55 	 217.013885 	 220.046997 	 -73.959038 	
56 	 186.011902 	 251.345108 	 -74.799698 	
57 	 158.361496 	 288.973602 	 -75.593384 	
58 	 135.216339 	 331.629059 	 -76.281128 	
59 	 117.187500 	 375.919647 	 -76.869781 	
