IMPEDANCE MEASUREMENT 
11:01:00.597 AM 2025-08-26
Chamber temperature (K): 292.59
Chamber pressure (MPa): 2.63
Description: 	NaClp5m_outside_SampleHolder_2WS_4C
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 21.731064 	 4.320965 	
1 	 857765.625000 	 21.699364 	 3.534002 	
2 	 735703.125000 	 21.681965 	 2.841428 	
3 	 630984.375000 	 21.674768 	 2.221913 	
4 	 541171.875000 	 21.666536 	 1.636551 	
5 	 464203.125000 	 21.668385 	 1.125566 	
6 	 398109.375000 	 21.679901 	 0.631429 	
7 	 341484.375000 	 21.705219 	 0.168620 	
8 	 292921.875000 	 21.736061 	 -0.271280 	
9 	 251203.140625 	 21.767288 	 -0.693723 	
10 	 215484.375000 	 21.806568 	 -1.126698 	
11 	 184828.125000 	 21.854532 	 -1.553931 	
12 	 158578.125000 	 21.911114 	 -1.985365 	
13 	 135984.375000 	 21.964582 	 -2.450620 	
14 	 116671.867187 	 22.039995 	 -2.908328 	
15 	 100078.125000 	 22.119297 	 -3.390976 	
16 	 85828.125000 	 22.208618 	 -3.930654 	
17 	 73640.625000 	 22.320082 	 -4.499074 	
18 	 63140.625000 	 22.438366 	 -5.100965 	
19 	 54140.625000 	 22.571596 	 -5.769324 	
20 	 46453.125000 	 22.725529 	 -6.475185 	
21 	 39890.625000 	 22.902290 	 -7.242597 	
22 	 34171.875000 	 23.100700 	 -8.098064 	
23 	 29296.875000 	 23.326801 	 -9.025430 	
24 	 25171.875000 	 23.572630 	 -10.032979 	
25 	 21609.375000 	 23.863623 	 -11.133065 	
26 	 18515.625000 	 24.188574 	 -12.354058 	
27 	 15890.625000 	 24.562418 	 -13.700536 	
28 	 13640.625000 	 24.985954 	 -15.132684 	
29 	 11671.875000 	 25.484703 	 -16.729815 	
30 	 10078.125000 	 26.028149 	 -18.389437 	
31 	 8578.125000 	 26.723173 	 -20.366791 	
32 	 7359.375488 	 27.478056 	 -22.392107 	
33 	 6328.125000 	 28.344645 	 -24.564411 	
34 	 5376.838379 	 29.454376 	 -27.068613 	
35 	 4641.543945 	 30.625507 	 -29.480356 	
36 	 3984.374756 	 32.055908 	 -32.139778 	
37 	 3421.875000 	 33.742813 	 -34.905807 	
38 	 2953.125000 	 35.662125 	 -37.708130 	
39 	 2527.573486 	 38.084522 	 -40.725716 	
40 	 2159.926514 	 40.986271 	 -43.817741 	
41 	 1847.956665 	 44.406700 	 -46.871792 	
42 	 1577.524048 	 48.531231 	 -49.905098 	
43 	 1359.375000 	 53.103737 	 -52.692604 	
44 	 1171.875000 	 58.434223 	 -55.325611 	
45 	 998.263855 	 65.193848 	 -58.026062 	
46 	 856.370239 	 72.777016 	 -60.397854 	
47 	 737.847229 	 81.338829 	 -62.558716 	
48 	 627.790161 	 92.141510 	 -64.655128 	
49 	 544.084778 	 103.120529 	 -66.355751 	
50 	 460.379456 	 118.051949 	 -68.118385 	
51 	 397.995270 	 133.070221 	 -69.504501 	
52 	 340.221771 	 151.675705 	 -70.841377 	
53 	 292.968750 	 172.065735 	 -71.974762 	
54 	 252.403839 	 195.317459 	 -72.987617 	
55 	 217.013885 	 222.336426 	 -73.909866 	
56 	 186.011902 	 253.938828 	 -74.750977 	
57 	 158.361496 	 291.985168 	 -75.539177 	
58 	 135.216339 	 335.092804 	 -76.217621 	
59 	 117.187500 	 379.796356 	 -76.791100 	
