IMPEDANCE MEASUREMENT 
10:44:33.295 AM 2025-08-26
Chamber temperature (K): 292.58
Chamber pressure (MPa): 1.81
Description: 	Std81p5Sm_2WS_4C
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 64.042397 	 -0.080454 	
1 	 857765.625000 	 64.085068 	 -0.157940 	
2 	 735703.125000 	 64.133507 	 -0.251208 	
3 	 630984.375000 	 64.164749 	 -0.352952 	
4 	 541171.875000 	 64.219704 	 -0.444068 	
5 	 464203.125000 	 64.269173 	 -0.535341 	
6 	 398109.375000 	 64.317947 	 -0.622393 	
7 	 341484.375000 	 64.371346 	 -0.712374 	
8 	 292921.875000 	 64.439590 	 -0.816899 	
9 	 251203.140625 	 64.492912 	 -0.924654 	
10 	 215484.375000 	 64.566467 	 -1.026830 	
11 	 184828.125000 	 64.652206 	 -1.153034 	
12 	 158578.125000 	 64.724678 	 -1.296994 	
13 	 135984.375000 	 64.830872 	 -1.449381 	
14 	 116671.867187 	 64.938065 	 -1.615672 	
15 	 100078.125000 	 65.057503 	 -1.783038 	
16 	 85828.125000 	 65.181541 	 -1.970529 	
17 	 73640.625000 	 65.319313 	 -2.194742 	
18 	 63140.625000 	 65.485847 	 -2.442806 	
19 	 54140.625000 	 65.675476 	 -2.714041 	
20 	 46453.125000 	 65.858208 	 -2.984921 	
21 	 39890.625000 	 66.075424 	 -3.323269 	
22 	 34171.875000 	 66.333504 	 -3.680472 	
23 	 29296.875000 	 66.596184 	 -4.083939 	
24 	 25171.875000 	 66.907219 	 -4.525115 	
25 	 21609.375000 	 67.254234 	 -4.993166 	
26 	 18515.625000 	 67.626236 	 -5.538684 	
27 	 15890.625000 	 68.061470 	 -6.109842 	
28 	 13640.625000 	 68.536156 	 -6.762299 	
29 	 11671.875000 	 69.074242 	 -7.482204 	
30 	 10078.125000 	 69.647133 	 -8.235372 	
31 	 8578.125000 	 70.334343 	 -9.144417 	
32 	 7359.375488 	 71.101273 	 -10.107367 	
33 	 6328.125000 	 71.941010 	 -11.132349 	
34 	 5376.838379 	 72.987457 	 -12.380218 	
35 	 4641.543945 	 74.040016 	 -13.611704 	
36 	 3984.374756 	 75.296570 	 -15.005345 	
37 	 3421.875000 	 76.730537 	 -16.528084 	
38 	 2953.125000 	 78.321648 	 -18.130594 	
39 	 2527.573486 	 80.238335 	 -19.976833 	
40 	 2159.926514 	 82.495468 	 -22.017609 	
41 	 1847.956665 	 85.079536 	 -24.219788 	
42 	 1577.524048 	 88.195953 	 -26.624577 	
43 	 1359.375000 	 91.611465 	 -29.037699 	
44 	 1171.875000 	 95.657715 	 -31.607033 	
45 	 998.263855 	 100.820297 	 -34.540798 	
46 	 856.370239 	 106.692017 	 -37.460190 	
47 	 737.847229 	 113.464790 	 -40.361523 	
48 	 627.790161 	 122.232285 	 -43.560524 	
49 	 544.084778 	 131.425400 	 -46.393509 	
50 	 460.379456 	 144.143478 	 -49.653126 	
51 	 397.995270 	 157.291824 	 -52.396839 	
52 	 340.221771 	 173.901169 	 -55.222023 	
53 	 292.968750 	 192.456329 	 -57.764957 	
54 	 252.403839 	 213.956207 	 -60.144218 	
55 	 217.013885 	 239.257751 	 -62.377697 	
56 	 186.011902 	 269.221344 	 -64.478569 	
57 	 158.361496 	 305.557526 	 -66.455750 	
58 	 135.216339 	 347.141449 	 -68.239540 	
59 	 117.187500 	 390.515106 	 -69.702141 	
