IMPEDANCE MEASUREMENT 
10:30:03.645 AM 2025-08-26
Chamber temperature (K): 292.58
Chamber pressure (MPa): 2.1
Description: 	Std8Sm_1WS_3C
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 11.667706 	 2.058032 	
1 	 857765.625000 	 11.679889 	 1.424685 	
2 	 735703.125000 	 11.700580 	 0.867398 	
3 	 630984.375000 	 11.716785 	 0.370358 	
4 	 541171.875000 	 11.742154 	 -0.098671 	
5 	 464203.125000 	 11.768694 	 -0.536948 	
6 	 398109.375000 	 11.799235 	 -0.947774 	
7 	 341484.375000 	 11.833427 	 -1.334782 	
8 	 292921.875000 	 11.867736 	 -1.716341 	
9 	 251203.140625 	 11.906775 	 -2.099121 	
10 	 215484.375000 	 11.951542 	 -2.485963 	
11 	 184828.125000 	 11.997813 	 -2.872093 	
12 	 158578.125000 	 12.044709 	 -3.281842 	
13 	 135984.375000 	 12.100311 	 -3.702906 	
14 	 116671.867187 	 12.157674 	 -4.172455 	
15 	 100078.125000 	 12.219870 	 -4.647317 	
16 	 85828.125000 	 12.288427 	 -5.182778 	
17 	 73640.625000 	 12.358673 	 -5.763533 	
18 	 63140.625000 	 12.438629 	 -6.408374 	
19 	 54140.625000 	 12.530712 	 -7.123028 	
20 	 46453.125000 	 12.628183 	 -7.907226 	
21 	 39890.625000 	 12.739691 	 -8.789266 	
22 	 34171.875000 	 12.864634 	 -9.756954 	
23 	 29296.875000 	 13.008445 	 -10.839405 	
24 	 25171.875000 	 13.165191 	 -12.032974 	
25 	 21609.375000 	 13.345949 	 -13.346643 	
26 	 18515.625000 	 13.563851 	 -14.824634 	
27 	 15890.625000 	 13.807830 	 -16.451082 	
28 	 13640.625000 	 14.090764 	 -18.220257 	
29 	 11671.875000 	 14.429268 	 -20.200741 	
30 	 10078.125000 	 14.800762 	 -22.241970 	
31 	 8578.125000 	 15.284047 	 -24.689674 	
32 	 7359.375488 	 15.834646 	 -27.204710 	
33 	 6328.125000 	 16.479050 	 -29.859106 	
34 	 5376.838379 	 17.313828 	 -32.892956 	
35 	 4641.543945 	 18.218931 	 -35.761936 	
36 	 3984.374756 	 19.342575 	 -38.830666 	
37 	 3421.875000 	 20.681314 	 -41.952953 	
38 	 2953.125000 	 22.213173 	 -45.011772 	
39 	 2527.573486 	 24.149288 	 -48.175659 	
40 	 2159.926514 	 26.470671 	 -51.281754 	
41 	 1847.956665 	 29.211224 	 -54.264332 	
42 	 1577.524048 	 32.494324 	 -57.110489 	
43 	 1359.375000 	 36.107212 	 -59.598713 	
44 	 1171.875000 	 40.312565 	 -61.913162 	
45 	 998.263855 	 45.573933 	 -64.159264 	
46 	 856.370239 	 51.462017 	 -66.127647 	
47 	 737.847229 	 58.101608 	 -67.854202 	
48 	 627.790161 	 66.379303 	 -69.506691 	
49 	 544.084778 	 74.888023 	 -70.830643 	
50 	 460.379456 	 86.295990 	 -72.140060 	
51 	 397.995270 	 97.794868 	 -73.173569 	
52 	 340.221771 	 112.008286 	 -74.159813 	
53 	 292.968750 	 127.577034 	 -74.987602 	
54 	 252.403839 	 145.345337 	 -75.721466 	
55 	 217.013885 	 165.944168 	 -76.378632 	
56 	 186.011902 	 190.067398 	 -76.977402 	
57 	 158.361496 	 219.064651 	 -77.537788 	
58 	 135.216339 	 251.949768 	 -78.031990 	
59 	 117.187500 	 286.026581 	 -78.446251 	
