IMPEDANCE MEASUREMENT 
4:26:20.884 PM 2025-08-27
Chamber temperature (K): 292.7
Chamber pressure (MPa): 2.27
Description: 	NaCl0p5m_WS1_C4_Cell1
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 74993.828125 	 -97.108612 	
1 	 857765.625000 	 111161.437500 	 -87.366074 	
2 	 735703.125000 	 107031.328125 	 -89.185394 	
3 	 630984.375000 	 132024.968750 	 -103.462982 	
4 	 541171.875000 	 146464.203125 	 -88.109901 	
5 	 464203.125000 	 162476.328125 	 -83.246407 	
6 	 398109.375000 	 131711.890625 	 -89.773705 	
7 	 341484.375000 	 210434.109375 	 -94.061417 	
8 	 292921.875000 	 407144.125000 	 -66.254715 	
9 	 251203.140625 	 203700.843750 	 -135.333710 	
10 	 215484.375000 	 183961.078125 	 -86.021248 	
11 	 184828.125000 	 457224.843750 	 -73.747925 	
12 	 158578.125000 	 259569.593750 	 -107.420059 	
13 	 135984.375000 	 861293.562500 	 -127.739952 	
14 	 116671.867187 	 285585.562500 	 -27.464632 	
15 	 100078.125000 	 766630.625000 	 -89.622215 	
16 	 85828.125000 	 861056.437500 	 -86.387650 	
17 	 73640.625000 	 1053960.750000 	 -85.275383 	
