IMPEDANCE MEASUREMENT 
4:06:30.934 PM 2025-08-27
Chamber temperature (K): 292.62
Chamber pressure (MPa): 2.66
Description: 	NaCl0p5m_WS1_C4_Cell1
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 21.242031 	 1.845818 	
1 	 857765.625000 	 21.241968 	 1.341958 	
2 	 735703.125000 	 21.251083 	 0.891053 	
3 	 630984.375000 	 21.263973 	 0.490015 	
4 	 541171.875000 	 21.271904 	 0.086522 	
5 	 464203.125000 	 21.291023 	 -0.288868 	
6 	 398109.375000 	 21.313755 	 -0.652277 	
7 	 341484.375000 	 21.335596 	 -1.026284 	
8 	 292921.875000 	 21.369366 	 -1.403576 	
9 	 251203.140625 	 21.401789 	 -1.790186 	
10 	 215484.375000 	 21.440195 	 -2.234517 	
11 	 184828.125000 	 21.487822 	 -2.664550 	
12 	 158578.125000 	 21.534363 	 -3.160776 	
13 	 135984.375000 	 21.594126 	 -3.696463 	
14 	 116671.867187 	 21.672659 	 -4.262004 	
15 	 100078.125000 	 21.759943 	 -4.899087 	
16 	 85828.125000 	 21.857031 	 -5.621922 	
17 	 73640.625000 	 21.971947 	 -6.409438 	
18 	 63140.625000 	 22.110104 	 -7.297779 	
19 	 54140.625000 	 22.274372 	 -8.257423 	
20 	 46453.125000 	 22.464478 	 -9.319567 	
21 	 39890.625000 	 22.687380 	 -10.514570 	
22 	 34171.875000 	 22.957247 	 -11.819209 	
23 	 29296.875000 	 23.278252 	 -13.252364 	
24 	 25171.875000 	 23.637270 	 -14.811589 	
25 	 21609.375000 	 24.064892 	 -16.534996 	
26 	 18515.625000 	 24.585196 	 -18.439339 	
27 	 15890.625000 	 25.195320 	 -20.494120 	
28 	 13640.625000 	 25.910145 	 -22.694664 	
29 	 11671.875000 	 26.777433 	 -25.124506 	
30 	 10078.125000 	 27.757601 	 -27.561874 	
31 	 8578.125000 	 29.027090 	 -30.383951 	
32 	 7359.375488 	 30.470711 	 -33.200203 	
33 	 6328.125000 	 32.166878 	 -36.090622 	
34 	 5376.838379 	 34.348289 	 -39.273491 	
35 	 4641.543945 	 36.694107 	 -42.176548 	
36 	 3984.374756 	 39.576355 	 -45.195877 	
37 	 3421.875000 	 42.981525 	 -48.148163 	
38 	 2953.125000 	 46.819401 	 -50.920734 	
39 	 2527.573486 	 51.601952 	 -53.719604 	
40 	 2159.926514 	 57.251060 	 -56.396755 	
41 	 1847.956665 	 63.848793 	 -58.883438 	
42 	 1577.524048 	 71.619179 	 -61.174313 	
43 	 1359.375000 	 80.097633 	 -63.188541 	
44 	 1171.875000 	 89.831123 	 -64.959320 	
45 	 998.263855 	 101.991020 	 -66.742203 	
46 	 856.370239 	 115.427315 	 -68.317810 	
47 	 737.847229 	 130.331284 	 -69.627991 	
48 	 627.790161 	 149.291092 	 -70.984421 	
49 	 544.084778 	 168.283615 	 -71.969849 	
50 	 460.379456 	 193.797974 	 -73.046127 	
51 	 397.995270 	 219.460312 	 -73.885719 	
52 	 340.221771 	 251.096100 	 -74.701241 	
53 	 292.968750 	 285.705048 	 -75.399231 	
54 	 252.403839 	 325.093964 	 -75.999214 	
55 	 217.013885 	 370.770691 	 -76.589752 	
56 	 186.011902 	 424.264526 	 -77.145599 	
57 	 158.361496 	 488.595795 	 -77.678093 	
58 	 135.216339 	 561.551270 	 -78.158836 	
59 	 117.187500 	 637.295654 	 -78.565506 	
