IMPEDANCE MEASUREMENT 
3:36:34.430 PM 2025-08-27
Chamber temperature (K): 292.63
Chamber pressure (MPa): 3.24
Description: 	NaCl0p5m_outside_WS1_C4
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 11.925772 	 3.036151 	
1 	 857765.625000 	 11.924499 	 2.129513 	
2 	 735703.125000 	 11.936952 	 1.286594 	
3 	 630984.375000 	 11.950197 	 0.468633 	
4 	 541171.875000 	 11.975463 	 -0.290992 	
5 	 464203.125000 	 12.002549 	 -1.055218 	
6 	 398109.375000 	 12.029723 	 -1.772150 	
7 	 341484.375000 	 12.071324 	 -2.524746 	
8 	 292921.875000 	 12.113402 	 -3.286455 	
9 	 251203.140625 	 12.166635 	 -4.073449 	
10 	 215484.375000 	 12.223241 	 -4.904333 	
11 	 184828.125000 	 12.295145 	 -5.799557 	
12 	 158578.125000 	 12.376129 	 -6.743293 	
13 	 135984.375000 	 12.473421 	 -7.774300 	
14 	 116671.867187 	 12.585886 	 -8.874544 	
15 	 100078.125000 	 12.716323 	 -10.091833 	
16 	 85828.125000 	 12.869578 	 -11.409392 	
17 	 73640.625000 	 13.044665 	 -12.854627 	
18 	 63140.625000 	 13.254095 	 -14.427724 	
19 	 54140.625000 	 13.497855 	 -16.138525 	
20 	 46453.125000 	 13.781470 	 -17.994591 	
21 	 39890.625000 	 14.117450 	 -19.995234 	
22 	 34171.875000 	 14.519451 	 -22.197186 	
23 	 29296.875000 	 14.992836 	 -24.519894 	
24 	 25171.875000 	 15.546587 	 -26.974247 	
25 	 21609.375000 	 16.208229 	 -29.586946 	
26 	 18515.625000 	 17.002815 	 -32.369816 	
27 	 15890.625000 	 17.931705 	 -35.201073 	
28 	 13640.625000 	 19.050512 	 -38.126865 	
29 	 11671.875000 	 20.394283 	 -41.111393 	
30 	 10078.125000 	 21.890171 	 -43.942959 	
31 	 8578.125000 	 23.829790 	 -46.972290 	
32 	 7359.375488 	 25.998293 	 -49.764992 	
33 	 6328.125000 	 28.528690 	 -52.384113 	
34 	 5376.838379 	 31.708616 	 -55.082664 	
35 	 4641.543945 	 35.040943 	 -57.318008 	
36 	 3984.374756 	 39.057068 	 -59.459167 	
37 	 3421.875000 	 43.652073 	 -61.430763 	
38 	 2953.125000 	 48.767967 	 -63.151733 	
39 	 2527.573486 	 54.980824 	 -64.806145 	
40 	 2159.926514 	 62.228073 	 -66.274414 	
41 	 1847.956665 	 70.432137 	 -67.598579 	
42 	 1577.524048 	 80.060944 	 -68.791344 	
43 	 1359.375000 	 90.341820 	 -69.779762 	
44 	 1171.875000 	 102.040314 	 -70.622841 	
45 	 998.263855 	 116.471481 	 -71.496887 	
46 	 856.370239 	 132.232208 	 -72.234634 	
47 	 737.847229 	 150.097168 	 -72.762772 	
48 	 627.790161 	 171.541595 	 -73.432289 	
49 	 544.084778 	 193.209900 	 -73.904663 	
50 	 460.379456 	 222.637863 	 -74.387619 	
51 	 397.995270 	 251.739792 	 -74.789124 	
52 	 340.221771 	 287.432587 	 -75.191917 	
53 	 292.968750 	 326.171387 	 -75.513962 	
54 	 252.403839 	 370.152649 	 -75.866768 	
55 	 217.013885 	 420.951569 	 -76.212479 	
56 	 186.011902 	 480.108124 	 -76.552383 	
57 	 158.361496 	 551.068909 	 -76.897842 	
58 	 135.216339 	 631.186157 	 -77.239853 	
59 	 117.187500 	 714.078918 	 -77.537514 	
