IMPEDANCE MEASUREMENT 
4:44:41.557 PM 2025-08-27
Chamber temperature (K): 292.65
Chamber pressure (MPa): 3.18
Description: 	NaCl0p5m_outside_endclosureWS3_C4_Cell1
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 31723.878906 	 -91.294922 	
1 	 857765.625000 	 37767.414062 	 -91.343300 	
2 	 735703.125000 	 42916.843750 	 -90.011063 	
3 	 630984.375000 	 49577.523437 	 -91.326714 	
4 	 541171.875000 	 58211.324219 	 -88.548378 	
5 	 464203.125000 	 67451.164062 	 -88.151970 	
6 	 398109.375000 	 79525.039062 	 -88.209122 	
7 	 341484.375000 	 88581.601562 	 -93.750504 	
8 	 292921.875000 	 109666.062500 	 -89.412659 	
9 	 251203.140625 	 108549.070312 	 -83.724365 	
10 	 215484.375000 	 149266.531250 	 -87.472160 	
11 	 184828.125000 	 174172.765625 	 -93.849602 	
12 	 158578.125000 	 191341.656250 	 -90.239288 	
13 	 135984.375000 	 240710.500000 	 -84.447968 	
14 	 116671.867187 	 284600.031250 	 -93.978439 	
15 	 100078.125000 	 312362.000000 	 -90.655846 	
16 	 85828.125000 	 372095.250000 	 -88.129814 	
17 	 73640.625000 	 424662.625000 	 -89.755356 	
18 	 63140.625000 	 506966.937500 	 -89.738045 	
19 	 54140.625000 	 574714.750000 	 -90.136131 	
20 	 46453.125000 	 700501.437500 	 -88.320824 	
21 	 39890.625000 	 838760.312500 	 -87.411385 	
22 	 34171.875000 	 954320.000000 	 -89.062210 	
23 	 29296.875000 	 1093766.375000 	 -89.983307 	
24 	 25171.875000 	 1242415.875000 	 -88.792259 	
25 	 21609.375000 	 1385603.500000 	 -89.362083 	
26 	 18515.625000 	 1484935.625000 	 -71.496223 	
27 	 15890.625000 	 2042787.250000 	 -97.159195 	
28 	 13640.625000 	 2106772.000000 	 -86.721153 	
29 	 11671.875000 	 2886518.000000 	 -95.855835 	
30 	 10078.125000 	 3809503.500000 	 -84.763344 	
31 	 8578.125000 	 3264489.750000 	 -95.771416 	
32 	 7359.375488 	 1691603.125000 	 -150.713318 	
33 	 6328.125000 	 5873233.500000 	 -93.857292 	
34 	 5376.838379 	 7708991.500000 	 -118.968742 	
35 	 4641.543945 	 5418506.000000 	 -92.573891 	
36 	 3984.374756 	 7073251.500000 	 -114.151405 	
37 	 3421.875000 	 8629336.000000 	 -103.323479 	
38 	 2953.125000 	 7311969.000000 	 -73.917679 	
39 	 2527.573486 	 6876133.500000 	 -2.173497 	
