IMPEDANCE MEASUREMENT 
3:15:05.921 PM 2025-08-27
Chamber temperature (K): 0
Chamber pressure (MPa): 0
Description: 	Std1p5sm_WS1_C4
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 49.471275 	 -1.194331 	
1 	 857765.625000 	 49.619373 	 -1.412710 	
2 	 735703.125000 	 49.785786 	 -1.633450 	
3 	 630984.375000 	 49.919399 	 -1.838960 	
4 	 541171.875000 	 50.088303 	 -2.059060 	
5 	 464203.125000 	 50.253498 	 -2.283108 	
6 	 398109.375000 	 50.442245 	 -2.509253 	
7 	 341484.375000 	 50.640896 	 -2.731623 	
8 	 292921.875000 	 50.822540 	 -2.997321 	
9 	 251203.140625 	 51.054550 	 -3.264047 	
10 	 215484.375000 	 51.280476 	 -3.533565 	
11 	 184828.125000 	 51.543221 	 -3.845937 	
12 	 158578.125000 	 51.828262 	 -4.157538 	
13 	 135984.375000 	 52.098083 	 -4.526081 	
14 	 116671.867187 	 52.433472 	 -4.896543 	
15 	 100078.125000 	 52.772797 	 -5.298553 	
16 	 85828.125000 	 53.151611 	 -5.747534 	
17 	 73640.625000 	 53.555824 	 -6.233698 	
18 	 63140.625000 	 54.002277 	 -6.764524 	
19 	 54140.625000 	 54.487202 	 -7.333791 	
20 	 46453.125000 	 55.009556 	 -7.943596 	
21 	 39890.625000 	 55.584682 	 -8.621631 	
22 	 34171.875000 	 56.232399 	 -9.369797 	
23 	 29296.875000 	 56.941868 	 -10.195123 	
24 	 25171.875000 	 57.706512 	 -11.054102 	
25 	 21609.375000 	 58.557632 	 -12.019000 	
26 	 18515.625000 	 59.520035 	 -13.079908 	
27 	 15890.625000 	 60.582874 	 -14.221403 	
28 	 13640.625000 	 61.788208 	 -15.456586 	
29 	 11671.875000 	 63.150085 	 -16.825853 	
30 	 10078.125000 	 64.619858 	 -18.211994 	
31 	 8578.125000 	 66.452774 	 -19.855017 	
32 	 7359.375488 	 68.445381 	 -21.525488 	
33 	 6328.125000 	 70.698364 	 -23.264803 	
34 	 5376.838379 	 73.512878 	 -25.276827 	
35 	 4641.543945 	 76.412392 	 -27.143206 	
36 	 3984.374756 	 79.862427 	 -29.172356 	
37 	 3421.875000 	 83.835083 	 -31.267956 	
38 	 2953.125000 	 88.223961 	 -33.335052 	
39 	 2527.573486 	 93.592239 	 -35.520145 	
40 	 2159.926514 	 99.779366 	 -37.749229 	
41 	 1847.956665 	 106.883987 	 -39.929634 	
42 	 1577.524048 	 115.115875 	 -42.110596 	
43 	 1359.375000 	 124.010727 	 -44.088150 	
44 	 1171.875000 	 134.054062 	 -45.987068 	
45 	 998.263855 	 146.503906 	 -47.955677 	
46 	 856.370239 	 160.061920 	 -49.735867 	
47 	 737.847229 	 174.570267 	 -51.374416 	
48 	 627.790161 	 193.110779 	 -53.062698 	
49 	 544.084778 	 211.066055 	 -54.446239 	
50 	 460.379456 	 235.164124 	 -55.955578 	
51 	 397.995270 	 258.841919 	 -57.182953 	
52 	 340.221771 	 287.541412 	 -58.428963 	
53 	 292.968750 	 318.364563 	 -59.502129 	
54 	 252.403839 	 352.931183 	 -60.552505 	
55 	 217.013885 	 392.337646 	 -61.554531 	
56 	 186.011902 	 437.729218 	 -62.524487 	
57 	 158.361496 	 491.411285 	 -63.478374 	
58 	 135.216339 	 551.295593 	 -64.369209 	
59 	 117.187500 	 612.453064 	 -65.133186 	
