IMPEDANCE MEASUREMENT 
3:58:13.770 PM 2025-08-27
Chamber temperature (K): 292.62
Chamber pressure (MPa): 2.71
Description: 	Std1p5sm_WS1_C4_Cell1
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 64.902031 	 0.140186 	
1 	 857765.625000 	 64.935402 	 0.014636 	
2 	 735703.125000 	 64.991653 	 -0.097150 	
3 	 630984.375000 	 65.014458 	 -0.219940 	
4 	 541171.875000 	 65.025314 	 -0.331951 	
5 	 464203.125000 	 65.063217 	 -0.446078 	
6 	 398109.375000 	 65.096573 	 -0.564638 	
7 	 341484.375000 	 65.150932 	 -0.685654 	
8 	 292921.875000 	 65.202530 	 -0.811679 	
9 	 251203.140625 	 65.251564 	 -0.953900 	
10 	 215484.375000 	 65.297539 	 -1.108758 	
11 	 184828.125000 	 65.347313 	 -1.277602 	
12 	 158578.125000 	 65.413620 	 -1.441565 	
13 	 135984.375000 	 65.498985 	 -1.670159 	
14 	 116671.867187 	 65.561905 	 -1.872983 	
15 	 100078.125000 	 65.670624 	 -2.130458 	
16 	 85828.125000 	 65.786385 	 -2.409344 	
17 	 73640.625000 	 65.893570 	 -2.742986 	
18 	 63140.625000 	 66.051834 	 -3.106442 	
19 	 54140.625000 	 66.227074 	 -3.509614 	
20 	 46453.125000 	 66.415443 	 -3.956398 	
21 	 39890.625000 	 66.641266 	 -4.472101 	
22 	 34171.875000 	 66.906769 	 -5.066307 	
23 	 29296.875000 	 67.230537 	 -5.726604 	
24 	 25171.875000 	 67.577065 	 -6.445498 	
25 	 21609.375000 	 68.004448 	 -7.243859 	
26 	 18515.625000 	 68.509048 	 -8.174386 	
27 	 15890.625000 	 69.093407 	 -9.160364 	
28 	 13640.625000 	 69.764503 	 -10.278122 	
29 	 11671.875000 	 70.574234 	 -11.533631 	
30 	 10078.125000 	 71.468285 	 -12.828654 	
31 	 8578.125000 	 72.629463 	 -14.410839 	
32 	 7359.375488 	 73.934731 	 -16.051172 	
33 	 6328.125000 	 75.415215 	 -17.822624 	
34 	 5376.838379 	 77.331337 	 -19.917860 	
35 	 4641.543945 	 79.396965 	 -21.929014 	
36 	 3984.374756 	 81.873207 	 -24.213266 	
37 	 3421.875000 	 84.834946 	 -26.613007 	
38 	 2953.125000 	 88.206062 	 -29.078024 	
39 	 2527.573486 	 92.426682 	 -31.840658 	
40 	 2159.926514 	 97.491600 	 -34.740952 	
41 	 1847.956665 	 103.503258 	 -37.694748 	
42 	 1577.524048 	 110.769653 	 -40.758701 	
43 	 1359.375000 	 118.795914 	 -43.627071 	
44 	 1171.875000 	 128.236984 	 -46.479057 	
45 	 998.263855 	 140.269241 	 -49.468849 	
46 	 856.370239 	 153.840164 	 -52.256145 	
47 	 737.847229 	 169.198914 	 -54.830414 	
48 	 627.790161 	 188.665482 	 -57.431602 	
49 	 544.084778 	 208.855545 	 -59.567112 	
50 	 460.379456 	 235.970444 	 -61.917614 	
51 	 397.995270 	 263.482605 	 -63.771233 	
52 	 340.221771 	 297.608246 	 -65.596252 	
53 	 292.968750 	 335.074951 	 -67.138885 	
54 	 252.403839 	 377.911133 	 -68.568192 	
55 	 217.013885 	 427.645844 	 -69.885384 	
56 	 186.011902 	 485.969238 	 -71.092285 	
57 	 158.361496 	 556.094543 	 -72.232124 	
58 	 135.216339 	 635.550415 	 -73.238182 	
59 	 117.187500 	 717.882324 	 -74.072701 	
