IMPEDANCE MEASUREMENT 
3:08:47.108 PM 2025-08-27
Chamber temperature (K): 0
Chamber pressure (MPa): 0
Description: 	Std8sm_WS1_C4
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 10.244478 	 -0.196824 	
1 	 857765.625000 	 10.304223 	 -1.386803 	
2 	 735703.125000 	 10.374146 	 -2.483099 	
3 	 630984.375000 	 10.453102 	 -3.529227 	
4 	 541171.875000 	 10.542897 	 -4.524977 	
5 	 464203.125000 	 10.641461 	 -5.508296 	
6 	 398109.375000 	 10.749132 	 -6.499830 	
7 	 341484.375000 	 10.871584 	 -7.490888 	
8 	 292921.875000 	 11.003112 	 -8.495610 	
9 	 251203.140625 	 11.150224 	 -9.544606 	
10 	 215484.375000 	 11.312395 	 -10.626182 	
11 	 184828.125000 	 11.491201 	 -11.753152 	
12 	 158578.125000 	 11.688703 	 -12.979654 	
13 	 135984.375000 	 11.911983 	 -14.260152 	
14 	 116671.867187 	 12.160701 	 -15.614791 	
15 	 100078.125000 	 12.444286 	 -17.026836 	
16 	 85828.125000 	 12.761827 	 -18.570457 	
17 	 73640.625000 	 13.118585 	 -20.192907 	
18 	 63140.625000 	 13.527596 	 -21.927372 	
19 	 54140.625000 	 13.995360 	 -23.743605 	
20 	 46453.125000 	 14.524965 	 -25.649033 	
21 	 39890.625000 	 15.132496 	 -27.627148 	
22 	 34171.875000 	 15.833713 	 -29.719856 	
23 	 29296.875000 	 16.638958 	 -31.865353 	
24 	 25171.875000 	 17.546854 	 -34.020809 	
25 	 21609.375000 	 18.600346 	 -36.251507 	
26 	 18515.625000 	 19.815081 	 -38.487450 	
27 	 15890.625000 	 21.213465 	 -40.707245 	
28 	 13640.625000 	 22.803226 	 -42.875317 	
29 	 11671.875000 	 24.673637 	 -45.054367 	
30 	 10078.125000 	 26.676689 	 -47.057621 	
31 	 8578.125000 	 29.196215 	 -49.157555 	
32 	 7359.375488 	 31.945850 	 -51.051086 	
33 	 6328.125000 	 35.035675 	 -52.817593 	
34 	 5376.838379 	 38.827454 	 -54.589134 	
35 	 4641.543945 	 42.729324 	 -56.094513 	
36 	 3984.374756 	 47.338779 	 -57.553253 	
37 	 3421.875000 	 52.513237 	 -58.846199 	
38 	 2953.125000 	 58.203892 	 -60.016087 	
39 	 2527.573486 	 64.953545 	 -61.150745 	
40 	 2159.926514 	 72.693489 	 -62.174000 	
41 	 1847.956665 	 81.417046 	 -63.104473 	
42 	 1577.524048 	 91.462090 	 -63.952747 	
43 	 1359.375000 	 102.122475 	 -64.674225 	
44 	 1171.875000 	 114.044426 	 -65.329987 	
45 	 998.263855 	 128.527573 	 -65.944839 	
46 	 856.370239 	 144.392120 	 -66.520432 	
47 	 737.847229 	 161.543655 	 -67.010811 	
48 	 627.790161 	 182.571426 	 -67.483795 	
49 	 544.084778 	 203.699310 	 -67.803223 	
50 	 460.379456 	 231.151749 	 -68.340080 	
51 	 397.995270 	 258.381866 	 -68.713867 	
52 	 340.221771 	 291.440216 	 -69.101105 	
53 	 292.968750 	 326.957214 	 -69.434372 	
54 	 252.403839 	 366.818207 	 -69.806946 	
55 	 217.013885 	 412.393341 	 -70.188019 	
56 	 186.011902 	 465.046539 	 -70.580574 	
57 	 158.361496 	 527.578247 	 -70.996330 	
58 	 135.216339 	 597.580994 	 -71.408737 	
59 	 117.187500 	 669.502075 	 -71.786751 	
