IMPEDANCE MEASUREMENT 
3:52:31.885 PM 2025-08-27
Chamber temperature (K): 292.62
Chamber pressure (MPa): 3.45
Description: 	Std8sm_WS1_C4_Cell1
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 12.110753 	 3.180520 	
1 	 857765.625000 	 12.106661 	 2.308852 	
2 	 735703.125000 	 12.115973 	 1.491391 	
3 	 630984.375000 	 12.125454 	 0.721678 	
4 	 541171.875000 	 12.147089 	 -0.000974 	
5 	 464203.125000 	 12.167768 	 -0.716360 	
6 	 398109.375000 	 12.195025 	 -1.403241 	
7 	 341484.375000 	 12.222583 	 -2.107609 	
8 	 292921.875000 	 12.260354 	 -2.819202 	
9 	 251203.140625 	 12.303479 	 -3.552372 	
10 	 215484.375000 	 12.355165 	 -4.326828 	
11 	 184828.125000 	 12.417664 	 -5.171406 	
12 	 158578.125000 	 12.489423 	 -6.042894 	
13 	 135984.375000 	 12.572211 	 -7.016073 	
14 	 116671.867187 	 12.664409 	 -8.066411 	
15 	 100078.125000 	 12.782827 	 -9.194171 	
16 	 85828.125000 	 12.916367 	 -10.451520 	
17 	 73640.625000 	 13.071853 	 -11.814279 	
18 	 63140.625000 	 13.258018 	 -13.325828 	
19 	 54140.625000 	 13.477229 	 -14.959685 	
20 	 46453.125000 	 13.732761 	 -16.732943 	
21 	 39890.625000 	 14.029721 	 -18.676762 	
22 	 34171.875000 	 14.395283 	 -20.775986 	
23 	 29296.875000 	 14.822000 	 -23.039446 	
24 	 25171.875000 	 15.319510 	 -25.445658 	
25 	 21609.375000 	 15.913609 	 -28.008543 	
26 	 18515.625000 	 16.637592 	 -30.748657 	
27 	 15890.625000 	 17.482864 	 -33.577030 	
28 	 13640.625000 	 18.494265 	 -36.494995 	
29 	 11671.875000 	 19.720604 	 -39.525581 	
30 	 10078.125000 	 21.085245 	 -42.386997 	
31 	 8578.125000 	 22.863117 	 -45.530827 	
32 	 7359.375488 	 24.878912 	 -48.420261 	
33 	 6328.125000 	 27.199635 	 -51.209782 	
34 	 5376.838379 	 30.154650 	 -54.045174 	
35 	 4641.543945 	 33.273018 	 -56.459213 	
36 	 3984.374756 	 37.005287 	 -58.764057 	
37 	 3421.875000 	 41.332367 	 -60.888515 	
38 	 2953.125000 	 46.143131 	 -62.793514 	
39 	 2527.573486 	 52.001625 	 -64.591263 	
40 	 2159.926514 	 58.853985 	 -66.206970 	
41 	 1847.956665 	 66.664070 	 -67.698372 	
42 	 1577.524048 	 75.783783 	 -69.024048 	
43 	 1359.375000 	 85.646301 	 -70.140396 	
44 	 1171.875000 	 96.869408 	 -71.153198 	
45 	 998.263855 	 110.743912 	 -72.150230 	
46 	 856.370239 	 125.954025 	 -72.955643 	
47 	 737.847229 	 142.871674 	 -73.690140 	
48 	 627.790161 	 164.119446 	 -74.343719 	
49 	 544.084778 	 185.629318 	 -74.902885 	
50 	 460.379456 	 213.968643 	 -75.548744 	
51 	 397.995270 	 242.557343 	 -76.019539 	
52 	 340.221771 	 277.767548 	 -76.485153 	
53 	 292.968750 	 316.153809 	 -76.853760 	
54 	 252.403839 	 359.850433 	 -77.235085 	
55 	 217.013885 	 410.451141 	 -77.598381 	
56 	 186.011902 	 469.587280 	 -77.946289 	
57 	 158.361496 	 540.609070 	 -78.291824 	
58 	 135.216339 	 621.066772 	 -78.610359 	
59 	 117.187500 	 704.522400 	 -78.890083 	
