Timestamp	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
10:49:03.667 AM 2026-02-13 	 1.704693 	 -0.886873 	 292.357868 	 294.751050 	 -66101.937204 	 -66101.937204 	 292.759412 	 293.606912
10:49:08.767 AM 2026-02-13 	 1.014796 	 0.467023 	 292.359705 	 294.751816 	 -66102.789969 	 -66102.789969 	 292.756302 	 293.607117
10:49:13.871 AM 2026-02-13 	 1.156448 	 -0.505515 	 292.358633 	 294.753195 	 -66103.731651 	 -66103.731651 	 292.771083 	 293.597287
10:49:18.975 AM 2026-02-13 	 1.188151 	 -0.080581 	 292.359093 	 294.755647 	 -66104.596421 	 -66104.596421 	 292.753340 	 293.615034
10:49:24.070 AM 2026-02-13 	 1.682551 	 0.720674 	 292.358327 	 294.756873 	 -66105.437572 	 -66105.437572 	 292.769126 	 293.607154
10:49:29.155 AM 2026-02-13 	 1.104870 	 0.221181 	 292.358786 	 294.757332 	 -66106.261024 	 -66106.261024 	 292.792417 	 293.612911
10:49:34.241 AM 2026-02-13 	 1.697396 	 -0.222645 	 292.358633 	 294.757639 	 -66107.096396 	 -66107.096396 	 292.773133 	 293.608316
10:49:39.337 AM 2026-02-13 	 0.791120 	 -0.426674 	 292.359246 	 294.759937 	 -66107.896287 	 -66107.896287 	 292.784959 	 293.598847
10:49:44.430 AM 2026-02-13 	 1.812882 	 0.563748 	 292.361695 	 294.760091 	 -66108.631060 	 -66108.631060 	 292.767154 	 293.591947
10:49:49.502 AM 2026-02-13 	 1.975921 	 0.073071 	 292.361389 	 294.762083 	 -66109.419226 	 -66109.419226 	 292.798350 	 293.629707
10:49:54.587 AM 2026-02-13 	 1.646069 	 0.326973 	 292.362460 	 294.764381 	 -66110.243017 	 -66110.243017 	 292.771913 	 293.629319
10:49:59.745 AM 2026-02-13 	 1.038195 	 0.904803 	 292.363226 	 294.765761 	 -66111.013532 	 -66111.013532 	 292.775094 	 293.612165
10:50:04.873 AM 2026-02-13 	 0.853266 	 0.061736 	 292.362001 	 294.766680 	 -66111.683337 	 -66111.683337 	 292.787805 	 293.624853
10:50:10.029 AM 2026-02-13 	 0.857795 	 0.039066 	 292.363532 	 294.770204 	 -66112.436183 	 -66112.436183 	 292.796122 	 293.620391
10:50:15.147 AM 2026-02-13 	 1.350938 	 0.459466 	 292.362460 	 294.771737 	 -66113.052730 	 -66113.052730 	 292.772145 	 293.625768
10:50:20.519 AM 2026-02-13 	 1.106128 	 0.852159 	 292.363991 	 294.774189 	 -66113.734534 	 -66113.734534 	 292.802428 	 293.652214
10:50:25.664 AM 2026-02-13 	 1.584929 	 0.310349 	 292.364603 	 294.776947 	 -66114.422316 	 -66114.422316 	 292.787744 	 293.650320
10:50:30.810 AM 2026-02-13 	 1.761052 	 -0.762188 	 292.364757 	 294.779399 	 -66115.056779 	 -66115.056779 	 292.823040 	 293.638280
10:50:35.897 AM 2026-02-13 	 1.860938 	 0.128486 	 292.364450 	 294.780472 	 -66115.679423 	 -66115.679423 	 292.805246 	 293.643681
10:50:40.993 AM 2026-02-13 	 1.183622 	 0.835282 	 292.365522 	 294.781697 	 -66116.432580 	 -66116.432580 	 292.806934 	 293.631184
10:50:46.113 AM 2026-02-13 	 1.200228 	 -0.145820 	 292.366134 	 294.783230 	 -66116.990072 	 -66116.990072 	 292.807340 	 293.655227
10:50:51.211 AM 2026-02-13 	 1.326281 	 0.374832 	 292.366747 	 294.784609 	 -66117.559459 	 -66117.559459 	 292.823424 	 293.655681
10:50:56.311 AM 2026-02-13 	 2.039325 	 0.255437 	 292.366900 	 294.788287 	 -66118.247513 	 -66118.247513 	 292.806374 	 293.660407
