Timestamp	PTD1 raw (mA)	PTD1 T0 (K)	PTD1 aT (PSI/K)	PTD1 adj (PSI)	PTD2 raw (mA)	PTD2 T0 (K)	PTD2 aT (PSI/K)	PTD2 adj (PSI)	RTD0 Rraw (Ohm)	RTD1 Rraw (Ohm)	DAQ thermistor T (K)
10:49:03.667 AM 2026-02-13 	 4.022159 	 297.647000 	 44.546000 	 -217.722503 	 3.993828 	 297.647000 	 44.546000 	 -217.722503 	 107.524906 	 108.447511 	 297.591179
10:49:08.767 AM 2026-02-13 	 4.014156 	 297.647000 	 44.546000 	 -217.861050 	 4.009521 	 297.647000 	 44.546000 	 -217.861050 	 107.525621 	 108.447809 	 297.594669
10:49:13.871 AM 2026-02-13 	 4.015799 	 297.647000 	 44.546000 	 -217.202616 	 3.998248 	 297.647000 	 44.546000 	 -217.202616 	 107.525204 	 108.448345 	 297.598521
10:49:18.975 AM 2026-02-13 	 4.016167 	 297.647000 	 44.546000 	 -217.993000 	 4.003174 	 297.647000 	 44.546000 	 -217.993000 	 107.525383 	 108.449298 	 297.602059
10:49:24.070 AM 2026-02-13 	 4.021902 	 297.647000 	 44.546000 	 -217.289760 	 4.012462 	 297.647000 	 44.546000 	 -217.289760 	 107.525085 	 108.449775 	 297.605501
10:49:29.155 AM 2026-02-13 	 4.015200 	 297.647000 	 44.546000 	 -216.252248 	 4.006672 	 297.647000 	 44.546000 	 -216.252248 	 107.525264 	 108.449953 	 297.608869
10:49:34.241 AM 2026-02-13 	 4.022074 	 297.647000 	 44.546000 	 -217.111300 	 4.001527 	 297.647000 	 44.546000 	 -217.111300 	 107.525204 	 108.450072 	 297.612287
10:49:39.337 AM 2026-02-13 	 4.011561 	 297.647000 	 44.546000 	 -216.584457 	 3.999162 	 297.647000 	 44.546000 	 -216.584457 	 107.525443 	 108.450966 	 297.615559
10:49:44.430 AM 2026-02-13 	 4.023414 	 297.647000 	 44.546000 	 -217.377633 	 4.010643 	 297.647000 	 44.546000 	 -217.377633 	 107.526395 	 108.451025 	 297.618565
10:49:49.502 AM 2026-02-13 	 4.025305 	 297.647000 	 44.546000 	 -215.987968 	 4.004955 	 297.647000 	 44.546000 	 -215.987968 	 107.526276 	 108.451800 	 297.621790
10:49:54.587 AM 2026-02-13 	 4.021479 	 297.647000 	 44.546000 	 -217.165607 	 4.007898 	 297.647000 	 44.546000 	 -217.165607 	 107.526693 	 108.452693 	 297.625160
10:49:59.745 AM 2026-02-13 	 4.014427 	 297.647000 	 44.546000 	 -217.023923 	 4.014596 	 297.647000 	 44.546000 	 -217.023923 	 107.526991 	 108.453229 	 297.628312
10:50:04.873 AM 2026-02-13 	 4.012282 	 297.647000 	 44.546000 	 -216.457718 	 4.004824 	 297.647000 	 44.546000 	 -216.457718 	 107.526515 	 108.453587 	 297.631051
10:50:10.029 AM 2026-02-13 	 4.012334 	 297.647000 	 44.546000 	 -216.087226 	 4.004561 	 297.647000 	 44.546000 	 -216.087226 	 107.527110 	 108.454957 	 297.634131
10:50:15.147 AM 2026-02-13 	 4.018055 	 297.647000 	 44.546000 	 -217.155300 	 4.009434 	 297.647000 	 44.546000 	 -217.155300 	 107.526693 	 108.455552 	 297.636653
10:50:20.519 AM 2026-02-13 	 4.015215 	 297.647000 	 44.546000 	 -215.806310 	 4.013986 	 297.647000 	 44.546000 	 -215.806310 	 107.527289 	 108.456505 	 297.639442
10:50:25.664 AM 2026-02-13 	 4.020769 	 297.647000 	 44.546000 	 -216.460426 	 4.007705 	 297.647000 	 44.546000 	 -216.460426 	 107.527527 	 108.457578 	 297.642255
10:50:30.810 AM 2026-02-13 	 4.022812 	 297.647000 	 44.546000 	 -214.888137 	 3.995273 	 297.647000 	 44.546000 	 -214.888137 	 107.527587 	 108.458531 	 297.644851
10:50:35.897 AM 2026-02-13 	 4.023971 	 297.647000 	 44.546000 	 -215.680779 	 4.005597 	 297.647000 	 44.546000 	 -215.680779 	 107.527468 	 108.458948 	 297.647397
10:50:40.993 AM 2026-02-13 	 4.016114 	 297.647000 	 44.546000 	 -215.605595 	 4.013790 	 297.647000 	 44.546000 	 -215.605595 	 107.527884 	 108.459424 	 297.650478
10:50:46.113 AM 2026-02-13 	 4.016307 	 297.647000 	 44.546000 	 -215.587481 	 4.002418 	 297.647000 	 44.546000 	 -215.587481 	 107.528123 	 108.460020 	 297.652758
10:50:51.211 AM 2026-02-13 	 4.017769 	 297.647000 	 44.546000 	 -214.871022 	 4.008453 	 297.647000 	 44.546000 	 -214.871022 	 107.528361 	 108.460556 	 297.655087
10:50:56.311 AM 2026-02-13 	 4.026040 	 297.647000 	 44.546000 	 -215.630546 	 4.007069 	 297.647000 	 44.546000 	 -215.630546 	 107.528421 	 108.461986 	 297.657901
10:51:01.403 AM 2026-02-13 	 4.017033 	 297.647000 	 44.546000 	 -215.920851 	 4.006961 	 297.647000 	 44.546000 	 -215.920851 	 107.528361 	 108.462819 	 297.659891
10:51:06.517 AM 2026-02-13 	 4.015428 	 297.647000 	 44.546000 	 -214.426019 	 4.001796 	 297.647000 	 44.546000 	 -214.426019 	 107.528599 	 108.462998 	 297.662172
10:51:11.614 AM 2026-02-13 	 4.011508 	 297.647000 	 44.546000 	 -215.365898 	 3.998750 	 297.647000 	 44.546000 	 -215.365898 	 107.528540 	 108.464189 	 297.664258
10:51:16.713 AM 2026-02-13 	 4.021992 	 297.647000 	 44.546000 	 -214.863645 	 4.014932 	 297.647000 	 44.546000 	 -214.863645 	 107.528242 	 108.465023 	 297.666515
10:51:21.810 AM 2026-02-13 	 4.021992 	 297.647000 	 44.546000 	 -213.919131 	 4.009802 	 297.647000 	 44.546000 	 -213.919131 	 107.528778 	 108.465798 	 297.668286
10:51:26.917 AM 2026-02-13 	 4.013347 	 297.647000 	 44.546000 	 -215.006643 	 4.008024 	 297.647000 	 44.546000 	 -215.006643 	 107.528599 	 108.466393 	 297.670373
10:51:32.011 AM 2026-02-13 	 4.019657 	 297.647000 	 44.546000 	 -213.751154 	 3.999609 	 297.647000 	 44.546000 	 -213.751154 	 107.528480 	 108.466453 	 297.672023
10:51:37.106 AM 2026-02-13 	 4.015562 	 297.647000 	 44.546000 	 -215.033962 	 4.018827 	 297.647000 	 44.546000 	 -215.033962 	 107.528659 	 108.466751 	 297.673989
10:51:42.202 AM 2026-02-13 	 4.021029 	 297.647000 	 44.546000 	 -215.068162 	 4.011171 	 297.647000 	 44.546000 	 -215.068162 	 107.528778 	 108.467287 	 297.675106
10:51:47.300 AM 2026-02-13 	 4.012833 	 297.647000 	 44.546000 	 -215.654493 	 4.010289 	 297.647000 	 44.546000 	 -215.654493 	 107.528718 	 108.467704 	 297.676610
10:51:52.410 AM 2026-02-13 	 4.022742 	 297.647000 	 44.546000 	 -214.760845 	 4.004362 	 297.647000 	 44.546000 	 -214.760845 	 107.529314 	 108.468061 	 297.678188
10:51:57.502 AM 2026-02-13 	 4.012200 	 297.647000 	 44.546000 	 -214.413145 	 4.013291 	 297.647000 	 44.546000 	 -214.413145 	 107.529076 	 108.468240 	 297.679353
10:52:02.600 AM 2026-02-13 	 4.018659 	 297.647000 	 44.546000 	 -214.225478 	 4.010473 	 297.647000 	 44.546000 	 -214.225478 	 107.528957 	 108.469312 	 297.680712
10:52:07.696 AM 2026-02-13 	 4.023417 	 297.647000 	 44.546000 	 -213.517002 	 4.004981 	 297.647000 	 44.546000 	 -213.517002 	 107.529195 	 108.470206 	 297.681926
