IMPEDANCE MEASUREMENT 
12:37:04.870 PM 2026-02-13
Chamber temperature (K): 292.77
Chamber pressure (MPa): 2.08
Description: 	84uS Conductivity Standard
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 2953.751709 	 -96.966225 	
1 	 857765.625000 	 3402.988037 	 -95.609001 	
2 	 735703.125000 	 3939.769043 	 -94.584152 	
3 	 630984.375000 	 4566.186035 	 -93.729576 	
4 	 541171.875000 	 5299.988770 	 -92.936790 	
5 	 464203.125000 	 6149.164062 	 -99.274956 	
6 	 398109.375000 	 7147.197754 	 -97.660080 	
7 	 341484.375000 	 8320.168945 	 -96.734474 	
8 	 292921.875000 	 9658.170898 	 -95.634827 	
9 	 251203.140625 	 11235.179687 	 -94.865936 	
10 	 215484.375000 	 13047.114258 	 -94.018036 	
11 	 184828.125000 	 15235.399414 	 -93.405891 	
12 	 158578.125000 	 17761.136719 	 -92.957039 	
13 	 135984.375000 	 20684.835937 	 -92.466408 	
14 	 116671.867187 	 23995.851562 	 -92.043594 	
15 	 100078.125000 	 28070.550781 	 -91.673370 	
16 	 85828.125000 	 32716.804687 	 -91.569092 	
17 	 73640.625000 	 38209.175781 	 -91.237259 	
18 	 63140.625000 	 44547.207031 	 -90.822113 	
19 	 54140.625000 	 51849.136719 	 -90.769112 	
20 	 46453.125000 	 59470.074219 	 -97.424355 	
21 	 39890.625000 	 69664.093750 	 -96.356743 	
22 	 34171.875000 	 81000.070312 	 -95.128830 	
23 	 29296.875000 	 94781.398437 	 -94.505241 	
24 	 25171.875000 	 111066.265625 	 -93.832741 	
25 	 21609.375000 	 128641.554687 	 -93.007782 	
26 	 18515.625000 	 150733.453125 	 -92.357521 	
27 	 15890.625000 	 175146.343750 	 -92.315132 	
28 	 13640.625000 	 205173.203125 	 -92.425072 	
29 	 11671.875000 	 236181.953125 	 -91.622810 	
30 	 10078.125000 	 278408.250000 	 -91.977928 	
31 	 8578.125000 	 325074.343750 	 -91.514931 	
32 	 7359.375488 	 373168.687500 	 -90.377602 	
33 	 6328.125000 	 427034.093750 	 -90.419838 	
34 	 5376.838379 	 515947.187500 	 -91.163414 	
35 	 4641.543945 	 586598.187500 	 -90.187675 	
36 	 3984.374756 	 690193.000000 	 -90.755829 	
37 	 3421.875000 	 808944.500000 	 -90.336380 	
38 	 2953.125000 	 950596.000000 	 -89.663002 	
39 	 2527.573486 	 1095457.750000 	 -88.314987 	
40 	 2159.926514 	 1323641.750000 	 -92.486427 	
41 	 1847.956665 	 1514605.750000 	 -93.360886 	
42 	 1577.524048 	 1651451.500000 	 -92.623421 	
43 	 1359.375000 	 2044609.750000 	 -92.520004 	
44 	 1171.875000 	 2144285.250000 	 -90.225166 	
45 	 998.263855 	 2792006.750000 	 -88.156601 	
46 	 856.370239 	 3161145.000000 	 -90.322723 	
47 	 737.847229 	 3650500.750000 	 -91.917702 	
48 	 627.790161 	 4639665.000000 	 -88.335106 	
49 	 544.084778 	 5580171.000000 	 -100.833260 	
50 	 460.379456 	 5955769.000000 	 -90.284569 	
51 	 397.995270 	 6936691.500000 	 -90.368309 	
52 	 340.221771 	 7997241.500000 	 -89.957504 	
53 	 292.968750 	 9103999.000000 	 -88.693748 	
54 	 252.403839 	 10842291.000000 	 -89.880417 	
55 	 217.013885 	 12627780.000000 	 -89.140488 	
56 	 186.011902 	 14593959.000000 	 -91.853287 	
57 	 158.361496 	 17274880.000000 	 -91.001305 	
58 	 135.216339 	 19633526.000000 	 -91.239326 	
59 	 117.187500 	 23448442.000000 	 -90.304276 	
