IMPEDANCE MEASUREMENT 
10:20:19.992 AM 2026-02-17
Chamber temperature (K): 292.25
Chamber pressure (MPa): 0.39
Description: 	200ohmtest
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 190.620789 	 -15.913892 	
1 	 857765.625000 	 192.949203 	 -13.682143 	
2 	 735703.125000 	 194.738083 	 -11.769108 	
3 	 630984.375000 	 196.048904 	 -10.103615 	
4 	 541171.875000 	 197.012741 	 -8.680537 	
5 	 464203.125000 	 197.743256 	 -7.426608 	
6 	 398109.375000 	 198.303192 	 -6.403047 	
7 	 341484.375000 	 198.758530 	 -5.508291 	
8 	 292921.875000 	 199.019180 	 -4.716011 	
9 	 251203.140625 	 199.209000 	 -4.065026 	
10 	 215484.375000 	 199.389526 	 -3.496433 	
11 	 184828.125000 	 199.574036 	 -2.996412 	
12 	 158578.125000 	 199.585937 	 -2.590993 	
13 	 135984.375000 	 199.754532 	 -2.207026 	
14 	 116671.867187 	 199.749619 	 -1.885070 	
15 	 100078.125000 	 199.802765 	 -1.616457 	
16 	 85828.125000 	 199.809662 	 -1.384762 	
17 	 73640.625000 	 199.801666 	 -1.190898 	
18 	 63140.625000 	 199.842346 	 -1.032246 	
19 	 54140.625000 	 199.859329 	 -0.893411 	
20 	 46453.125000 	 199.922668 	 -0.761739 	
21 	 39890.625000 	 199.908478 	 -0.670194 	
22 	 34171.875000 	 199.944489 	 -0.569023 	
23 	 29296.875000 	 199.945862 	 -0.498854 	
24 	 25171.875000 	 199.923050 	 -0.423561 	
25 	 21609.375000 	 199.973511 	 -0.371629 	
26 	 18515.625000 	 199.948425 	 -0.305172 	
27 	 15890.625000 	 200.010025 	 -0.284170 	
28 	 13640.625000 	 199.982697 	 -0.236397 	
29 	 11671.875000 	 199.964325 	 -0.206725 	
30 	 10078.125000 	 199.982788 	 -0.175254 	
31 	 8578.125000 	 199.990906 	 -0.141682 	
32 	 7359.375488 	 199.967804 	 -0.118465 	
33 	 6328.125000 	 200.013702 	 -0.112038 	
34 	 5376.838379 	 199.977356 	 -0.098509 	
35 	 4641.543945 	 199.986176 	 -0.080290 	
36 	 3984.374756 	 199.952667 	 -0.073138 	
37 	 3421.875000 	 199.969543 	 -0.058907 	
38 	 2953.125000 	 200.013977 	 -0.047579 	
39 	 2527.573486 	 200.013947 	 -0.043096 	
40 	 2159.926514 	 199.982071 	 -0.040388 	
41 	 1847.956665 	 199.993988 	 -0.034818 	
42 	 1577.524048 	 199.954849 	 -0.040067 	
43 	 1359.375000 	 199.976883 	 -0.028232 	
44 	 1171.875000 	 200.018143 	 -0.025393 	
45 	 998.263855 	 199.977631 	 -0.028763 	
46 	 856.370239 	 200.005829 	 -0.024307 	
47 	 737.847229 	 199.990005 	 -0.022977 	
48 	 627.790161 	 199.992126 	 -0.013714 	
49 	 544.084778 	 199.983093 	 -0.004597 	
50 	 460.379456 	 199.965347 	 0.022786 	
51 	 397.995270 	 199.978607 	 0.023080 	
52 	 340.221771 	 199.975250 	 0.018436 	
53 	 292.968750 	 199.968491 	 0.018564 	
54 	 252.403839 	 199.961105 	 0.014775 	
55 	 217.013885 	 199.967941 	 0.014287 	
56 	 186.011902 	 199.974823 	 0.014207 	
57 	 158.361496 	 199.975281 	 0.008680 	
58 	 135.216339 	 199.949692 	 0.006544 	
59 	 117.187500 	 199.966629 	 0.007668 	
