IMPEDANCE MEASUREMENT 
10:21:12.545 AM 2026-02-17
Chamber temperature (K): 292.25
Chamber pressure (MPa): -0.09
Description: 	200ohmtest
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 190.524078 	 -16.002634 	
1 	 857765.625000 	 192.912369 	 -13.745208 	
2 	 735703.125000 	 194.718185 	 -11.803741 	
3 	 630984.375000 	 196.060287 	 -10.137408 	
4 	 541171.875000 	 197.031540 	 -8.709248 	
5 	 464203.125000 	 197.759888 	 -7.477666 	
6 	 398109.375000 	 198.203781 	 -6.408534 	
7 	 341484.375000 	 198.751648 	 -5.510664 	
8 	 292921.875000 	 199.003723 	 -4.734163 	
9 	 251203.140625 	 199.199356 	 -4.054899 	
10 	 215484.375000 	 199.380814 	 -3.478676 	
11 	 184828.125000 	 199.438950 	 -2.993714 	
12 	 158578.125000 	 199.618530 	 -2.544486 	
13 	 135984.375000 	 199.701920 	 -2.220680 	
14 	 116671.867187 	 199.779068 	 -1.894093 	
15 	 100078.125000 	 199.778442 	 -1.626541 	
16 	 85828.125000 	 199.809875 	 -1.393035 	
17 	 73640.625000 	 199.834778 	 -1.198163 	
18 	 63140.625000 	 199.872849 	 -1.036588 	
19 	 54140.625000 	 199.911514 	 -0.889647 	
20 	 46453.125000 	 199.872238 	 -0.759685 	
21 	 39890.625000 	 199.864578 	 -0.670802 	
22 	 34171.875000 	 199.920120 	 -0.574384 	
23 	 29296.875000 	 199.913452 	 -0.494048 	
24 	 25171.875000 	 199.926239 	 -0.429956 	
25 	 21609.375000 	 199.914139 	 -0.375391 	
26 	 18515.625000 	 199.948914 	 -0.315853 	
27 	 15890.625000 	 199.964188 	 -0.271626 	
28 	 13640.625000 	 199.971741 	 -0.243849 	
29 	 11671.875000 	 199.961456 	 -0.195450 	
30 	 10078.125000 	 199.948517 	 -0.170536 	
31 	 8578.125000 	 199.978012 	 -0.143599 	
32 	 7359.375488 	 199.941345 	 -0.130835 	
33 	 6328.125000 	 199.960159 	 -0.114582 	
34 	 5376.838379 	 199.973236 	 -0.092556 	
35 	 4641.543945 	 199.959961 	 -0.083724 	
36 	 3984.374756 	 199.954620 	 -0.072068 	
37 	 3421.875000 	 199.980026 	 -0.059472 	
38 	 2953.125000 	 199.969147 	 -0.058444 	
39 	 2527.573486 	 200.000854 	 -0.042483 	
40 	 2159.926514 	 200.003723 	 -0.036953 	
41 	 1847.956665 	 199.990631 	 -0.039417 	
42 	 1577.524048 	 199.997498 	 -0.030387 	
43 	 1359.375000 	 199.984390 	 -0.024566 	
44 	 1171.875000 	 200.011642 	 -0.027804 	
45 	 998.263855 	 200.014557 	 -0.029985 	
46 	 856.370239 	 199.973175 	 -0.012991 	
47 	 737.847229 	 199.969131 	 -0.019354 	
48 	 627.790161 	 199.979828 	 -0.012670 	
49 	 544.084778 	 199.992233 	 -0.014597 	
50 	 460.379456 	 199.967545 	 0.027457 	
51 	 397.995270 	 199.961197 	 0.022313 	
52 	 340.221771 	 199.961121 	 0.020825 	
53 	 292.968750 	 199.963577 	 0.017032 	
54 	 252.403839 	 199.955750 	 0.015541 	
55 	 217.013885 	 199.962036 	 0.014917 	
56 	 186.011902 	 199.966309 	 0.013583 	
57 	 158.361496 	 199.960937 	 0.011006 	
58 	 135.216339 	 199.965561 	 0.006322 	
59 	 117.187500 	 199.948456 	 0.006274 	
