IMPEDANCE MEASUREMENT 
2:36:27.451 PM 2026-02-17
Chamber temperature (K): 293.5
Chamber pressure (MPa): -0
Description: 	80mSSmallCellTest
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 15.253381 	 0.486929 	
1 	 857765.625000 	 15.264792 	 -0.104254 	
2 	 735703.125000 	 15.286067 	 -0.653725 	
3 	 630984.375000 	 15.309548 	 -1.185365 	
4 	 541171.875000 	 15.337204 	 -1.738676 	
5 	 464203.125000 	 15.375738 	 -2.322984 	
6 	 398109.375000 	 15.417480 	 -2.900634 	
7 	 341484.375000 	 15.465663 	 -3.512052 	
8 	 292921.875000 	 15.520264 	 -4.170344 	
9 	 251203.140625 	 15.591062 	 -4.913524 	
10 	 215484.375000 	 15.665517 	 -5.692101 	
11 	 184828.125000 	 15.759385 	 -6.541726 	
12 	 158578.125000 	 15.865471 	 -7.474396 	
13 	 135984.375000 	 15.993300 	 -8.500059 	
14 	 116671.867187 	 16.141554 	 -9.634866 	
15 	 100078.125000 	 16.314732 	 -10.868240 	
16 	 85828.125000 	 16.515667 	 -12.232104 	
17 	 73640.625000 	 16.755253 	 -13.730684 	
18 	 63140.625000 	 17.040407 	 -15.378668 	
19 	 54140.625000 	 17.375076 	 -17.192963 	
20 	 46453.125000 	 17.767813 	 -19.121670 	
21 	 39890.625000 	 18.233459 	 -21.222363 	
22 	 34171.875000 	 18.788521 	 -23.506670 	
23 	 29296.875000 	 19.447491 	 -25.970554 	
24 	 25171.875000 	 20.220734 	 -28.517429 	
25 	 21609.375000 	 21.146851 	 -31.236511 	
26 	 18515.625000 	 22.260622 	 -34.107044 	
27 	 15890.625000 	 23.572218 	 -37.034107 	
28 	 13640.625000 	 25.126646 	 -40.002041 	
29 	 11671.875000 	 27.014753 	 -43.059875 	
30 	 10078.125000 	 29.116198 	 -45.895638 	
31 	 8578.125000 	 31.838961 	 -48.934898 	
32 	 7359.375488 	 34.902523 	 -51.713264 	
33 	 6328.125000 	 38.427704 	 -54.311157 	
34 	 5376.838379 	 42.868114 	 -56.934971 	
35 	 4641.543945 	 47.550705 	 -59.136566 	
36 	 3984.374756 	 53.147438 	 -61.221226 	
37 	 3421.875000 	 59.621902 	 -63.151142 	
38 	 2953.125000 	 66.815994 	 -64.822090 	
39 	 2527.573486 	 75.516640 	 -66.418198 	
40 	 2159.926514 	 85.706284 	 -67.878746 	
41 	 1847.956665 	 97.336617 	 -69.131027 	
42 	 1577.524048 	 110.895432 	 -70.291649 	
43 	 1359.375000 	 125.441101 	 -71.220482 	
44 	 1171.875000 	 142.146545 	 -72.057716 	
45 	 998.263855 	 162.750977 	 -72.823494 	
46 	 856.370239 	 185.581223 	 -73.484764 	
47 	 737.847229 	 210.731323 	 -74.068481 	
48 	 627.790161 	 241.478882 	 -74.598473 	
49 	 544.084778 	 272.794983 	 -74.981125 	
50 	 460.379456 	 315.172516 	 -75.354935 	
51 	 397.995270 	 357.202728 	 -75.670197 	
52 	 340.221771 	 408.792328 	 -75.965477 	
53 	 292.968750 	 464.951019 	 -76.203941 	
54 	 252.403839 	 528.610779 	 -76.412209 	
55 	 217.013885 	 602.083984 	 -76.594482 	
56 	 186.011902 	 687.512878 	 -76.752151 	
57 	 158.361496 	 789.663513 	 -76.896469 	
58 	 135.216339 	 904.586670 	 -77.023346 	
59 	 117.187500 	 1023.092163 	 -77.120384 	
