IMPEDANCE MEASUREMENT 
2:38:14.781 PM 2026-02-17
Chamber temperature (K): 293.51
Chamber pressure (MPa): 0.96
Description: 	80mSSmallCellTest
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 15.229598 	 0.419598 	
1 	 857765.625000 	 15.245458 	 -0.137074 	
2 	 735703.125000 	 15.263864 	 -0.669224 	
3 	 630984.375000 	 15.288944 	 -1.230898 	
4 	 541171.875000 	 15.316721 	 -1.762143 	
5 	 464203.125000 	 15.350734 	 -2.313469 	
6 	 398109.375000 	 15.391165 	 -2.906035 	
7 	 341484.375000 	 15.440574 	 -3.523228 	
8 	 292921.875000 	 15.503174 	 -4.200602 	
9 	 251203.140625 	 15.565365 	 -4.905641 	
10 	 215484.375000 	 15.642725 	 -5.675398 	
11 	 184828.125000 	 15.738486 	 -6.528026 	
12 	 158578.125000 	 15.840290 	 -7.473187 	
13 	 135984.375000 	 15.968729 	 -8.488998 	
14 	 116671.867187 	 16.115789 	 -9.632270 	
15 	 100078.125000 	 16.291117 	 -10.849481 	
16 	 85828.125000 	 16.495737 	 -12.226242 	
17 	 73640.625000 	 16.730978 	 -13.717269 	
18 	 63140.625000 	 17.015160 	 -15.356048 	
19 	 54140.625000 	 17.350109 	 -17.156397 	
20 	 46453.125000 	 17.740681 	 -19.088362 	
21 	 39890.625000 	 18.203188 	 -21.196705 	
22 	 34171.875000 	 18.758924 	 -23.474567 	
23 	 29296.875000 	 19.419191 	 -25.935438 	
24 	 25171.875000 	 20.192417 	 -28.479378 	
25 	 21609.375000 	 21.112793 	 -31.213583 	
26 	 18515.625000 	 22.221262 	 -34.076370 	
27 	 15890.625000 	 23.529747 	 -36.996075 	
28 	 13640.625000 	 25.084318 	 -39.967896 	
29 	 11671.875000 	 26.975946 	 -43.029606 	
30 	 10078.125000 	 29.061117 	 -45.865612 	
31 	 8578.125000 	 31.787571 	 -48.897667 	
32 	 7359.375488 	 34.830769 	 -51.672527 	
33 	 6328.125000 	 38.336937 	 -54.287552 	
34 	 5376.838379 	 42.782036 	 -56.889904 	
35 	 4641.543945 	 47.445942 	 -59.100819 	
36 	 3984.374756 	 53.041706 	 -61.196754 	
37 	 3421.875000 	 59.465710 	 -63.099602 	
38 	 2953.125000 	 66.648521 	 -64.786781 	
39 	 2527.573486 	 75.385689 	 -66.393349 	
40 	 2159.926514 	 85.485977 	 -67.883286 	
41 	 1847.956665 	 97.055107 	 -69.085503 	
42 	 1577.524048 	 110.627281 	 -70.259476 	
43 	 1359.375000 	 125.117371 	 -71.202103 	
44 	 1171.875000 	 141.809052 	 -72.056084 	
45 	 998.263855 	 162.428589 	 -72.823357 	
46 	 856.370239 	 184.931168 	 -73.505013 	
47 	 737.847229 	 209.905884 	 -74.031998 	
48 	 627.790161 	 241.205292 	 -74.523903 	
49 	 544.084778 	 272.172455 	 -75.004250 	
50 	 460.379456 	 314.348236 	 -75.330299 	
51 	 397.995270 	 356.246124 	 -75.645973 	
52 	 340.221771 	 407.721222 	 -75.944572 	
53 	 292.968750 	 463.705292 	 -76.183098 	
54 	 252.403839 	 527.228394 	 -76.388252 	
55 	 217.013885 	 600.473267 	 -76.567406 	
56 	 186.011902 	 685.696167 	 -76.721527 	
57 	 158.361496 	 787.533875 	 -76.864182 	
58 	 135.216339 	 902.206726 	 -76.981255 	
59 	 117.187500 	 1020.302246 	 -77.084015 	
