IMPEDANCE MEASUREMENT 
2:45:10.032 PM 2026-02-17
Chamber temperature (K): 293.55
Chamber pressure (MPa): 0.62
Description: 	80mSSmallCellTestLead2and4
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 13.822342 	 1.050507 	
1 	 857765.625000 	 13.833042 	 0.413618 	
2 	 735703.125000 	 13.840725 	 -0.195999 	
3 	 630984.375000 	 13.862825 	 -0.792071 	
4 	 541171.875000 	 13.878469 	 -1.389803 	
5 	 464203.125000 	 13.907362 	 -2.001643 	
6 	 398109.375000 	 13.942747 	 -2.630210 	
7 	 341484.375000 	 13.981997 	 -3.302549 	
8 	 292921.875000 	 14.029516 	 -4.030550 	
9 	 251203.140625 	 14.086476 	 -4.782455 	
10 	 215484.375000 	 14.155241 	 -5.609738 	
11 	 184828.125000 	 14.236284 	 -6.522135 	
12 	 158578.125000 	 14.333357 	 -7.498632 	
13 	 135984.375000 	 14.450704 	 -8.594306 	
14 	 116671.867187 	 14.591628 	 -9.798579 	
15 	 100078.125000 	 14.756074 	 -11.080331 	
16 	 85828.125000 	 14.951803 	 -12.493461 	
17 	 73640.625000 	 15.177711 	 -14.039075 	
18 	 63140.625000 	 15.451658 	 -15.716250 	
19 	 54140.625000 	 15.773729 	 -17.546795 	
20 	 46453.125000 	 16.150602 	 -19.521637 	
21 	 39890.625000 	 16.593336 	 -21.616909 	
22 	 34171.875000 	 17.119877 	 -23.917641 	
23 	 29296.875000 	 17.744589 	 -26.345980 	
24 	 25171.875000 	 18.468405 	 -28.892864 	
25 	 21609.375000 	 19.327499 	 -31.570808 	
26 	 18515.625000 	 20.365810 	 -34.404819 	
27 	 15890.625000 	 21.572784 	 -37.279011 	
28 	 13640.625000 	 23.010178 	 -40.215988 	
29 	 11671.875000 	 24.744106 	 -43.205395 	
30 	 10078.125000 	 26.678656 	 -46.034039 	
31 	 8578.125000 	 29.170418 	 -49.058022 	
32 	 7359.375488 	 31.972464 	 -51.816193 	
33 	 6328.125000 	 35.186413 	 -54.425816 	
34 	 5376.838379 	 39.255913 	 -57.025440 	
35 	 4641.543945 	 43.529671 	 -59.231007 	
36 	 3984.374756 	 48.648205 	 -61.330906 	
37 	 3421.875000 	 54.559856 	 -63.269371 	
38 	 2953.125000 	 61.138241 	 -64.970245 	
39 	 2527.573486 	 69.128769 	 -66.588432 	
40 	 2159.926514 	 78.425514 	 -68.068657 	
41 	 1847.956665 	 89.130661 	 -69.366722 	
42 	 1577.524048 	 101.506790 	 -70.515358 	
43 	 1359.375000 	 115.033073 	 -71.577957 	
44 	 1171.875000 	 130.275558 	 -72.443214 	
45 	 998.263855 	 149.441711 	 -73.240524 	
46 	 856.370239 	 170.129517 	 -73.956497 	
47 	 737.847229 	 193.260529 	 -74.606766 	
48 	 627.790161 	 222.293686 	 -75.153992 	
49 	 544.084778 	 251.641708 	 -75.676010 	
50 	 460.379456 	 290.640411 	 -76.040306 	
51 	 397.995270 	 329.840363 	 -76.341560 	
52 	 340.221771 	 378.100159 	 -76.669006 	
53 	 292.968750 	 430.735138 	 -76.934708 	
54 	 252.403839 	 490.561249 	 -77.156548 	
55 	 217.013885 	 559.761963 	 -77.344803 	
56 	 186.011902 	 640.434326 	 -77.497597 	
57 	 158.361496 	 737.116272 	 -77.622597 	
58 	 135.216339 	 846.146667 	 -77.717812 	
59 	 117.187500 	 958.801880 	 -77.778145 	
