IMPEDANCE MEASUREMENT 
11:06:19.120 AM 2026-02-17
Chamber temperature (K): 292.49
Chamber pressure (MPa): 1
Description: 	80mSTest
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 18350.732422 	 -91.325134 	
1 	 857765.625000 	 21326.753906 	 -90.453102 	
2 	 735703.125000 	 24961.003906 	 -90.450920 	
3 	 630984.375000 	 28936.419922 	 -90.417542 	
4 	 541171.875000 	 33878.421875 	 -90.627762 	
5 	 464203.125000 	 39418.558594 	 -90.272614 	
6 	 398109.375000 	 45816.144531 	 -90.306564 	
7 	 341484.375000 	 53520.234375 	 -90.069931 	
8 	 292921.875000 	 62097.453125 	 -90.270905 	
9 	 251203.140625 	 72873.804687 	 -90.041702 	
10 	 215484.375000 	 84818.062500 	 -90.041893 	
11 	 184828.125000 	 98100.140625 	 -89.431122 	
12 	 158578.125000 	 114641.007812 	 -89.963211 	
13 	 135984.375000 	 132808.484375 	 -90.326614 	
14 	 116671.867187 	 156815.906250 	 -90.252235 	
15 	 100078.125000 	 182661.984375 	 -89.873863 	
16 	 85828.125000 	 213295.656250 	 -89.839790 	
17 	 73640.625000 	 246426.296875 	 -89.679138 	
18 	 63140.625000 	 289481.031250 	 -89.712021 	
19 	 54140.625000 	 337324.718750 	 -89.841965 	
20 	 46453.125000 	 390631.562500 	 -89.932747 	
21 	 39890.625000 	 453087.281250 	 -89.761429 	
22 	 34171.875000 	 530927.125000 	 -89.976570 	
23 	 29296.875000 	 616581.812500 	 -89.881744 	
24 	 25171.875000 	 727325.500000 	 -89.707085 	
25 	 21609.375000 	 843535.812500 	 -89.767357 	
26 	 18515.625000 	 990383.437500 	 -90.722191 	
27 	 15890.625000 	 1118044.375000 	 -89.085503 	
28 	 13640.625000 	 1339450.375000 	 -90.518929 	
29 	 11671.875000 	 1538667.250000 	 -89.470413 	
30 	 10078.125000 	 1764991.250000 	 -90.979462 	
31 	 8578.125000 	 2069987.000000 	 -88.340820 	
32 	 7359.375488 	 2413221.250000 	 -89.506538 	
33 	 6328.125000 	 2789159.750000 	 -91.408623 	
34 	 5376.838379 	 3244165.500000 	 -90.705307 	
35 	 4641.543945 	 4172318.000000 	 -89.772758 	
36 	 3984.374756 	 4675916.000000 	 -87.855103 	
37 	 3421.875000 	 4677922.000000 	 -90.712547 	
38 	 2953.125000 	 6072225.000000 	 -91.025360 	
39 	 2527.573486 	 7392656.500000 	 -88.727379 	
40 	 2159.926514 	 8292728.000000 	 -96.286278 	
41 	 1847.956665 	 9470499.000000 	 -88.506927 	
42 	 1577.524048 	 15209020.000000 	 -96.512032 	
43 	 1359.375000 	 12742855.000000 	 -94.543633 	
44 	 1171.875000 	 15219386.000000 	 -89.318871 	
45 	 998.263855 	 16082456.000000 	 -84.106873 	
46 	 856.370239 	 15112157.000000 	 -92.488411 	
47 	 737.847229 	 21499590.000000 	 -102.166321 	
48 	 627.790161 	 28696844.000000 	 -82.160294 	
49 	 544.084778 	 20680500.000000 	 -92.489662 	
50 	 460.379456 	 39333216.000000 	 -88.595184 	
51 	 397.995270 	 45279008.000000 	 -90.085060 	
52 	 340.221771 	 53127684.000000 	 -89.686852 	
53 	 292.968750 	 57933080.000000 	 -94.382439 	
54 	 252.403839 	 69959232.000000 	 -87.293228 	
55 	 217.013885 	 84481328.000000 	 -91.035576 	
56 	 186.011902 	 95388512.000000 	 -88.225418 	
57 	 158.361496 	 125652992.000000 	 -78.800957 	
58 	 135.216339 	 143404144.000000 	 -87.123550 	
59 	 117.187500 	 163359776.000000 	 -89.353836 	
