IMPEDANCE MEASUREMENT 
11:08:27.757 AM 2026-02-17
Chamber temperature (K): 292.5
Chamber pressure (MPa): 0.17
Description: 	80mSTest
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 18358.533203 	 -90.580528 	
1 	 857765.625000 	 21355.734375 	 -90.751831 	
2 	 735703.125000 	 24822.349609 	 -90.586174 	
3 	 630984.375000 	 28859.869141 	 -90.258339 	
4 	 541171.875000 	 33956.027344 	 -90.473320 	
5 	 464203.125000 	 39478.992187 	 -90.098701 	
6 	 398109.375000 	 45844.855469 	 -90.200684 	
7 	 341484.375000 	 53499.113281 	 -89.926598 	
8 	 292921.875000 	 62415.097656 	 -90.051750 	
9 	 251203.140625 	 72565.421875 	 -90.070793 	
10 	 215484.375000 	 85005.960937 	 -89.623314 	
11 	 184828.125000 	 98854.976562 	 -89.992432 	
12 	 158578.125000 	 116495.718750 	 -89.451385 	
13 	 135984.375000 	 132785.953125 	 -90.035934 	
14 	 116671.867187 	 155798.000000 	 -89.392891 	
15 	 100078.125000 	 182205.843750 	 -89.804565 	
16 	 85828.125000 	 211573.359375 	 -90.050003 	
17 	 73640.625000 	 247579.906250 	 -89.654327 	
18 	 63140.625000 	 287995.281250 	 -89.834717 	
19 	 54140.625000 	 335557.593750 	 -89.652298 	
20 	 46453.125000 	 389300.062500 	 -90.101044 	
21 	 39890.625000 	 456769.562500 	 -89.440483 	
22 	 34171.875000 	 530459.687500 	 -89.911293 	
23 	 29296.875000 	 618144.812500 	 -89.543106 	
24 	 25171.875000 	 719851.125000 	 -88.889107 	
25 	 21609.375000 	 843299.250000 	 -90.672646 	
26 	 18515.625000 	 982859.937500 	 -89.921692 	
27 	 15890.625000 	 1125307.250000 	 -90.309792 	
28 	 13640.625000 	 1292192.125000 	 -88.496971 	
29 	 11671.875000 	 1548775.000000 	 -90.292130 	
30 	 10078.125000 	 1792139.125000 	 -90.734032 	
31 	 8578.125000 	 2108363.000000 	 -90.008942 	
32 	 7359.375488 	 2370071.750000 	 -88.003311 	
33 	 6328.125000 	 2840885.500000 	 -88.887253 	
34 	 5376.838379 	 3266584.750000 	 -88.754883 	
35 	 4641.543945 	 3870687.250000 	 -87.540215 	
36 	 3984.374756 	 4912495.500000 	 -95.938904 	
37 	 3421.875000 	 5426258.000000 	 -89.754578 	
38 	 2953.125000 	 5672599.500000 	 -90.266006 	
39 	 2527.573486 	 7124530.000000 	 -87.646507 	
40 	 2159.926514 	 7794111.000000 	 -81.111465 	
41 	 1847.956665 	 10086631.000000 	 -90.692467 	
42 	 1577.524048 	 11206400.000000 	 -91.224525 	
43 	 1359.375000 	 13190688.000000 	 -88.900513 	
44 	 1171.875000 	 15516798.000000 	 -92.776955 	
45 	 998.263855 	 16626345.000000 	 -89.928940 	
46 	 856.370239 	 20899560.000000 	 -84.898994 	
47 	 737.847229 	 19553516.000000 	 -89.660881 	
48 	 627.790161 	 34437860.000000 	 -53.214832 	
49 	 544.084778 	 37649508.000000 	 -85.465263 	
50 	 460.379456 	 38816196.000000 	 -89.539520 	
51 	 397.995270 	 45331776.000000 	 -87.157845 	
52 	 340.221771 	 53742804.000000 	 -89.169327 	
53 	 292.968750 	 56056120.000000 	 -91.069031 	
54 	 252.403839 	 68794560.000000 	 -87.344040 	
55 	 217.013885 	 84918416.000000 	 -89.973938 	
56 	 186.011902 	 193390624.000000 	 -64.628983 	
57 	 158.361496 	 115020320.000000 	 -88.112946 	
58 	 135.216339 	 123161288.000000 	 -83.429306 	
59 	 117.187500 	 172710576.000000 	 103.806458 	
