IMPEDANCE MEASUREMENT 
11:16:25.595 AM 2026-02-17
Chamber temperature (K): 292.55
Chamber pressure (MPa): 0.57
Description: 	80mSTest2
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 18001.646484 	 -90.926910 	
1 	 857765.625000 	 21094.861328 	 -90.536148 	
2 	 735703.125000 	 24471.521484 	 -90.300064 	
3 	 630984.375000 	 28569.000000 	 -90.216797 	
4 	 541171.875000 	 33289.429687 	 -90.140419 	
5 	 464203.125000 	 38769.562500 	 -90.331108 	
6 	 398109.375000 	 45191.792969 	 -90.158501 	
7 	 341484.375000 	 52699.867187 	 -90.080223 	
8 	 292921.875000 	 61600.199219 	 -90.121193 	
9 	 251203.140625 	 71273.140625 	 -90.204239 	
10 	 215484.375000 	 83551.382812 	 -89.639206 	
11 	 184828.125000 	 97365.421875 	 -89.690979 	
12 	 158578.125000 	 114297.031250 	 -89.918304 	
13 	 135984.375000 	 131643.390625 	 -90.455818 	
14 	 116671.867187 	 155193.421875 	 -90.778473 	
15 	 100078.125000 	 179449.375000 	 -89.946342 	
16 	 85828.125000 	 209118.703125 	 -89.766106 	
17 	 73640.625000 	 243956.328125 	 -89.716919 	
18 	 63140.625000 	 282470.437500 	 -89.903091 	
19 	 54140.625000 	 333348.718750 	 -89.453209 	
20 	 46453.125000 	 384625.812500 	 -89.366348 	
21 	 39890.625000 	 449559.375000 	 -90.100441 	
22 	 34171.875000 	 521998.906250 	 -89.877251 	
23 	 29296.875000 	 611150.812500 	 -89.984100 	
24 	 25171.875000 	 708857.062500 	 -90.451355 	
25 	 21609.375000 	 824787.375000 	 -89.389977 	
26 	 18515.625000 	 970014.562500 	 -90.179749 	
27 	 15890.625000 	 1134618.000000 	 -90.451660 	
28 	 13640.625000 	 1292156.500000 	 -90.496696 	
29 	 11671.875000 	 1537899.875000 	 -89.796616 	
30 	 10078.125000 	 1782362.250000 	 -89.696526 	
31 	 8578.125000 	 2062036.750000 	 -87.749634 	
32 	 7359.375488 	 2408965.750000 	 -90.518402 	
33 	 6328.125000 	 2682351.000000 	 -90.248245 	
34 	 5376.838379 	 3187497.000000 	 -92.409233 	
35 	 4641.543945 	 3819740.000000 	 -90.978561 	
36 	 3984.374756 	 3877524.500000 	 -92.468018 	
37 	 3421.875000 	 5340709.500000 	 -86.349571 	
38 	 2953.125000 	 6652074.500000 	 -89.365379 	
39 	 2527.573486 	 6712284.500000 	 -85.412193 	
40 	 2159.926514 	 8464163.000000 	 -89.849716 	
41 	 1847.956665 	 9200969.000000 	 -89.261627 	
42 	 1577.524048 	 11220757.000000 	 -89.647926 	
43 	 1359.375000 	 13884796.000000 	 -85.608269 	
44 	 1171.875000 	 16237352.000000 	 -90.258270 	
45 	 998.263855 	 18537044.000000 	 -93.664642 	
46 	 856.370239 	 19987210.000000 	 -93.921684 	
47 	 737.847229 	 25405824.000000 	 -109.055756 	
48 	 627.790161 	 25141310.000000 	 -71.905312 	
49 	 544.084778 	 42162364.000000 	 -51.729473 	
50 	 460.379456 	 38144236.000000 	 -89.613876 	
51 	 397.995270 	 44664524.000000 	 -87.652077 	
52 	 340.221771 	 52051896.000000 	 -88.870964 	
53 	 292.968750 	 54013100.000000 	 -91.146919 	
54 	 252.403839 	 69623224.000000 	 -87.019119 	
55 	 217.013885 	 78688624.000000 	 -90.248497 	
56 	 186.011902 	 94625208.000000 	 -86.366653 	
57 	 158.361496 	 118100328.000000 	 -87.724808 	
58 	 135.216339 	 117876728.000000 	 -88.722343 	
59 	 117.187500 	 127929960.000000 	 -88.550385 	
