IMPEDANCE MEASUREMENT 
11:17:31.063 AM 2026-02-17
Chamber temperature (K): 292.56
Chamber pressure (MPa): -0.04
Description: 	80mSTest2
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 18072.650391 	 -90.796463 	
1 	 857765.625000 	 21116.041016 	 -90.528671 	
2 	 735703.125000 	 24524.207031 	 -90.209518 	
3 	 630984.375000 	 28515.464844 	 -90.199196 	
4 	 541171.875000 	 33088.136719 	 -90.417084 	
5 	 464203.125000 	 38748.937500 	 -90.143250 	
6 	 398109.375000 	 45263.742187 	 -89.998543 	
7 	 341484.375000 	 52911.664062 	 -89.583359 	
8 	 292921.875000 	 61209.863281 	 -89.814896 	
9 	 251203.140625 	 71113.796875 	 -89.756844 	
10 	 215484.375000 	 83703.257812 	 -90.004578 	
11 	 184828.125000 	 97024.703125 	 -89.417404 	
12 	 158578.125000 	 114622.335937 	 -89.885864 	
13 	 135984.375000 	 130389.804687 	 -89.701759 	
14 	 116671.867187 	 153592.765625 	 -90.042801 	
15 	 100078.125000 	 179487.250000 	 -89.641472 	
16 	 85828.125000 	 208515.812500 	 -89.645966 	
17 	 73640.625000 	 244009.062500 	 -89.939667 	
18 	 63140.625000 	 285135.281250 	 -89.669228 	
19 	 54140.625000 	 331120.093750 	 -89.794022 	
20 	 46453.125000 	 385348.750000 	 -89.983948 	
21 	 39890.625000 	 451271.281250 	 -89.584511 	
22 	 34171.875000 	 523858.093750 	 -89.779022 	
23 	 29296.875000 	 608634.937500 	 -89.480034 	
24 	 25171.875000 	 707983.312500 	 -89.653198 	
25 	 21609.375000 	 820806.812500 	 -89.510239 	
26 	 18515.625000 	 969603.562500 	 -89.927536 	
27 	 15890.625000 	 1116033.375000 	 -91.283646 	
28 	 13640.625000 	 1337743.375000 	 -89.633774 	
29 	 11671.875000 	 1543776.625000 	 -89.406029 	
30 	 10078.125000 	 1799636.125000 	 -91.479691 	
31 	 8578.125000 	 2102733.500000 	 -89.367294 	
32 	 7359.375488 	 2356854.000000 	 -88.452049 	
33 	 6328.125000 	 3009797.500000 	 -87.965668 	
34 	 5376.838379 	 3312110.500000 	 -89.554024 	
35 	 4641.543945 	 4014244.750000 	 -88.590240 	
36 	 3984.374756 	 4230949.000000 	 -90.624290 	
37 	 3421.875000 	 5402160.500000 	 -91.501144 	
38 	 2953.125000 	 6615576.500000 	 -87.651909 	
39 	 2527.573486 	 6724250.000000 	 -87.686996 	
40 	 2159.926514 	 8383864.000000 	 -91.211884 	
41 	 1847.956665 	 9882728.000000 	 -90.812180 	
42 	 1577.524048 	 12264920.000000 	 -86.675545 	
43 	 1359.375000 	 15309051.000000 	 -74.747025 	
44 	 1171.875000 	 16300652.000000 	 -93.560982 	
45 	 998.263855 	 22018296.000000 	 -92.804527 	
46 	 856.370239 	 20330440.000000 	 -84.274323 	
47 	 737.847229 	 21932824.000000 	 -89.030792 	
48 	 627.790161 	 34101648.000000 	 -84.981506 	
49 	 544.084778 	 28679422.000000 	 -91.014412 	
50 	 460.379456 	 38844744.000000 	 -88.590965 	
51 	 397.995270 	 43972716.000000 	 -87.479065 	
52 	 340.221771 	 51182808.000000 	 -89.920097 	
53 	 292.968750 	 58453992.000000 	 -83.873299 	
54 	 252.403839 	 71221896.000000 	 -86.684181 	
55 	 217.013885 	 80445864.000000 	 -91.437866 	
56 	 186.011902 	 95488520.000000 	 -87.677597 	
57 	 158.361496 	 110790840.000000 	 -91.135597 	
58 	 135.216339 	 136662304.000000 	 -85.879631 	
59 	 117.187500 	 134060600.000000 	 -78.494385 	
