IMPEDANCE MEASUREMENT 
2:22:55.364 PM 2026-02-17
Chamber temperature (K): 293.51
Chamber pressure (MPa): 0.3
Description: 	80mSTest3
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 75712.539062 	 -94.460556 	
1 	 857765.625000 	 87242.484375 	 -93.400948 	
2 	 735703.125000 	 103560.031250 	 -90.952667 	
3 	 630984.375000 	 119409.929687 	 -92.658775 	
4 	 541171.875000 	 140589.984375 	 -93.037643 	
5 	 464203.125000 	 168367.375000 	 -91.803078 	
6 	 398109.375000 	 197790.906250 	 -91.740387 	
7 	 341484.375000 	 217568.218750 	 -90.087349 	
8 	 292921.875000 	 261963.484375 	 -92.648972 	
9 	 251203.140625 	 329944.250000 	 -89.231758 	
10 	 215484.375000 	 342682.437500 	 -93.734756 	
11 	 184828.125000 	 437201.687500 	 -95.516342 	
12 	 158578.125000 	 479353.687500 	 -97.549866 	
13 	 135984.375000 	 615092.687500 	 -93.283340 	
14 	 116671.867187 	 625715.750000 	 -81.469894 	
15 	 100078.125000 	 770885.687500 	 -88.414207 	
16 	 85828.125000 	 912696.687500 	 -89.621696 	
17 	 73640.625000 	 1016786.125000 	 -90.665062 	
18 	 63140.625000 	 1203070.375000 	 -91.449150 	
19 	 54140.625000 	 1441769.875000 	 -89.439758 	
20 	 46453.125000 	 1668440.750000 	 -89.748276 	
21 	 39890.625000 	 2036813.125000 	 -90.167915 	
22 	 34171.875000 	 2269658.250000 	 -88.871788 	
23 	 29296.875000 	 2748007.500000 	 -90.692924 	
24 	 25171.875000 	 3111712.500000 	 -89.402977 	
25 	 21609.375000 	 3693049.750000 	 -87.373466 	
26 	 18515.625000 	 4125709.500000 	 -94.704811 	
27 	 15890.625000 	 5294264.000000 	 -90.218216 	
28 	 13640.625000 	 5720057.000000 	 -95.097961 	
29 	 11671.875000 	 6462918.500000 	 -93.560646 	
30 	 10078.125000 	 8022068.000000 	 -88.898453 	
31 	 8578.125000 	 9390739.000000 	 -83.575752 	
32 	 7359.375488 	 10005299.000000 	 -82.643845 	
33 	 6328.125000 	 13334005.000000 	 -95.240791 	
34 	 5376.838379 	 10435721.000000 	 -84.501045 	
35 	 4641.543945 	 11905636.000000 	 -91.268692 	
36 	 3984.374756 	 14307326.000000 	 -66.599861 	
37 	 3421.875000 	 20418418.000000 	 -96.282722 	
38 	 2953.125000 	 20868308.000000 	 -92.811111 	
39 	 2527.573486 	 25291590.000000 	 -77.472473 	
40 	 2159.926514 	 38092740.000000 	 -103.842415 	
41 	 1847.956665 	 47237784.000000 	 -106.165749 	
42 	 1577.524048 	 56178968.000000 	 -93.580482 	
43 	 1359.375000 	 52618092.000000 	 -85.053383 	
44 	 1171.875000 	 57848256.000000 	 -63.447926 	
45 	 998.263855 	 70977184.000000 	 -100.037285 	
46 	 856.370239 	 104846640.000000 	 -98.381447 	
47 	 737.847229 	 162408256.000000 	 -60.613682 	
48 	 627.790161 	 160891504.000000 	 -114.948662 	
49 	 544.084778 	 134867584.000000 	 -131.803894 	
50 	 460.379456 	 189018544.000000 	 -88.564613 	
51 	 397.995270 	 178170240.000000 	 -94.195839 	
52 	 340.221771 	 230393024.000000 	 -80.511497 	
53 	 292.968750 	 331079360.000000 	 -128.643295 	
54 	 252.403839 	 272852320.000000 	 -88.513397 	
55 	 217.013885 	 446040032.000000 	 -71.759460 	
56 	 186.011902 	 521518336.000000 	 -85.896416 	
57 	 158.361496 	 454085376.000000 	 -100.735756 	
58 	 135.216339 	 508435968.000000 	 -111.348770 	
59 	 117.187500 	 451152000.000000 	 -111.845848 	
