IMPEDANCE MEASUREMENT 
10:14:21.887 AM 2026-02-17
Chamber temperature (K): 292.19
Chamber pressure (MPa): 1.39
Description: 	84uSTest
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 33110.398437 	 -88.384003 	
1 	 857765.625000 	 38455.746094 	 -88.418556 	
2 	 735703.125000 	 44527.082031 	 -88.568954 	
3 	 630984.375000 	 51654.128906 	 -88.640892 	
4 	 541171.875000 	 59921.214844 	 -88.000778 	
5 	 464203.125000 	 69614.804687 	 -88.446129 	
6 	 398109.375000 	 81243.593750 	 -88.989548 	
7 	 341484.375000 	 93856.203125 	 -89.088745 	
8 	 292921.875000 	 110439.218750 	 -89.012505 	
9 	 251203.140625 	 128317.968750 	 -88.857368 	
10 	 215484.375000 	 148482.421875 	 -89.966248 	
11 	 184828.125000 	 174922.062500 	 -89.469315 	
12 	 158578.125000 	 203040.671875 	 -89.506729 	
13 	 135984.375000 	 240144.187500 	 -89.875984 	
14 	 116671.867187 	 276349.125000 	 -89.175369 	
15 	 100078.125000 	 320244.218750 	 -89.838791 	
16 	 85828.125000 	 375312.312500 	 -89.208282 	
17 	 73640.625000 	 436427.687500 	 -89.204010 	
18 	 63140.625000 	 512492.437500 	 -89.350754 	
19 	 54140.625000 	 599937.125000 	 -89.330559 	
20 	 46453.125000 	 691413.125000 	 -90.205879 	
21 	 39890.625000 	 807069.750000 	 -89.744682 	
22 	 34171.875000 	 936288.562500 	 -89.950089 	
23 	 29296.875000 	 1091663.625000 	 -89.631599 	
24 	 25171.875000 	 1282034.750000 	 -90.368408 	
25 	 21609.375000 	 1492503.500000 	 -89.680061 	
26 	 18515.625000 	 1707450.625000 	 -90.956993 	
27 	 15890.625000 	 1988957.000000 	 -89.380501 	
28 	 13640.625000 	 2364029.000000 	 -90.219086 	
29 	 11671.875000 	 2737685.500000 	 -91.608200 	
30 	 10078.125000 	 3183540.750000 	 -88.621155 	
31 	 8578.125000 	 3858897.250000 	 -87.476883 	
32 	 7359.375488 	 4557367.000000 	 -85.847755 	
33 	 6328.125000 	 4722784.500000 	 -88.316025 	
34 	 5376.838379 	 5787798.000000 	 -90.585022 	
35 	 4641.543945 	 6689163.500000 	 -96.210197 	
36 	 3984.374756 	 7526612.500000 	 -86.604080 	
37 	 3421.875000 	 9205148.000000 	 -87.141624 	
38 	 2953.125000 	 9965574.000000 	 -90.198578 	
39 	 2527.573486 	 13830761.000000 	 -90.684898 	
40 	 2159.926514 	 14328878.000000 	 -97.530365 	
41 	 1847.956665 	 16831424.000000 	 -90.023140 	
42 	 1577.524048 	 46832736.000000 	 -89.885963 	
43 	 1359.375000 	 25726552.000000 	 -93.255836 	
44 	 1171.875000 	 25148020.000000 	 -87.481544 	
45 	 998.263855 	 26851610.000000 	 -84.205086 	
46 	 856.370239 	 32346474.000000 	 -91.504448 	
47 	 737.847229 	 18834922.000000 	 -122.561005 	
48 	 627.790161 	 57465032.000000 	 -63.560055 	
49 	 544.084778 	 61122572.000000 	 -81.399208 	
50 	 460.379456 	 70887136.000000 	 -88.896538 	
51 	 397.995270 	 81311472.000000 	 -90.318825 	
52 	 340.221771 	 94649368.000000 	 -90.489014 	
53 	 292.968750 	 124335832.000000 	 -81.213547 	
54 	 252.403839 	 133747256.000000 	 -87.897766 	
55 	 217.013885 	 145665280.000000 	 -86.690239 	
56 	 186.011902 	 178121648.000000 	 -88.232521 	
57 	 158.361496 	 232129344.000000 	 -69.733643 	
58 	 135.216339 	 183254768.000000 	 -179.761047 	
59 	 117.187500 	 280787616.000000 	 161.161743 	
