IMPEDANCE MEASUREMENT 
10:29:27.227 AM 2026-02-17
Chamber temperature (K): 292.29
Chamber pressure (MPa): 0.39
Description: 	84uSTest2
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 33358.750000 	 -89.012497 	
1 	 857765.625000 	 39256.125000 	 -87.909973 	
2 	 735703.125000 	 45479.230469 	 -88.566963 	
3 	 630984.375000 	 52890.300781 	 -88.419846 	
4 	 541171.875000 	 60994.062500 	 -88.779259 	
5 	 464203.125000 	 71103.890625 	 -88.823135 	
6 	 398109.375000 	 82312.242187 	 -88.792244 	
7 	 341484.375000 	 97077.445312 	 -89.048027 	
8 	 292921.875000 	 111546.835937 	 -89.293594 	
9 	 251203.140625 	 131049.546875 	 -89.504562 	
10 	 215484.375000 	 152600.531250 	 -89.343414 	
11 	 184828.125000 	 177185.953125 	 -89.983040 	
12 	 158578.125000 	 204980.375000 	 -90.016235 	
13 	 135984.375000 	 241229.234375 	 -89.317345 	
14 	 116671.867187 	 274191.968750 	 -88.827278 	
15 	 100078.125000 	 329490.343750 	 -89.732246 	
16 	 85828.125000 	 380435.000000 	 -89.720688 	
17 	 73640.625000 	 449408.250000 	 -89.709900 	
18 	 63140.625000 	 519942.781250 	 -89.714630 	
19 	 54140.625000 	 604142.187500 	 -89.853233 	
20 	 46453.125000 	 707662.875000 	 -90.091362 	
21 	 39890.625000 	 816982.562500 	 -89.639015 	
22 	 34171.875000 	 963069.437500 	 -90.212616 	
23 	 29296.875000 	 1112127.000000 	 -89.878349 	
24 	 25171.875000 	 1304930.625000 	 -89.825813 	
25 	 21609.375000 	 1499738.875000 	 -89.989120 	
26 	 18515.625000 	 1807941.375000 	 -88.865448 	
27 	 15890.625000 	 2043416.000000 	 -89.976021 	
28 	 13640.625000 	 2425511.250000 	 -89.796036 	
29 	 11671.875000 	 2896015.500000 	 -89.537270 	
30 	 10078.125000 	 3253928.500000 	 -91.257744 	
31 	 8578.125000 	 3959594.250000 	 -88.558159 	
32 	 7359.375488 	 4491860.000000 	 -87.781387 	
33 	 6328.125000 	 4901060.500000 	 -91.101158 	
34 	 5376.838379 	 6073043.500000 	 -91.641899 	
35 	 4641.543945 	 6825771.500000 	 -90.757645 	
36 	 3984.374756 	 9038471.000000 	 -93.126328 	
37 	 3421.875000 	 9615763.000000 	 -92.402596 	
38 	 2953.125000 	 10916339.000000 	 -91.418503 	
39 	 2527.573486 	 14824847.000000 	 -89.931595 	
40 	 2159.926514 	 13592778.000000 	 -89.497055 	
41 	 1847.956665 	 19219748.000000 	 -86.676949 	
42 	 1577.524048 	 19710196.000000 	 -87.688446 	
43 	 1359.375000 	 26438694.000000 	 -90.532394 	
44 	 1171.875000 	 29156346.000000 	 -88.399612 	
45 	 998.263855 	 31813550.000000 	 -101.899467 	
46 	 856.370239 	 34709360.000000 	 -95.529678 	
47 	 737.847229 	 40733244.000000 	 -98.375023 	
48 	 627.790161 	 49219884.000000 	 -90.592926 	
49 	 544.084778 	 45723876.000000 	 -91.238274 	
50 	 460.379456 	 70929912.000000 	 -89.600075 	
51 	 397.995270 	 81010088.000000 	 -88.508286 	
52 	 340.221771 	 95481528.000000 	 -89.522804 	
53 	 292.968750 	 99205832.000000 	 -86.809471 	
54 	 252.403839 	 133703688.000000 	 -87.404320 	
55 	 217.013885 	 153101184.000000 	 -84.543892 	
56 	 186.011902 	 127860656.000000 	 -63.659966 	
57 	 158.361496 	 172652448.000000 	 -80.659691 	
58 	 135.216339 	 176438176.000000 	 -7.309370 	
59 	 117.187500 	 436045152.000000 	 137.338409 	
