IMPEDANCE MEASUREMENT 
10:41:10.074 AM 2026-02-19
Chamber temperature (K): 295.81
Chamber pressure (MPa): -0.2
Description: 	0.75MNaCl
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 16.026587 	 1.162873 	
1 	 857765.625000 	 16.029873 	 0.697504 	
2 	 735703.125000 	 16.037634 	 0.243419 	
3 	 630984.375000 	 16.048128 	 -0.162859 	
4 	 541171.875000 	 16.066832 	 -0.590194 	
5 	 464203.125000 	 16.078892 	 -0.997902 	
6 	 398109.375000 	 16.108147 	 -1.424772 	
7 	 341484.375000 	 16.135719 	 -1.867110 	
8 	 292921.875000 	 16.168144 	 -2.325920 	
9 	 251203.140625 	 16.202301 	 -2.814527 	
10 	 215484.375000 	 16.254015 	 -3.335987 	
11 	 184828.125000 	 16.302160 	 -3.914461 	
12 	 158578.125000 	 16.372585 	 -4.540192 	
13 	 135984.375000 	 16.443956 	 -5.222692 	
14 	 116671.867187 	 16.526222 	 -5.958722 	
15 	 100078.125000 	 16.635082 	 -6.776823 	
16 	 85828.125000 	 16.750256 	 -7.691551 	
17 	 73640.625000 	 16.895021 	 -8.691115 	
18 	 63140.625000 	 17.057844 	 -9.797665 	
19 	 54140.625000 	 17.255342 	 -10.999992 	
20 	 46453.125000 	 17.479612 	 -12.316938 	
21 	 39890.625000 	 17.741409 	 -13.742620 	
22 	 34171.875000 	 18.050472 	 -15.322781 	
23 	 29296.875000 	 18.408831 	 -17.045923 	
24 	 25171.875000 	 18.819622 	 -18.861584 	
25 	 21609.375000 	 19.305895 	 -20.859493 	
26 	 18515.625000 	 19.879114 	 -23.060429 	
27 	 15890.625000 	 20.546082 	 -25.370779 	
28 	 13640.625000 	 21.332739 	 -27.856087 	
29 	 11671.875000 	 22.288473 	 -30.540270 	
30 	 10078.125000 	 23.345444 	 -33.199711 	
31 	 8578.125000 	 24.727640 	 -36.227615 	
32 	 7359.375488 	 26.299992 	 -39.186779 	
33 	 6328.125000 	 28.136375 	 -42.159122 	
34 	 5376.838379 	 30.498890 	 -45.363430 	
35 	 4641.543945 	 33.028713 	 -48.190243 	
36 	 3984.374756 	 36.108101 	 -51.056183 	
37 	 3421.875000 	 39.712872 	 -53.778191 	
38 	 2953.125000 	 43.780464 	 -56.274742 	
39 	 2527.573486 	 48.780731 	 -58.737823 	
40 	 2159.926514 	 54.695492 	 -61.046555 	
41 	 1847.956665 	 61.510387 	 -63.144169 	
42 	 1577.524048 	 69.529938 	 -65.050682 	
43 	 1359.375000 	 78.268799 	 -66.687309 	
44 	 1171.875000 	 88.275154 	 -68.097626 	
45 	 998.263855 	 100.698776 	 -69.535042 	
46 	 856.370239 	 114.406311 	 -70.750206 	
47 	 737.847229 	 129.735596 	 -71.774330 	
48 	 627.790161 	 148.749390 	 -72.740196 	
49 	 544.084778 	 168.246246 	 -73.380302 	
50 	 460.379456 	 194.038422 	 -74.237961 	
51 	 397.995270 	 220.021332 	 -74.818016 	
52 	 340.221771 	 252.046906 	 -75.361427 	
53 	 292.968750 	 287.021393 	 -75.807922 	
54 	 252.403839 	 326.738831 	 -76.160927 	
55 	 217.013885 	 372.729187 	 -76.494896 	
56 	 186.011902 	 426.382141 	 -76.782654 	
57 	 158.361496 	 490.694702 	 -77.029144 	
58 	 135.216339 	 563.326660 	 -77.229813 	
59 	 117.187500 	 638.403809 	 -77.370918 	
